asset_id,asset_name,asset_type,result_click_events,result_click_users,distinct_queries,avg_position_clicked,min_position,max_position,same_day_invest_users,search_to_invest_pct
2365,RLNXAK260101,sdi,30,30,11,0.13,0,3,7,23.3
2500,RCBIM260301,bonds,28,26,17,0.07,0,2,2,7.7
2499,RCBPSL260301,bonds,26,23,13,0.35,0,3,9,39.1
2393,RCBKD260201,bonds,24,22,16,0.42,0,4,2,9.1
2254,RCBAC251201,bonds,23,18,12,0.17,0,3,2,11.1
2486,RCBSBBK260301,basket,22,21,11,0.09,0,2,1,4.8
2438,RCBNF260202,bonds,21,16,8,0.38,0,3,2,12.5
2290,RCBAC251202,bonds,17,8,5,0.00,0,0,3,37.5
2462,RCBSFL260301,bonds,16,16,9,1.38,0,17,3,18.8
1239,FDSRY240901,high_yield_fd,16,13,14,0.25,0,1,2,15.4
2271,RCBKB251203,bonds,15,13,8,0.40,0,2,0,0.0
2231,RCBTB251106,bonds,15,9,5,0.13,0,2,2,22.2
1292,FDUNT240901,high_yield_fd,15,15,10,0.07,0,1,0,0.0
2434,RCBAP260201,bonds,14,13,7,0.50,0,3,2,15.4
2318,RCBSPD251201,bonds,14,13,13,0.50,0,2,1,7.7
2445,RCBKF260201,bonds,13,13,9,0.46,0,3,3,23.1
2431,RCBAA260201,bonds,13,7,7,0.54,0,2,1,14.3
2471,RCBIC260301,bonds,13,12,11,0.23,0,2,1,8.3
2327,RCBMM251202,bonds,12,11,8,0.00,0,0,1,9.1
2505,RCBBC260301,bonds,12,10,8,0.25,0,2,1,10.0
2423,RCBHDC260201,bonds,11,10,7,0.00,0,0,0,0.0
2446,RCBKF260202,bonds,11,11,10,0.27,0,1,0,0.0
2456,RCBUF260302,bonds,11,9,10,0.55,0,2,0,0.0
2259,RCBFC251201,bonds,10,9,7,0.20,0,1,2,22.2
2268,RGSEC251202,bonds,9,7,7,0.56,0,2,3,42.9
2457,RCBTB260217,bonds,9,7,7,0.33,0,1,2,28.6
2222,RCBIFL251101,bonds,9,8,6,0.33,0,2,0,0.0
2256,RLNXND251201,sdi,8,7,4,0.13,0,1,2,28.6
2491,RCBMSF260301,bonds,8,8,7,0.63,0,2,0,0.0
2459,RCBAE260301,bonds,7,7,5,0.43,0,1,0,0.0
1095,FDSRF240601,high_yield_fd,7,7,7,0.14,0,1,0,0.0
2368,RCBAK260101,bonds,6,5,4,0.33,0,2,3,60.0
2151,RCBUG251005,bonds,6,6,5,0.50,0,1,1,16.7
2540,RCBNF260401,bonds,6,4,4,0.33,0,2,0,0.0
2390,RCBNF260101,bonds,5,4,3,0.00,0,0,1,25.0
2334,RCBMFN260101,bonds,5,5,4,0.00,0,0,1,20.0
2433,RCBLCN260201,bonds,5,4,4,0.00,0,0,1,25.0
2529,RCBIIFLF260401,bonds,4,4,4,0.00,0,0,1,25.0
2324,RGSEC251205,bonds,4,4,2,0.50,0,2,2,50.0
2197,RCBLCN251102,bonds,4,4,4,0.50,0,2,0,0.0
2506,RCBBC260302,bonds,4,4,4,0.25,0,1,0,0.0
2477,RCBTB260305,bonds,4,4,4,0.50,0,2,0,0.0
2536,RCBTB260401,bonds,4,4,2,0.00,0,0,2,50.0
2422,RCBCGL260201,bonds,3,3,2,0.00,0,0,1,33.3
2329,RCBTB260102,bonds,3,3,3,0.00,0,0,1,33.3
2473,RCBCM260301,bonds,3,3,3,1.33,0,4,1,33.3
2280,RCBLK251201,bonds,3,3,3,0.67,0,1,1,33.3
2504,RCBEDW260307,bonds,3,3,3,0.33,0,1,1,33.3
2509,RCBAYBK260301,basket,3,2,2,1.00,1,1,0,0.0
2395,RCBES260201,bonds,2,2,2,0.00,0,0,0,0.0
2512,RCBPSL260302,bonds,2,2,2,1.00,0,2,0,0.0
2538,RCBNHAI260401,bonds,2,2,2,2.50,1,4,0,0.0
2539,RCBIM260302,bonds,2,2,2,0.00,0,0,0,0.0
2544,RCBTB260404,bonds,2,2,2,0.00,0,0,1,50.0
2472,RCBMM260301,bonds,2,2,2,1.50,1,2,0,0.0
2541,RCBRF260402,bonds,2,2,2,1.50,0,3,0,0.0
2310,RGSEC251203,bonds,2,2,2,0.00,0,0,0,0.0
2535,RCBUHYBK260401,basket,1,1,1,2.00,2,2,0,0.0
2369,RCBIIFLS260201,bonds,1,1,1,0.00,0,0,0,0.0
2537,RCBTB260402,bonds,1,1,1,1.00,1,1,0,0.0
2325,RGSEC251206,bonds,1,1,1,1.00,1,1,0,0.0
2498,RCBNH260302,bonds,1,1,1,0.00,0,0,0,0.0
1750,RGSEC250602,bonds,1,1,1,1.00,1,1,0,0.0
1724,RGSEC250601,bonds,1,1,1,0.00,0,0,0,0.0
2542,RCBES260401,bonds,1,1,1,0.00,0,0,0,0.0
1217,RGSEC240801,bonds,1,1,1,0.00,0,0,0,0.0
2312,RGSEC251204,bonds,1,1,1,1.00,1,1,0,0.0
2497,RCBNH260301,bonds,1,1,1,0.00,0,0,0,0.0
