sent_at,context_page_title,device_type,context_page_search,context_page_tab_url,context_screen_inner_height,channel,creative,gclid,context_page_url,city,context_app_version,context_user_agent,uuid_ts,context_page_path,name,fbclid,browser,had_results,context_page_referrer,context_destination_id,version,content,os,context_timezone,context_app_name,adset,context_screen_inner_width,context_page_referring_domain,context_app_install_type,context_destination_type,context_page_initial_referrer,widget_id,context_screen_width,referrer,context_library_version,received_at,placement,source,medium,anonymous_id,context_source_type,country,context_source_id,exp_version,context_session_id,ip_address,timezone,timestamp,query_text_at_clear,context_locale,term,any_result_clicked,context_screen_density,context_library_name,context_app_namespace,component_name,event,application,original_timestamp,adgroup,network_type,isp,context_screen_height,region,campaign,context_request_ip,context_ip,referrer_page,active_tab,device_orientation,country_code,component_position,context_page_initial_referring_domain,page,device,user_id,event_text,id,utm_search,gc_name,external_user_id,gc_id,context_campaign_name,context_campaign_source,context_campaign_medium,context_traits_obpp_kyc_status,context_traits_investment_status,investment_status,obpp_kyc_status,context_traits_gc_id,context_traits_gc_name,context_traits_external_user_id,context_session_start
2026-04-23T00:20:54.912+05:30,Invest in non-market linked investment opportunities,Phone,,https://www.gripinvest.in/assets,472,web,Not received,Not received,https://www.gripinvest.in/assets,Bardhaman,3.11.17,"Mozilla/5.0 (Linux; Android 11; RMX3231 Build/RP1A.201005.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.178 Mobile Safari/537.36",2026-04-23T00:30:12.612+05:30,/assets,Not received,Not received,Chrome,False,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,360,,npm,POSTGRES,$direct,no-context,360,Not received,3.11.17,2026-04-23T00:20:55.879+05:30,Not received,Not received,Not received,2b9804c8-956b-4411-b933-9fed9cd14bb1,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1776883624191,ip_39694d1678,Asia/Kolkata,2026-04-23T00:20:55.875+05:30,Sufiyansk ,en-US,Not received,False,2.0,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-23T00:20:54.908+05:30,Not received,4g,Reliance Jio Infocomm Limited,800,West Bengal,Not received,ip_39694d1678,ip_39694d1678,/assets/bonds,bonds,Portrait,IN,0,,/assets,Not received,1805751,asset_search_cleared,b60203ba-2cbf-47bf-8dba-edf1c39715dc,,,,,,,,False,False,False,False,,,,
2026-04-23T05:34:02.549+05:30,Invest in non-market linked investment opportunities,Phone,?type=bonds,https://www.gripinvest.in/assets?type=bonds,496,web,Not received,Not received,https://www.gripinvest.in/assets?type=bonds,Mumbai,3.11.17,"Mozilla/5.0 (Linux; Android 16; 24116RNC1I Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36",2026-04-23T06:00:30.784+05:30,/assets,Not received,Not received,Chrome,False,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,360,,npm,POSTGRES,$direct,no-context,360,Not received,3.11.17,2026-04-23T05:34:03.52+05:30,Not received,Not received,Not received,1ab2d650-f234-47d6-9a9d-4dd600f7483e,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1776902597586,ip_932e5b8cd0,Asia/Kolkata,2026-04-23T05:34:03.519+05:30,Aadhar Card banvana hai,en-IN,Not received,False,2.0,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-23T05:34:02.548+05:30,Not received,4g,Bharti Airtel Ltd. AS for GPRS Service,820,Maharashtra,Not received,ip_932e5b8cd0,ip_932e5b8cd0,/discover,bonds,Portrait,IN,0,,/assets,Not received,1805982,asset_search_cleared,12e4ec05-afb5-4e17-9647-65708f8c7d7c,,,,,,,,False,False,False,False,,,,
2026-04-23T06:47:53.22+05:30,Invest in non-market linked investment opportunities,Phone,,https://www.gripinvest.in/assets,504,web,Not received,Not received,https://www.gripinvest.in/assets,New Delhi,3.11.17,"Mozilla/5.0 (Linux; Android 11; SM-M307F Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.178 Mobile Safari/537.36",2026-04-23T07:00:23.397+05:30,/assets,Not received,Not received,Chrome,False,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,411,,npm,POSTGRES,$direct,no-context,412,Not received,3.11.17,2026-04-23T06:47:56.894+05:30,Not received,Not received,Not received,b637c627-5fa5-41ac-9af7-f54be668ac37,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1776906816463,ip_adce396c25,Asia/Kolkata,2026-04-23T06:47:56.89+05:30,Msdi,en-GB,Not received,False,2.625,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-23T06:47:53.216+05:30,Not received,4g,Vodafone Idea Ltd,892,National Capital Territory of Delhi,Not received,ip_adce396c25,ip_adce396c25,/discover,bonds,Portrait,IN,0,,/assets,Not received,140376,asset_search_cleared,6cc30105-f72c-4a36-ab5f-ff181ce75bfa,?utm_source=email&utm_medium=marketing&utm_campaign=SEM_19042026_M_Educational_WeeklyDigest_Multiple_All_RFQDone_All_A%2FB_Newdomain,,,,,,,True,True,True,True,,,,
2026-04-23T06:48:13.451+05:30,Invest in non-market linked investment opportunities,Phone,,https://www.gripinvest.in/assets,504,web,Not received,Not received,https://www.gripinvest.in/assets,New Delhi,3.11.17,"Mozilla/5.0 (Linux; Android 11; SM-M307F Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.178 Mobile Safari/537.36",2026-04-23T07:00:23.397+05:30,/assets,Not received,Not received,Chrome,False,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,411,,npm,POSTGRES,$direct,no-context,412,Not received,3.11.17,2026-04-23T06:48:15.428+05:30,Not received,Not received,Not received,b637c627-5fa5-41ac-9af7-f54be668ac37,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1776906816463,ip_adce396c25,Asia/Kolkata,2026-04-23T06:48:15.426+05:30,Sdi,en-GB,Not received,False,2.625,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-23T06:48:13.449+05:30,Not received,4g,Vodafone Idea Ltd,892,National Capital Territory of Delhi,Not received,ip_adce396c25,ip_adce396c25,/discover,bonds,Portrait,IN,0,,/assets,Not received,140376,asset_search_cleared,f89d1b59-b854-4e83-9f0e-ade799872cb7,?utm_source=email&utm_medium=marketing&utm_campaign=SEM_19042026_M_Educational_WeeklyDigest_Multiple_All_RFQDone_All_A%2FB_Newdomain,,,,,,,True,True,True,True,,,,
2026-04-23T06:57:38.406+05:30,Invest in non-market linked investment opportunities,Phone,?type=highyieldfd,https://www.gripinvest.in/assets?type=highyieldfd,438,web,Not received,Not received,https://www.gripinvest.in/assets?type=highyieldfd,New Delhi,3.11.17,"Mozilla/5.0 (Linux; Android 16; SM-A166P Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36",2026-04-23T07:00:23.397+05:30,/assets,Not received,Not received,Chrome,False,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,360,,npm,POSTGRES,$direct,no-context,360,Not received,3.11.17,2026-04-23T06:57:38.595+05:30,Not received,Not received,Not received,1991ad43-08c3-4846-8426-193cc04e2cb5,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1776907574575,ip_bdada4ad8e,Asia/Kolkata,2026-04-23T06:57:38.593+05:30,24510306,en-IN,Not received,False,3.0,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-23T06:57:38.404+05:30,Not received,4g,Bharti Airtel Ltd. AS for GPRS Service,780,National Capital Territory of Delhi,Not received,ip_bdada4ad8e,ip_bdada4ad8e,/discover,highyieldfd,Portrait,IN,0,,/assets,Not received,1806052,asset_search_cleared,ec7256d6-7146-420f-a41e-b731447a2aca,,,,,,,,False,False,False,False,,,,
2026-04-23T07:07:31.219+05:30,Invest in non-market linked investment opportunities,Phone,?type=bonds,https://www.gripinvest.in/assets?type=bonds,517,web,Not received,Not received,https://www.gripinvest.in/assets?type=bonds,Mumbai,3.11.17,"Mozilla/5.0 (Linux; Android 11; SM-A505F Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.178 Mobile Safari/537.36",2026-04-23T07:30:31.011+05:30,/assets,Not received,Not received,Chrome,True,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,411,,npm,POSTGRES,$direct,no-context,412,Not received,3.11.17,2026-04-23T07:07:30.59+05:30,Not received,Not received,Not received,b8ae8d79-1ddd-4d7b-9a87-6a2cb8acbfea,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1776908121268,ip_1f8bd903ee,Asia/Kolkata,2026-04-23T07:07:30.587+05:30,Uni,en-GB,Not received,False,2.625,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-23T07:07:31.216+05:30,Not received,4g,Reliance Jio Infocomm Limited,892,Maharashtra,Not received,ip_1f8bd903ee,ip_1f8bd903ee,/discover,bonds,Portrait,IN,0,,/assets,Not received,1624734,asset_search_cleared,9769db43-4dbd-4adf-9a6f-ce1cff90d3fe,,,,,,,,True,True,True,True,,,,
2026-04-23T07:07:47.102+05:30,Invest in non-market linked investment opportunities,Phone,?type=bonds,https://www.gripinvest.in/assets?type=bonds,517,web,Not received,Not received,https://www.gripinvest.in/assets?type=bonds,Mumbai,3.11.17,"Mozilla/5.0 (Linux; Android 11; SM-A505F Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.178 Mobile Safari/537.36",2026-04-23T07:30:31.011+05:30,/assets,Not received,Not received,Chrome,True,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,411,,npm,POSTGRES,$direct,no-context,412,Not received,3.11.17,2026-04-23T07:07:46.465+05:30,Not received,Not received,Not received,b8ae8d79-1ddd-4d7b-9a87-6a2cb8acbfea,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1776908121268,ip_1f8bd903ee,Asia/Kolkata,2026-04-23T07:07:46.463+05:30,Capital ,en-GB,Not received,False,2.625,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-23T07:07:47.1+05:30,Not received,4g,Reliance Jio Infocomm Limited,892,Maharashtra,Not received,ip_1f8bd903ee,ip_1f8bd903ee,/discover,bonds,Portrait,IN,0,,/assets,Not received,1624734,asset_search_cleared,c7923521-9f52-4b27-83ca-cefb97558eb3,,,,,,,,True,True,True,True,,,,
2026-04-23T07:19:24.158+05:30,Invest in non-market linked investment opportunities,Phone,,https://www.gripinvest.in/assets,678,web,Not received,CjwKCAjw46HPBhAMEiwASZpLRNN5ZSGgtRjytHzKfhJZVkS6DG0DfiX_eD-kZ03IQKX1GqiTLHEDkRoCp1cQAvD_BwE,https://www.gripinvest.in/assets,Bengaluru,3.11.17,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",2026-04-23T07:30:31.011+05:30,/assets,Not received,Not received,Chrome,False,https://www.gripinvest.in/signup,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,360,www.gripinvest.in,npm,POSTGRES,https://www.google.com/,no-context,360,government bonds investment,3.11.17,2026-04-23T07:19:24.324+05:30,Not received,google,cpc,bca3643b-51ea-4b61-a766-70db3dec7541,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1776908822720,ip_29a7b0bf75,Asia/Kolkata,2026-04-23T07:19:24.322+05:30,Too,en-GB,Not received,False,3.0,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Website,2026-04-23T07:19:24.156+05:30,Not received,4g,Reliance Jio Infocomm Limited,791,Karnataka,18457637920,ip_29a7b0bf75,ip_29a7b0bf75,/discover,bonds,Portrait,IN,0,www.google.com,/assets,Not received,1806072,asset_search_cleared,99803898-5a4b-4d45-abb6-d61637feb890,?utm_source=google&utm_medium=cpc&utm_campaign=18457637920&utm_referrer=government%20bonds%20investment&gad_source=1&gad_campaignid=18457637920&gclid=CjwKCAjw46HPBhAMEiwASZpLRNN5ZSGgtRjytHzKfhJZVkS6DG0DfiX_eD-kZ03IQKX1GqiTLHEDkRoCp1cQAvD_BwE,,,,,,,False,False,False,False,,,,
2026-04-23T07:20:28.205+05:30,Invest in non-market linked investment opportunities,Phone,,https://www.gripinvest.in/assets,678,web,Not received,CjwKCAjw46HPBhAMEiwASZpLRNN5ZSGgtRjytHzKfhJZVkS6DG0DfiX_eD-kZ03IQKX1GqiTLHEDkRoCp1cQAvD_BwE,https://www.gripinvest.in/assets,Bengaluru,3.11.17,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",2026-04-23T07:30:31.011+05:30,/assets,Not received,Not received,Chrome,False,https://www.gripinvest.in/signup,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,360,www.gripinvest.in,npm,POSTGRES,https://www.google.com/,no-context,360,government bonds investment,3.11.17,2026-04-23T07:20:28.389+05:30,Not received,google,cpc,bca3643b-51ea-4b61-a766-70db3dec7541,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1776908822720,ip_29a7b0bf75,Asia/Kolkata,2026-04-23T07:20:28.387+05:30,Tool,en-GB,Not received,False,3.0,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Website,2026-04-23T07:20:28.203+05:30,Not received,4g,Reliance Jio Infocomm Limited,791,Karnataka,18457637920,ip_29a7b0bf75,ip_29a7b0bf75,/assetdetails/muthoottu-mini/ncd/rcbmm251005/2104,bonds,Portrait,IN,0,www.google.com,/assets,Not received,1806072,asset_search_cleared,24e54ab0-0718-4977-854a-7afe4aab5e84,?utm_source=google&utm_medium=cpc&utm_campaign=18457637920&utm_referrer=government%20bonds%20investment&gad_source=1&gad_campaignid=18457637920&gclid=CjwKCAjw46HPBhAMEiwASZpLRNN5ZSGgtRjytHzKfhJZVkS6DG0DfiX_eD-kZ03IQKX1GqiTLHEDkRoCp1cQAvD_BwE,,,,,,,False,False,False,False,,,,
2026-04-23T07:20:40.301+05:30,Invest in non-market linked investment opportunities,Phone,,https://www.gripinvest.in/assets,678,web,Not received,CjwKCAjw46HPBhAMEiwASZpLRNN5ZSGgtRjytHzKfhJZVkS6DG0DfiX_eD-kZ03IQKX1GqiTLHEDkRoCp1cQAvD_BwE,https://www.gripinvest.in/assets,Bengaluru,3.11.17,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",2026-04-23T07:30:31.011+05:30,/assets,Not received,Not received,Chrome,False,https://www.gripinvest.in/signup,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,360,www.gripinvest.in,npm,POSTGRES,https://www.google.com/,no-context,360,government bonds investment,3.11.17,2026-04-23T07:20:40.465+05:30,Not received,google,cpc,bca3643b-51ea-4b61-a766-70db3dec7541,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1776908822720,ip_29a7b0bf75,Asia/Kolkata,2026-04-23T07:20:40.464+05:30,High way,en-GB,Not received,False,3.0,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Website,2026-04-23T07:20:40.3+05:30,Not received,4g,Reliance Jio Infocomm Limited,791,Karnataka,18457637920,ip_29a7b0bf75,ip_29a7b0bf75,/assetdetails/muthoottu-mini/ncd/rcbmm251005/2104,bonds,Portrait,IN,0,www.google.com,/assets,Not received,1806072,asset_search_cleared,a555622c-8aad-4886-a718-80c9e5481828,?utm_source=google&utm_medium=cpc&utm_campaign=18457637920&utm_referrer=government%20bonds%20investment&gad_source=1&gad_campaignid=18457637920&gclid=CjwKCAjw46HPBhAMEiwASZpLRNN5ZSGgtRjytHzKfhJZVkS6DG0DfiX_eD-kZ03IQKX1GqiTLHEDkRoCp1cQAvD_BwE,,,,,,,False,False,False,False,,,,
