device,context_screen_density,query_text,active_tab,name,context_request_ip,widget_id,id,country,country_code,referrer_page,referrer,context_screen_width,channel,adset,context_page_referring_domain,context_page_search,context_source_id,gclid,context_locale,context_page_initial_referrer,adgroup,context_screen_inner_height,context_destination_type,context_page_initial_referring_domain,event_text,uuid_ts,context_app_name,context_screen_height,page,source,context_destination_id,context_ip,context_screen_inner_width,context_page_title,received_at,query_length,sent_at,device_type,user_id,component_name,context_page_referrer,network_type,application,fbclid,os,context_page_tab_url,context_page_url,browser,device_orientation,campaign,placement,medium,context_app_namespace,context_timezone,region,context_library_name,exp_version,event,context_app_version,content,term,context_library_version,original_timestamp,isp,ip_address,context_source_type,version,creative,context_app_install_type,context_session_id,timezone,context_page_path,timestamp,anonymous_id,context_user_agent,component_position,city,utm_search,gc_name,external_user_id,gc_id,context_session_start,context_traits_obpp_kyc_status,obpp_kyc_status,investment_status,context_traits_investment_status,context_traits_external_user_id,context_traits_gc_id,context_traits_gc_name,context_campaign_medium,context_campaign_source,context_campaign_name
Not received,2.0,Suf,bonds,Not received,ip_39694d1678,no-context,b5b64418-f872-4ef4-89ff-63443deecc95,India,IN,/assets/bonds,Not received,360,web,Not received,,,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-US,$direct,Not received,472,POSTGRES,,asset_search_empty_state,2026-04-23T00:30:12.612+05:30,RudderLabs JavaScript SDK,800,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_39694d1678,360,Invest in non-market linked investment opportunities,2026-04-23T00:20:50.199+05:30,3,2026-04-23T00:20:49.46+05:30,Phone,1805751,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets,https://www.gripinvest.in/assets,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,West Bengal,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-23T00:20:49.455+05:30,Reliance Jio Infocomm Limited,ip_39694d1678,Javascript,IPv4,Not received,npm,1776883624191.0,Asia/Kolkata,/assets,2026-04-23T00:20:50.194+05:30,2b9804c8-956b-4411-b933-9fed9cd14bb1,"Mozilla/5.0 (Linux; Android 11; RMX3231 Build/RP1A.201005.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.178 Mobile Safari/537.36",0,Bardhaman,,,,,,False,False,False,False,,,,,,
Not received,2.0,Sufiyansk ,bonds,Not received,ip_39694d1678,no-context,3277ca56-8e65-4314-9efc-c97f4ba0a2f9,India,IN,/assets/bonds,Not received,360,web,Not received,,,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-US,$direct,Not received,472,POSTGRES,,asset_search_empty_state,2026-04-23T00:30:12.612+05:30,RudderLabs JavaScript SDK,800,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_39694d1678,360,Invest in non-market linked investment opportunities,2026-04-23T00:20:51.944+05:30,10,2026-04-23T00:20:51.094+05:30,Phone,1805751,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets,https://www.gripinvest.in/assets,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,West Bengal,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-23T00:20:51.089+05:30,Reliance Jio Infocomm Limited,ip_39694d1678,Javascript,IPv4,Not received,npm,1776883624191.0,Asia/Kolkata,/assets,2026-04-23T00:20:51.939+05:30,2b9804c8-956b-4411-b933-9fed9cd14bb1,"Mozilla/5.0 (Linux; Android 11; RMX3231 Build/RP1A.201005.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.178 Mobile Safari/537.36",0,Bardhaman,,,,,,False,False,False,False,,,,,,
Not received,2.0,Suf,bonds,Not received,ip_39694d1678,no-context,5fcfebb7-ec14-4df6-8174-2013a3f72b67,India,IN,/assets/bonds,Not received,360,web,Not received,,,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-US,$direct,Not received,472,POSTGRES,,asset_search_empty_state,2026-04-23T00:30:12.612+05:30,RudderLabs JavaScript SDK,800,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_39694d1678,360,Invest in non-market linked investment opportunities,2026-04-23T00:21:20.229+05:30,3,2026-04-23T00:21:19.145+05:30,Phone,1805751,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets,https://www.gripinvest.in/assets,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,West Bengal,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-23T00:21:19.14+05:30,Reliance Jio Infocomm Limited,ip_39694d1678,Javascript,IPv4,Not received,npm,1776883624191.0,Asia/Kolkata,/assets,2026-04-23T00:21:20.224+05:30,2b9804c8-956b-4411-b933-9fed9cd14bb1,"Mozilla/5.0 (Linux; Android 11; RMX3231 Build/RP1A.201005.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.178 Mobile Safari/537.36",0,Bardhaman,,,,,,False,False,False,False,,,,,,
Not received,2.0,Sufiyansk ,bonds,Not received,ip_39694d1678,no-context,fab91e2b-cf5c-4355-b5f8-fe2b8372d046,India,IN,/assets/bonds,Not received,360,web,Not received,,,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-US,$direct,Not received,472,POSTGRES,,asset_search_empty_state,2026-04-23T00:30:12.612+05:30,RudderLabs JavaScript SDK,800,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_39694d1678,360,Invest in non-market linked investment opportunities,2026-04-23T00:21:29.424+05:30,10,2026-04-23T00:21:28.551+05:30,Phone,1805751,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets,https://www.gripinvest.in/assets,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,West Bengal,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-23T00:21:28.546+05:30,Reliance Jio Infocomm Limited,ip_39694d1678,Javascript,IPv4,Not received,npm,1776883624191.0,Asia/Kolkata,/assets,2026-04-23T00:21:29.419+05:30,2b9804c8-956b-4411-b933-9fed9cd14bb1,"Mozilla/5.0 (Linux; Android 11; RMX3231 Build/RP1A.201005.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.178 Mobile Safari/537.36",0,Bardhaman,,,,,,False,False,False,False,,,,,,
Not received,2.75,Dish,bonds,Not received,ip_a812f60515,no-context,0ad8181e-c232-4f8d-a58d-6f36250692a9,India,IN,/discover,Not received,393,web,Not received,,,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-IN,$direct,Not received,546,POSTGRES,,asset_search_empty_state,2026-04-23T01:00:28.891+05:30,RudderLabs JavaScript SDK,873,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_a812f60515,392,Invest in non-market linked investment opportunities,2026-04-23T00:31:02.386+05:30,4,2026-04-23T00:31:01.306+05:30,Phone,1539466,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets,https://www.gripinvest.in/assets,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,Maharashtra,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-23T00:31:01.304+05:30,Bharti Airtel Ltd. AS for GPRS Service,ip_a812f60515,Javascript,IPv4,Not received,npm,1776884233228.0,Asia/Kolkata,/assets,2026-04-23T00:31:02.384+05:30,e4325f9d-a14c-4ae8-a349-3bc194a70496,"Mozilla/5.0 (Linux; Android 14; 2107113SI Build/UKQ1.231207.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",0,Pune,,,,,,True,True,True,True,,,,,,
Not received,3.0,Ici,bonds,Not received,ip_c1b254ff35,no-context,c3517942-79d6-44b5-93de-c3383bb782be,India,IN,/discover,Not received,390,web,Not received,,,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-IN,$direct,Not received,441,POSTGRES,,asset_search_empty_state,2026-04-23T01:00:28.891+05:30,RudderLabs JavaScript SDK,844,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_c1b254ff35,390,Invest in non-market linked investment opportunities,2026-04-23T00:34:21.058+05:30,3,2026-04-23T00:34:20.87+05:30,Phone,1795208,Unknown,$direct,Unknown,Mobile App,Not received,iOS,https://www.gripinvest.in/assets,https://www.gripinvest.in/assets,Unknown,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,Gujarat,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-23T00:34:20.869+05:30,Vodafone Idea Ltd,ip_c1b254ff35,Javascript,IPv4,Not received,npm,1776884594177.0,Asia/Kolkata,/assets,2026-04-23T00:34:21.057+05:30,13d3961c-6c42-438f-a443-b1398044cf58,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",0,Ahmedabad,,,,,,True,True,False,False,,,,,,
Not received,3.0,Icic,bonds,Not received,ip_c1b254ff35,no-context,8dcea3ed-654b-4114-9f79-907bc9422414,India,IN,/discover,Not received,390,web,Not received,,,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-IN,$direct,Not received,441,POSTGRES,,asset_search_empty_state,2026-04-23T01:00:28.891+05:30,RudderLabs JavaScript SDK,844,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_c1b254ff35,390,Invest in non-market linked investment opportunities,2026-04-23T00:34:21.385+05:30,4,2026-04-23T00:34:21.21+05:30,Phone,1795208,Unknown,$direct,Unknown,Mobile App,Not received,iOS,https://www.gripinvest.in/assets,https://www.gripinvest.in/assets,Unknown,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,Gujarat,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-23T00:34:21.21+05:30,Vodafone Idea Ltd,ip_c1b254ff35,Javascript,IPv4,Not received,npm,1776884594177.0,Asia/Kolkata,/assets,2026-04-23T00:34:21.385+05:30,13d3961c-6c42-438f-a443-b1398044cf58,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",0,Ahmedabad,,,,,,True,True,False,False,,,,,,
Not received,3.0,Icici,bonds,Not received,ip_c1b254ff35,no-context,42691ece-b524-4505-879a-79116cb4c2e3,India,IN,/discover,Not received,390,web,Not received,,,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-IN,$direct,Not received,441,POSTGRES,,asset_search_empty_state,2026-04-23T01:00:28.891+05:30,RudderLabs JavaScript SDK,844,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_c1b254ff35,390,Invest in non-market linked investment opportunities,2026-04-23T00:34:23.717+05:30,5,2026-04-23T00:34:23.541+05:30,Phone,1795208,Unknown,$direct,Unknown,Mobile App,Not received,iOS,https://www.gripinvest.in/assets,https://www.gripinvest.in/assets,Unknown,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,Gujarat,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-23T00:34:23.54+05:30,Vodafone Idea Ltd,ip_c1b254ff35,Javascript,IPv4,Not received,npm,1776884594177.0,Asia/Kolkata,/assets,2026-04-23T00:34:23.716+05:30,13d3961c-6c42-438f-a443-b1398044cf58,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",0,Ahmedabad,,,,,,True,True,False,False,,,,,,
Not received,2.0,Ipo,bonds,Not received,ip_51e678af93,no-context,cb2165ef-5053-46b5-a25c-24fedb15e5fb,India,IN,/discover,Not received,360,web,Not received,,,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-GB,$direct,Not received,503,POSTGRES,,asset_search_empty_state,2026-04-23T01:00:28.891+05:30,RudderLabs JavaScript SDK,802,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_51e678af93,360,Invest in non-market linked investment opportunities,2026-04-23T00:44:51.07+05:30,3,2026-04-23T00:44:49.927+05:30,Phone,1379301,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets,https://www.gripinvest.in/assets,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,Jammu and Kashmir,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-23T00:44:49.924+05:30,Bharti Airtel Ltd. AS for GPRS Service,ip_51e678af93,Javascript,IPv4,Not received,npm,1776885262632.0,Asia/Kolkata,/assets,2026-04-23T00:44:51.067+05:30,22f449ce-876a-4e97-b1e6-fdf97d6cb0fa,"Mozilla/5.0 (Linux; Android 14; CPH2681 Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36",0,Srinagar,?utm_source=google&utm_medium=cpc&utm_campaign=23575933566&utm_referrer=&gad_source=2&gad_campaignid=23575933566&gclid=Cj0KCQjwkYLPBhC3ARIsAIyHi3QiPLvEX23e4a0HAlCqMZMlGTs62z7mTeyzfgN3JIvspmT-gmONGUUaAh47EALw_wcB,,,,,True,True,True,True,,,,,,
Not received,3.375,Asa,bonds,Not received,ip_55bcf44a86,no-context,7342f0c5-d0ef-4f7c-bfc8-f024fe7c51f7,India,IN,/assetdetails/adani-airport-holdings-limited/ncd/rcbae260301/2459,Not received,320,web,Not received,,,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-IN,$direct,Not received,433,POSTGRES,,asset_search_empty_state,2026-04-23T01:30:08.397+05:30,RudderLabs JavaScript SDK,712,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_55bcf44a86,320,Invest in non-market linked investment opportunities,2026-04-23T01:19:12.464+05:30,3,2026-04-23T01:19:11.177+05:30,Phone,1493026,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets,https://www.gripinvest.in/assets,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,Rajasthan,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-23T01:19:11.173+05:30,Reliance Jio Infocomm Limited,ip_55bcf44a86,Javascript,IPv4,Not received,npm,1776887243019.0,Asia/Kolkata,/assets,2026-04-23T01:19:12.46+05:30,cd2eee47-7abf-4afe-ad30-4714c26a5be6,"Mozilla/5.0 (Linux; Android 12; RMX2156 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36",0,Bhilwara,,,,,,True,True,False,False,,,,,,
