context_screen_width,context_session_id,timestamp,country,os,context_screen_inner_height,browser,context_app_namespace,context_page_tab_url,context_page_initial_referrer,context_screen_height,context_ip,referrer,id,context_app_name,context_app_install_type,context_destination_type,event,context_page_referring_domain,application,isp,context_page_title,context_page_initial_referring_domain,context_source_type,context_request_ip,page,context_page_url,gclid,name,device_type,context_library_version,exp_version,uuid_ts,fbclid,campaign,external_user_id,context_screen_inner_width,context_page_referrer,content,medium,context_page_search,adset,creative,source,ip_address,city,user_id,context_timezone,anonymous_id,utm_search,context_destination_id,channel,context_page_path,country_code,context_app_version,placement,assets_visible_count,context_locale,referrer_page,context_library_name,widget_id,adgroup,device,gc_name,device_orientation,original_timestamp,network_type,component_name,event_text,term,gc_id,active_tab,context_screen_density,timezone,version,sent_at,context_user_agent,received_at,context_source_id,region,component_position,context_session_start,context_traits_investment_status,obpp_kyc_status,context_traits_obpp_kyc_status,investment_status,context_traits_external_user_id,context_traits_gc_name,context_traits_gc_id,context_campaign_name,context_campaign_medium,context_campaign_source
375,1776881510792.0,2026-04-23T00:03:12.614+05:30,India,iOS,759,Unknown,com.rudderlabs.javascript,https://www.gripinvest.in/assets,$direct,812,ip_192a252dd4,Not received,f9f9eff7-316e-4c41-a7f7-b946c81cadc6,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Kerala Vision Broad Band Private Limited,Invest in non-market linked investment opportunities,,Javascript,ip_192a252dd4,/assets,https://www.gripinvest.in/assets,Not received,Not received,Phone,3.11.17,,2026-04-23T00:30:12.612+05:30,Not received,Not received,,375,$direct,Not received,Not received,,Not received,Not received,Not received,ip_192a252dd4,Thrissur,1044745,GMT+0530,95ee9449-1785-401a-af4b-4c32adbf8af5,,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,40,en-IN,/discover,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-04-23T00:03:12.411+05:30,Unknown,Unknown,asset_search_initiated,Not received,,bonds,3.0,Asia/Kolkata,IPv4,2026-04-23T00:03:12.412+05:30,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",2026-04-23T00:03:12.615+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Kerala,0,,True,True,True,True,,,,,,
360,1776883012794.0,2026-04-23T00:11:43.807+05:30,India,Android,764,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/,800,ip_9eb6faf5a7,Not received,1dde7cac-1a67-4961-8908-b9f764be6bfd,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Bharti Airtel Ltd. AS for GPRS Service,Invest in non-market linked investment opportunities,www.gripinvest.in,Javascript,ip_9eb6faf5a7,/assets,https://www.gripinvest.in/assets?type=bonds,Not received,Not received,Phone,3.11.17,,2026-04-23T00:30:12.612+05:30,Not received,Not received,,360,$direct,Not received,Not received,?type=bonds,Not received,Not received,Not received,ip_9eb6faf5a7,Bengaluru,975920,GMT+0530,2fed7c42-d20a-458b-afa0-01aec5e1845c,,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,44,en-GB,/discover,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-04-23T00:11:42.39+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,3.0,Asia/Kolkata,IPv4,2026-04-23T00:11:42.396+05:30,"Mozilla/5.0 (Linux; Android 15; CPH2467 Build/UKQ1.230924.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36",2026-04-23T00:11:43.813+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Karnataka,0,,False,True,True,False,,,,,,
412,1776883140791.0,2026-04-23T00:13:48.097+05:30,India,Android,850,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets,https://www.gripinvest.in/,915,ip_12daf95764,Not received,f7c26403-d313-43f1-8e20-78c16b0dcdab,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Reliance Jio Infocomm Limited,Invest in non-market linked investment opportunities,www.gripinvest.in,Javascript,ip_12daf95764,/assets,https://www.gripinvest.in/assets,Not received,Not received,Phone,3.11.17,,2026-04-23T00:30:12.612+05:30,Not received,Not received,,411,$direct,Not received,Not received,,Not received,Not received,Not received,ip_12daf95764,Dhanbad,1788580,GMT+0530,8d831026-2a87-4598-99ab-e04d525fce2c,?utm_source=app&utm_medium=marketing&utm_campaign=PApp_22042026_A_Followup_Deal_Bond_Edelweiss_Reg_FTI,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,44,en-GB,/discover,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-04-23T00:13:47.128+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,2.625,Asia/Kolkata,IPv4,2026-04-23T00:13:47.13+05:30,"Mozilla/5.0 (Linux; Android 16; A015 Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",2026-04-23T00:13:48.099+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Jharkhand,0,,False,False,False,False,,,,,,
360,1776883624191.0,2026-04-23T00:20:28.168+05:30,India,Android,724,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets,$direct,800,ip_39694d1678,Not received,23863115-6a29-4db6-a667-75d49c0a992e,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Reliance Jio Infocomm Limited,Invest in non-market linked investment opportunities,,Javascript,ip_39694d1678,/assets,https://www.gripinvest.in/assets,Not received,Not received,Phone,3.11.17,,2026-04-23T00:30:12.612+05:30,Not received,Not received,,360,$direct,Not received,Not received,,Not received,Not received,Not received,ip_39694d1678,Bardhaman,1805751,GMT+0530,2b9804c8-956b-4411-b933-9fed9cd14bb1,,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,44,en-US,/assets/bonds,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-04-23T00:20:27.454+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,2.0,Asia/Kolkata,IPv4,2026-04-23T00:20:27.46+05:30,"Mozilla/5.0 (Linux; Android 11; RMX3231 Build/RP1A.201005.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.178 Mobile Safari/537.36",2026-04-23T00:20:28.174+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,West Bengal,0,,False,False,False,False,,,,,,
393,1776884233228.0,2026-04-23T00:30:56.439+05:30,India,Android,795,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets,$direct,873,ip_a812f60515,Not received,3f6dd3a2-4891-4055-9b24-1fdb7411aab7,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Bharti Airtel Ltd. AS for GPRS Service,Invest in non-market linked investment opportunities,,Javascript,ip_a812f60515,/assets,https://www.gripinvest.in/assets,Not received,Not received,Phone,3.11.17,,2026-04-23T01:00:28.891+05:30,Not received,Not received,,392,$direct,Not received,Not received,,Not received,Not received,Not received,ip_a812f60515,Pune,1539466,GMT+0530,e4325f9d-a14c-4ae8-a349-3bc194a70496,,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,40,en-IN,/discover,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-04-23T00:30:55.337+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,2.75,Asia/Kolkata,IPv4,2026-04-23T00:30:55.339+05:30,"Mozilla/5.0 (Linux; Android 14; 2107113SI Build/UKQ1.231207.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",2026-04-23T00:30:56.441+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Maharashtra,0,,True,True,True,True,,,,,,
390,1776884594177.0,2026-04-23T00:33:43.377+05:30,India,iOS,785,Unknown,com.rudderlabs.javascript,https://www.gripinvest.in/assets,$direct,844,ip_c1b254ff35,Not received,b98e0661-388f-4c5c-afa5-8fd296406c6a,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Vodafone Idea Ltd,Invest in non-market linked investment opportunities,,Javascript,ip_c1b254ff35,/assets,https://www.gripinvest.in/assets,Not received,Not received,Phone,3.11.17,,2026-04-23T01:00:28.891+05:30,Not received,Not received,,390,$direct,Not received,Not received,,Not received,Not received,Not received,ip_c1b254ff35,Ahmedabad,1795208,GMT+0530,13d3961c-6c42-438f-a443-b1398044cf58,,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,44,en-IN,/discover,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-04-23T00:33:43.217+05:30,Unknown,Unknown,asset_search_initiated,Not received,,bonds,3.0,Asia/Kolkata,IPv4,2026-04-23T00:33:43.218+05:30,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",2026-04-23T00:33:43.378+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Gujarat,0,,False,True,True,False,,,,,,
390,1776884594177.0,2026-04-23T00:34:16.038+05:30,India,iOS,785,Unknown,com.rudderlabs.javascript,https://www.gripinvest.in/assets,$direct,844,ip_c1b254ff35,Not received,e79eacc3-24e7-4976-bfdd-6bec1d674ceb,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Vodafone Idea Ltd,Invest in non-market linked investment opportunities,,Javascript,ip_c1b254ff35,/assets,https://www.gripinvest.in/assets,Not received,Not received,Phone,3.11.17,,2026-04-23T01:00:28.891+05:30,Not received,Not received,,390,$direct,Not received,Not received,,Not received,Not received,Not received,ip_c1b254ff35,Ahmedabad,1795208,GMT+0530,13d3961c-6c42-438f-a443-b1398044cf58,,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,44,en-IN,/discover,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-04-23T00:34:15.875+05:30,Unknown,Unknown,asset_search_initiated,Not received,,bonds,3.0,Asia/Kolkata,IPv4,2026-04-23T00:34:15.876+05:30,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",2026-04-23T00:34:16.039+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Gujarat,0,,False,True,True,False,,,,,,
390,1776884595240.0,2026-04-23T00:44:00.78+05:30,India,iOS,707,Unknown,com.rudderlabs.javascript,https://www.gripinvest.in/assets,$direct,844,ip_93e91ae1d3,Not received,49e441fa-2fed-4cd9-a605-32515353a6e0,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,www.gripinvest.in,Website,Reliance Jio Infocomm Limited,Invest in non-market linked investment opportunities,,Javascript,ip_93e91ae1d3,/assets,https://www.gripinvest.in/assets,Not received,Not received,Phone,3.11.17,,2026-04-23T01:00:28.891+05:30,Not received,gc,650072092545f,390,https://www.gripinvest.in/external-ui/12680a12-1093-4a24-b1bb-f001bc762472?partner_id=PAR00396IFA&utm_source=Mobikwik&utm_medium=connect&utm_campaign=gc,Not received,connect,,Not received,Not received,Mobikwik,ip_93e91ae1d3,Hyderabad,1804353,GMT+0530,40045bfa-8736-470b-a9e4-9045376cc6df,?partner_id=PAR00396IFA&utm_source=Mobikwik&utm_medium=connect&utm_campaign=gc,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,34,en-IN,/quick-start,RudderLabs JavaScript SDK,no-context,Not received,Not received,Mobikwik,Portrait,2026-04-23T00:44:00.58+05:30,Unknown,Unknown,asset_search_initiated,Not received,396.0,bonds,3.0,Asia/Kolkata,IPv4,2026-04-23T00:44:00.582+05:30,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",2026-04-23T00:44:00.782+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Telangana,0,,False,True,True,False,650072092545f,Mobikwik,396.0,,,
360,1776885262632.0,2026-04-23T00:44:47.746+05:30,India,Android,760,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets,$direct,802,ip_51e678af93,Not received,00ce4ede-4bf5-4fb5-bef2-68bac3fff237,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Bharti Airtel Ltd. AS for GPRS Service,Invest in non-market linked investment opportunities,,Javascript,ip_51e678af93,/assets,https://www.gripinvest.in/assets,Not received,Not received,Phone,3.11.17,,2026-04-23T01:00:28.891+05:30,Not received,Not received,,360,$direct,Not received,Not received,,Not received,Not received,Not received,ip_51e678af93,Srinagar,1379301,GMT+0530,22f449ce-876a-4e97-b1e6-fdf97d6cb0fa,?utm_source=google&utm_medium=cpc&utm_campaign=23575933566&utm_referrer=&gad_source=2&gad_campaignid=23575933566&gclid=Cj0KCQjwkYLPBhC3ARIsAIyHi3QiPLvEX23e4a0HAlCqMZMlGTs62z7mTeyzfgN3JIvspmT-gmONGUUaAh47EALw_wcB,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,40,en-GB,/discover,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-04-23T00:44:46.598+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,2.0,Asia/Kolkata,IPv4,2026-04-23T00:44:46.6+05:30,"Mozilla/5.0 (Linux; Android 14; CPH2681 Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36",2026-04-23T00:44:47.748+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Jammu and Kashmir,0,,True,True,True,True,,,,,,
393,1776883654144.0,2026-04-23T00:58:17.143+05:30,India,Android,819,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets,$direct,876,ip_55b07a0f9d,,c0056a4c-d110-419a-b831-3ca5f8170227,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,app.digio.in,Mobile App,Reliance Jio Infocomm Limited,Invest in non-market linked investment opportunities,,Javascript,ip_55b07a0f9d,/assets,https://www.gripinvest.in/assets,,,Phone,3.11.17,,2026-04-23T01:00:28.891+05:30,,,,392,https://app.digio.in/,,,,,,,ip_55b07a0f9d,Patna,1805753,GMT+0530,485611f6-7ec0-4272-a62e-e2f0fa755448,,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,,44,en-US,/assets/bonds,RudderLabs JavaScript SDK,no-context,,,,Portrait,2026-04-23T00:58:16.748+05:30,4g,Unknown,asset_search_initiated,,,bonds,2.75,Asia/Kolkata,IPv4,2026-04-23T00:58:16.75+05:30,"Mozilla/5.0 (Linux; Android 16; V2338 Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36",2026-04-23T00:58:17.145+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Bihar,0,,False,True,True,False,,,,,,
