application,context_app_install_type,context_page_referring_domain,gc_name,context_source_type,active_tab,context_timezone,campaign,gc_id,external_user_id,received_at,anonymous_id,term,placement,device,context_page_path,context_session_id,gclid,context_page_title,timestamp,content,fbclid,adgroup,sent_at,context_source_id,context_page_url,original_timestamp,context_page_referrer,country_code,context_page_initial_referrer,name,is_refinement,context_app_namespace,creative,context_screen_width,referrer_page,context_screen_height,timezone,context_ip,context_screen_density,results_count,component_position,page,id,ip_address,context_app_name,event_text,medium,version,device_orientation,browser,adset,component_name,context_screen_inner_height,country,region,context_destination_id,context_destination_type,context_screen_inner_width,context_library_name,os,context_request_ip,query_text,context_app_version,device_type,query_length,network_type,exp_version,isp,referrer,event,uuid_ts,user_id,channel,context_page_initial_referring_domain,context_locale,context_page_search,widget_id,city,context_library_version,context_user_agent,context_page_tab_url,source,utm_search,context_traits_obpp_kyc_status,obpp_kyc_status,investment_status,context_traits_investment_status,context_traits_gc_id,context_traits_gc_name,context_traits_external_user_id,context_campaign_medium,context_campaign_source,context_campaign_name,context_session_start
Mobile App,npm,,,Javascript,bonds,GMT+0530,Not received,,,2026-04-23T00:03:15.095+05:30,95ee9449-1785-401a-af4b-4c32adbf8af5,Not received,Not received,Not received,/assets,1776881510792.0,Not received,Invest in non-market linked investment opportunities,2026-04-23T00:03:15.094+05:30,Not received,Not received,Not received,2026-04-23T00:03:14.89+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets,2026-04-23T00:03:14.889+05:30,$direct,IN,$direct,Not received,False,com.rudderlabs.javascript,Not received,375,/discover,812,Asia/Kolkata,ip_192a252dd4,3.0,1,0,/assets,90079185-567d-4f34-ae74-7f6db48f28d1,ip_192a252dd4,RudderLabs JavaScript SDK,asset_search_query,Not received,IPv4,Portrait,Unknown,Not received,Unknown,409,India,Kerala,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,375,RudderLabs JavaScript SDK,iOS,ip_192a252dd4,Spa,3.11.17,Phone,3,Unknown,,Kerala Vision Broad Band Private Limited,Not received,asset_search_query,2026-04-23T00:30:12.612+05:30,1044745,web,,en-IN,,no-context,Thrissur,3.11.17,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",https://www.gripinvest.in/assets,Not received,,True,True,True,True,,,,,,,
Mobile App,npm,,,Javascript,bonds,GMT+0530,Not received,,,2026-04-23T00:11:46.068+05:30,2fed7c42-d20a-458b-afa0-01aec5e1845c,Not received,Not received,Not received,/assets,1776883012794.0,Not received,Invest in non-market linked investment opportunities,2026-04-23T00:11:46.066+05:30,Not received,Not received,Not received,2026-04-23T00:11:45.251+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets?type=bonds,2026-04-23T00:11:45.249+05:30,$direct,IN,https://www.gripinvest.in/,Not received,False,com.rudderlabs.javascript,Not received,360,/discover,800,Asia/Kolkata,ip_9eb6faf5a7,3.0,1,0,/assets,4f18596c-0969-4eb9-8d1a-08717fdcda56,ip_9eb6faf5a7,RudderLabs JavaScript SDK,asset_search_query,Not received,IPv4,Portrait,Chrome,Not received,Unknown,501,India,Karnataka,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,360,RudderLabs JavaScript SDK,Android,ip_9eb6faf5a7,Aka,3.11.17,Phone,3,4g,,Bharti Airtel Ltd. AS for GPRS Service,Not received,asset_search_query,2026-04-23T00:30:12.612+05:30,975920,web,www.gripinvest.in,en-GB,?type=bonds,no-context,Bengaluru,3.11.17,"Mozilla/5.0 (Linux; Android 15; CPH2467 Build/UKQ1.230924.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36",https://www.gripinvest.in/assets?type=bonds,Not received,,True,True,False,False,,,,,,,
Mobile App,npm,,,Javascript,bonds,GMT+0530,Not received,,,2026-04-23T00:11:46.428+05:30,2fed7c42-d20a-458b-afa0-01aec5e1845c,Not received,Not received,Not received,/assets,1776883012794.0,Not received,Invest in non-market linked investment opportunities,2026-04-23T00:11:46.427+05:30,Not received,Not received,Not received,2026-04-23T00:11:45.634+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets?type=bonds,2026-04-23T00:11:45.633+05:30,$direct,IN,https://www.gripinvest.in/,Not received,True,com.rudderlabs.javascript,Not received,360,/discover,800,Asia/Kolkata,ip_9eb6faf5a7,3.0,2,0,/assets,f5ab7aae-9d4e-4329-960c-4c7ba1663abe,ip_9eb6faf5a7,RudderLabs JavaScript SDK,asset_search_query,Not received,IPv4,Portrait,Chrome,Not received,Unknown,501,India,Karnataka,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,360,RudderLabs JavaScript SDK,Android,ip_9eb6faf5a7,Akar,3.11.17,Phone,4,4g,,Bharti Airtel Ltd. AS for GPRS Service,Not received,asset_search_query,2026-04-23T00:30:12.612+05:30,975920,web,www.gripinvest.in,en-GB,?type=bonds,no-context,Bengaluru,3.11.17,"Mozilla/5.0 (Linux; Android 15; CPH2467 Build/UKQ1.230924.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36",https://www.gripinvest.in/assets?type=bonds,Not received,,True,True,False,False,,,,,,,
Mobile App,npm,,,Javascript,bonds,GMT+0530,Not received,,,2026-04-23T00:11:46.827+05:30,2fed7c42-d20a-458b-afa0-01aec5e1845c,Not received,Not received,Not received,/assets,1776883012794.0,Not received,Invest in non-market linked investment opportunities,2026-04-23T00:11:46.826+05:30,Not received,Not received,Not received,2026-04-23T00:11:46.03+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets?type=bonds,2026-04-23T00:11:46.029+05:30,$direct,IN,https://www.gripinvest.in/,Not received,True,com.rudderlabs.javascript,Not received,360,/discover,800,Asia/Kolkata,ip_9eb6faf5a7,3.0,1,0,/assets,c554a569-75ba-4279-87f3-46c4302bf4f8,ip_9eb6faf5a7,RudderLabs JavaScript SDK,asset_search_query,Not received,IPv4,Portrait,Chrome,Not received,Unknown,501,India,Karnataka,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,360,RudderLabs JavaScript SDK,Android,ip_9eb6faf5a7,Akara,3.11.17,Phone,5,4g,,Bharti Airtel Ltd. AS for GPRS Service,Not received,asset_search_query,2026-04-23T00:30:12.612+05:30,975920,web,www.gripinvest.in,en-GB,?type=bonds,no-context,Bengaluru,3.11.17,"Mozilla/5.0 (Linux; Android 15; CPH2467 Build/UKQ1.230924.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36",https://www.gripinvest.in/assets?type=bonds,Not received,,True,True,False,False,,,,,,,
Mobile App,npm,,,Javascript,bonds,GMT+0530,Not received,,,2026-04-23T00:13:55.904+05:30,8d831026-2a87-4598-99ab-e04d525fce2c,Not received,Not received,Not received,/assets,1776883140791.0,Not received,Invest in non-market linked investment opportunities,2026-04-23T00:13:55.898+05:30,Not received,Not received,Not received,2026-04-23T00:13:54.925+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets,2026-04-23T00:13:54.919+05:30,$direct,IN,https://www.gripinvest.in/,Not received,False,com.rudderlabs.javascript,Not received,412,/discover,915,Asia/Kolkata,ip_12daf95764,2.625,2,0,/assets,28bb529f-92a5-49a5-8fea-ac790c002f00,ip_12daf95764,RudderLabs JavaScript SDK,asset_search_query,Not received,IPv4,Portrait,Chrome,Not received,Unknown,531,India,Jharkhand,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,411,RudderLabs JavaScript SDK,Android,ip_12daf95764,Math,3.11.17,Phone,4,4g,,Reliance Jio Infocomm Limited,Not received,asset_search_query,2026-04-23T00:30:12.612+05:30,1788580,web,www.gripinvest.in,en-GB,,no-context,Dhanbad,3.11.17,"Mozilla/5.0 (Linux; Android 16; A015 Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",https://www.gripinvest.in/assets,Not received,?utm_source=app&utm_medium=marketing&utm_campaign=PApp_22042026_A_Followup_Deal_Bond_Edelweiss_Reg_FTI,False,False,False,False,,,,,,,
Mobile App,npm,,,Javascript,bonds,GMT+0530,Not received,,,2026-04-23T00:13:56.734+05:30,8d831026-2a87-4598-99ab-e04d525fce2c,Not received,Not received,Not received,/assets,1776883140791.0,Not received,Invest in non-market linked investment opportunities,2026-04-23T00:13:56.73+05:30,Not received,Not received,Not received,2026-04-23T00:13:55.768+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets,2026-04-23T00:13:55.764+05:30,$direct,IN,https://www.gripinvest.in/,Not received,True,com.rudderlabs.javascript,Not received,412,/discover,915,Asia/Kolkata,ip_12daf95764,2.625,2,0,/assets,fda4b1d9-7cbc-44e8-be18-bcf94508a635,ip_12daf95764,RudderLabs JavaScript SDK,asset_search_query,Not received,IPv4,Portrait,Chrome,Not received,Unknown,531,India,Jharkhand,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,411,RudderLabs JavaScript SDK,Android,ip_12daf95764,Matho,3.11.17,Phone,5,4g,,Reliance Jio Infocomm Limited,Not received,asset_search_query,2026-04-23T00:30:12.612+05:30,1788580,web,www.gripinvest.in,en-GB,,no-context,Dhanbad,3.11.17,"Mozilla/5.0 (Linux; Android 16; A015 Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",https://www.gripinvest.in/assets,Not received,?utm_source=app&utm_medium=marketing&utm_campaign=PApp_22042026_A_Followup_Deal_Bond_Edelweiss_Reg_FTI,False,False,False,False,,,,,,,
Mobile App,npm,,,Javascript,bonds,GMT+0530,Not received,,,2026-04-23T00:20:50.794+05:30,2b9804c8-956b-4411-b933-9fed9cd14bb1,Not received,Not received,Not received,/assets,1776883624191.0,Not received,Invest in non-market linked investment opportunities,2026-04-23T00:20:50.789+05:30,Not received,Not received,Not received,2026-04-23T00:20:49.507+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets,2026-04-23T00:20:49.502+05:30,$direct,IN,$direct,Not received,False,com.rudderlabs.javascript,Not received,360,/assets/bonds,800,Asia/Kolkata,ip_39694d1678,2.0,0,0,/assets,70de7215-c902-47b6-9424-637d56cf7996,ip_39694d1678,RudderLabs JavaScript SDK,asset_search_query,Not received,IPv4,Portrait,Chrome,Not received,Unknown,472,India,West Bengal,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,360,RudderLabs JavaScript SDK,Android,ip_39694d1678,Suf,3.11.17,Phone,3,4g,,Reliance Jio Infocomm Limited,Not received,asset_search_query,2026-04-23T00:30:12.612+05:30,1805751,web,,en-US,,no-context,Bardhaman,3.11.17,"Mozilla/5.0 (Linux; Android 11; RMX3231 Build/RP1A.201005.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.178 Mobile Safari/537.36",https://www.gripinvest.in/assets,Not received,,False,False,False,False,,,,,,,
Mobile App,npm,,,Javascript,bonds,GMT+0530,Not received,,,2026-04-23T00:20:52.044+05:30,2b9804c8-956b-4411-b933-9fed9cd14bb1,Not received,Not received,Not received,/assets,1776883624191.0,Not received,Invest in non-market linked investment opportunities,2026-04-23T00:20:52.039+05:30,Not received,Not received,Not received,2026-04-23T00:20:51.141+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets,2026-04-23T00:20:51.136+05:30,$direct,IN,$direct,Not received,True,com.rudderlabs.javascript,Not received,360,/assets/bonds,800,Asia/Kolkata,ip_39694d1678,2.0,0,0,/assets,350cd327-583d-4221-97be-83c39ef14e63,ip_39694d1678,RudderLabs JavaScript SDK,asset_search_query,Not received,IPv4,Portrait,Chrome,Not received,Unknown,472,India,West Bengal,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,360,RudderLabs JavaScript SDK,Android,ip_39694d1678,Sufiyansk ,3.11.17,Phone,10,4g,,Reliance Jio Infocomm Limited,Not received,asset_search_query,2026-04-23T00:30:12.612+05:30,1805751,web,,en-US,,no-context,Bardhaman,3.11.17,"Mozilla/5.0 (Linux; Android 11; RMX3231 Build/RP1A.201005.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.178 Mobile Safari/537.36",https://www.gripinvest.in/assets,Not received,,False,False,False,False,,,,,,,
Mobile App,npm,,,Javascript,bonds,GMT+0530,Not received,,,2026-04-23T00:21:20.524+05:30,2b9804c8-956b-4411-b933-9fed9cd14bb1,Not received,Not received,Not received,/assets,1776883624191.0,Not received,Invest in non-market linked investment opportunities,2026-04-23T00:21:20.519+05:30,Not received,Not received,Not received,2026-04-23T00:21:19.184+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets,2026-04-23T00:21:19.179+05:30,$direct,IN,$direct,Not received,False,com.rudderlabs.javascript,Not received,360,/assets/bonds,800,Asia/Kolkata,ip_39694d1678,2.0,0,0,/assets,b2ef194d-f7b2-48fe-bc56-c7a8c8db3c16,ip_39694d1678,RudderLabs JavaScript SDK,asset_search_query,Not received,IPv4,Portrait,Chrome,Not received,Unknown,472,India,West Bengal,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,360,RudderLabs JavaScript SDK,Android,ip_39694d1678,Suf,3.11.17,Phone,3,4g,,Reliance Jio Infocomm Limited,Not received,asset_search_query,2026-04-23T00:30:12.612+05:30,1805751,web,,en-US,,no-context,Bardhaman,3.11.17,"Mozilla/5.0 (Linux; Android 11; RMX3231 Build/RP1A.201005.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.178 Mobile Safari/537.36",https://www.gripinvest.in/assets,Not received,,False,False,False,False,,,,,,,
Mobile App,npm,,,Javascript,bonds,GMT+0530,Not received,,,2026-04-23T00:21:23.794+05:30,2b9804c8-956b-4411-b933-9fed9cd14bb1,Not received,Not received,Not received,/assets,1776883624191.0,Not received,Invest in non-market linked investment opportunities,2026-04-23T00:21:23.789+05:30,Not received,Not received,Not received,2026-04-23T00:21:23.052+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets,2026-04-23T00:21:23.047+05:30,$direct,IN,$direct,Not received,True,com.rudderlabs.javascript,Not received,360,/assets/bonds,800,Asia/Kolkata,ip_39694d1678,2.0,2,0,/assets,c2241be1-49c5-46a1-a7b4-0fc953d853f5,ip_39694d1678,RudderLabs JavaScript SDK,asset_search_query,Not received,IPv4,Portrait,Chrome,Not received,Unknown,472,India,West Bengal,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,360,RudderLabs JavaScript SDK,Android,ip_39694d1678,Sufi,3.11.17,Phone,4,4g,,Reliance Jio Infocomm Limited,Not received,asset_search_query,2026-04-23T00:30:12.612+05:30,1805751,web,,en-US,,no-context,Bardhaman,3.11.17,"Mozilla/5.0 (Linux; Android 11; RMX3231 Build/RP1A.201005.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.178 Mobile Safari/537.36",https://www.gripinvest.in/assets,Not received,,False,False,False,False,,,,,,,
