context_library_name,context_page_search,result_position,device_type,context_page_url,user_id,campaign,event,region,context_app_install_type,version,network_type,clicked_asset_name,device,context_page_initial_referring_domain,context_screen_width,widget_id,adgroup,timezone,received_at,referrer_page,placement,isp,page,uuid_ts,context_page_initial_referrer,context_locale,context_screen_height,timestamp,medium,source,fbclid,sent_at,country,context_user_agent,context_screen_inner_width,exp_version,active_tab,original_timestamp,context_app_version,context_app_namespace,anonymous_id,application,context_destination_id,query_text,ip_address,component_name,context_page_path,country_code,context_source_type,context_ip,term,clicked_asset_id,context_destination_type,context_screen_density,gclid,name,city,event_text,clicked_asset_type,component_position,context_library_version,context_app_name,channel,context_timezone,results_count,device_orientation,context_source_id,id,referrer,os,context_session_id,browser,creative,content,context_page_referring_domain,context_page_referrer,context_request_ip,context_page_title,context_page_tab_url,adset,context_screen_inner_height,utm_search,gc_id,external_user_id,gc_name,obpp_kyc_status,context_traits_obpp_kyc_status,context_traits_investment_status,investment_status,context_traits_gc_id,context_traits_external_user_id,context_traits_gc_name,context_campaign_name,context_campaign_source,context_campaign_medium
RudderLabs JavaScript SDK,,0,Phone,https://www.gripinvest.in/assets,1044745,Not received,asset_search_result_clicked,Kerala,npm,IPv4,Unknown,RCBSPD251201,Not received,,375,no-context,Not received,Asia/Kolkata,2026-04-23T00:03:16.582+05:30,/discover,Not received,Kerala Vision Broad Band Private Limited,/assets,2026-04-23T00:30:12.612+05:30,$direct,en-IN,812,2026-04-23T00:03:16.581+05:30,Not received,Not received,Not received,2026-04-23T00:03:16.38+05:30,India,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",375,,bonds,2026-04-23T00:03:16.379+05:30,3.11.17,com.rudderlabs.javascript,95ee9449-1785-401a-af4b-4c32adbf8af5,Mobile App,1zPDwwVTM2IViEcrnPu1ijq5MB9,Spa,ip_192a252dd4,Unknown,/assets,IN,Javascript,ip_192a252dd4,Not received,2318,POSTGRES,3.0,Not received,Not received,Thrissur,asset_search_result_clicked,bonds,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,1,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,0551886e-d2f4-427d-8537-8736b00d00cb,Not received,iOS,1776881510792.0,Unknown,Not received,Not received,,$direct,ip_192a252dd4,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets,Not received,409,,,,,True,True,True,True,,,,,,
RudderLabs JavaScript SDK,,0,Phone,https://www.gripinvest.in/assets,1788580,Not received,asset_search_result_clicked,Jharkhand,npm,IPv4,4g,RCBMM251005,Not received,www.gripinvest.in,412,no-context,Not received,Asia/Kolkata,2026-04-23T00:13:58.694+05:30,/discover,Not received,Reliance Jio Infocomm Limited,/assets,2026-04-23T00:30:12.612+05:30,https://www.gripinvest.in/,en-GB,915,2026-04-23T00:13:58.692+05:30,Not received,Not received,Not received,2026-04-23T00:13:57.742+05:30,India,"Mozilla/5.0 (Linux; Android 16; A015 Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",411,,bonds,2026-04-23T00:13:57.74+05:30,3.11.17,com.rudderlabs.javascript,8d831026-2a87-4598-99ab-e04d525fce2c,Mobile App,1zPDwwVTM2IViEcrnPu1ijq5MB9,Matho,ip_12daf95764,Unknown,/assets,IN,Javascript,ip_12daf95764,Not received,2104,POSTGRES,2.625,Not received,Not received,Dhanbad,asset_search_result_clicked,bonds,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,2,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,4aba14b6-7431-40fd-9972-afa2221f52d7,Not received,Android,1776883140791.0,Chrome,Not received,Not received,,$direct,ip_12daf95764,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets,Not received,531,?utm_source=app&utm_medium=marketing&utm_campaign=PApp_22042026_A_Followup_Deal_Bond_Edelweiss_Reg_FTI,,,,False,False,False,False,,,,,,
RudderLabs JavaScript SDK,,0,Phone,https://www.gripinvest.in/assets,1805751,Not received,asset_search_result_clicked,West Bengal,npm,IPv4,4g,RCBMFN260402,Not received,,360,no-context,Not received,Asia/Kolkata,2026-04-23T00:21:46.424+05:30,/assets/bonds,Not received,Reliance Jio Infocomm Limited,/assets,2026-04-23T00:30:12.612+05:30,$direct,en-US,800,2026-04-23T00:21:46.419+05:30,Not received,Not received,Not received,2026-04-23T00:21:45.378+05:30,India,"Mozilla/5.0 (Linux; Android 11; RMX3231 Build/RP1A.201005.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.178 Mobile Safari/537.36",360,,bonds,2026-04-23T00:21:45.373+05:30,3.11.17,com.rudderlabs.javascript,2b9804c8-956b-4411-b933-9fed9cd14bb1,Mobile App,1zPDwwVTM2IViEcrnPu1ijq5MB9,Sufiyansk ,ip_39694d1678,Unknown,/assets,IN,Javascript,ip_39694d1678,Not received,2578,POSTGRES,2.0,Not received,Not received,Bardhaman,asset_search_result_clicked,bonds,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,0,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,9418026d-343e-43cd-990a-1451476c9405,Not received,Android,1776883624191.0,Chrome,Not received,Not received,,$direct,ip_39694d1678,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets,Not received,472,,,,,False,False,False,False,,,,,,
RudderLabs JavaScript SDK,,1,Phone,https://www.gripinvest.in/assets,1804353,gc,asset_search_result_clicked,Telangana,npm,IPv4,Unknown,RCBKM260101,Not received,,390,no-context,Not received,Asia/Kolkata,2026-04-23T00:44:20.706+05:30,/quick-start,Not received,Reliance Jio Infocomm Limited,/assets,2026-04-23T01:00:28.891+05:30,$direct,en-IN,844,2026-04-23T00:44:20.705+05:30,connect,Mobikwik,Not received,2026-04-23T00:44:20.529+05:30,India,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",390,,bonds,2026-04-23T00:44:20.528+05:30,3.11.17,com.rudderlabs.javascript,40045bfa-8736-470b-a9e4-9045376cc6df,Website,1zPDwwVTM2IViEcrnPu1ijq5MB9,Gold,ip_93e91ae1d3,Unknown,/assets,IN,Javascript,ip_93e91ae1d3,Not received,2388,POSTGRES,3.0,Not received,Not received,Hyderabad,asset_search_result_clicked,bonds,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,4,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,dc83b413-44d3-4fb6-9c51-5fde4224db38,Not received,iOS,1776884595240.0,Unknown,Not received,Not received,www.gripinvest.in,https://www.gripinvest.in/external-ui/12680a12-1093-4a24-b1bb-f001bc762472?partner_id=PAR00396IFA&utm_source=Mobikwik&utm_medium=connect&utm_campaign=gc,ip_93e91ae1d3,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets,Not received,707,?partner_id=PAR00396IFA&utm_source=Mobikwik&utm_medium=connect&utm_campaign=gc,396.0,650072092545f,Mobikwik,True,True,False,False,396.0,650072092545f,Mobikwik,,,
RudderLabs JavaScript SDK,?type=bonds,0,Phone,https://www.gripinvest.in/assets?type=bonds,1793169,Not received,asset_search_result_clicked,National Capital Territory of Delhi,npm,IPv4,4g,RCBMM251005,Not received,,360,no-context,Not received,Asia/Kolkata,2026-04-23T01:02:26.235+05:30,/discover,Not received,Reliance Jio Infocomm Limited,/assets,2026-04-23T01:30:08.397+05:30,$direct,en-GB,793,2026-04-23T01:02:26.234+05:30,Not received,Not received,Not received,2026-04-23T01:05:06.205+05:30,India,"Mozilla/5.0 (Linux; Android 16; CPH2707 Build/UKQ1.231108.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",360,,bonds,2026-04-23T01:05:06.204+05:30,3.11.17,com.rudderlabs.javascript,46b6337d-8d6f-425f-985c-3602784903ff,Mobile App,1zPDwwVTM2IViEcrnPu1ijq5MB9,Muthoot ,ip_b66bded367,Unknown,/assets,IN,Javascript,ip_b66bded367,Not received,2104,POSTGRES,3.0,Not received,Not received,New Delhi,asset_search_result_clicked,bonds,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,1,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,84718d4b-7908-414f-a166-ffd7d0ae7a7f,Not received,Android,1776886413102.0,Chrome,Not received,Not received,,$direct,ip_b66bded367,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets?type=bonds,Not received,493,,,,,False,False,False,False,,,,,,
RudderLabs JavaScript SDK,,2,Phone,https://www.gripinvest.in/assets,1032019,gc,asset_search_result_clicked,Gujarat,npm,IPv4,4g,RCBKD260201,Not received,,432,no-context,Not received,Asia/Kolkata,2026-04-23T01:04:40.325+05:30,direct,Not received,Bharti Airtel Ltd. AS for GPRS Service,/assets,2026-04-23T01:30:08.397+05:30,$direct,en-IN,960,2026-04-23T01:04:40.324+05:30,connect,Mobikwik,Not received,2026-04-23T01:04:38.707+05:30,India,"Mozilla/5.0 (Linux; Android 16; motorola edge 50 fusion Build/W1UUI36H.110-42; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.178 Mobile Safari/537.36",432,,bonds,2026-04-23T01:04:38.706+05:30,3.11.17,com.rudderlabs.javascript,55c3aea0-9598-49b2-855a-80bfe7133dec,Website,1zPDwwVTM2IViEcrnPu1ijq5MB9,Gold,ip_aa2e5c84aa,Unknown,/assets,IN,Javascript,ip_aa2e5c84aa,Not received,2393,POSTGRES,2.5,Not received,Not received,Ahmedabad,asset_search_result_clicked,bonds,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,4,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,f820322a-8c43-4794-989c-2bef34684d05,Not received,Android,1776886386703.0,Chrome,Not received,Not received,www.gripinvest.in,https://www.gripinvest.in/external-ui/1a1dfe47-ce5a-462a-b6f6-5f0548ff4417?partner_id=PAR00396IFA&utm_source=Mobikwik&utm_medium=connect&utm_campaign=gc,ip_aa2e5c84aa,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets,Not received,773,?partner_id=PAR00396IFA&utm_source=Mobikwik&utm_medium=connect&utm_campaign=gc,396.0,64981216e66a1,Mobikwik,True,True,True,True,396.0,64981216e66a1,Mobikwik,,,
RudderLabs JavaScript SDK,,3,Phone,https://www.gripinvest.in/assets,1493026,Not received,asset_search_result_clicked,Rajasthan,npm,IPv4,4g,RCBSPD251201,Not received,,320,no-context,Not received,Asia/Kolkata,2026-04-23T01:17:46.445+05:30,/discover,Not received,Reliance Jio Infocomm Limited,/assets,2026-04-23T01:30:08.397+05:30,$direct,en-IN,712,2026-04-23T01:17:46.443+05:30,Not received,Not received,Not received,2026-04-23T01:17:45.164+05:30,India,"Mozilla/5.0 (Linux; Android 12; RMX2156 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36",320,,bonds,2026-04-23T01:17:45.162+05:30,3.11.17,com.rudderlabs.javascript,cd2eee47-7abf-4afe-ad30-4714c26a5be6,Mobile App,1zPDwwVTM2IViEcrnPu1ijq5MB9,Adani,ip_55bcf44a86,Unknown,/assets,IN,Javascript,ip_55bcf44a86,Not received,2318,POSTGRES,3.375,Not received,Not received,Bhilwara,asset_search_result_clicked,bonds,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,5,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,9403491f-bff1-413f-84e4-c56838ef6452,Not received,Android,1776887243019.0,Chrome,Not received,Not received,,$direct,ip_55bcf44a86,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets,Not received,635,,,,,True,True,False,False,,,,,,
RudderLabs JavaScript SDK,,1,Phone,https://www.gripinvest.in/assets,1493026,Not received,asset_search_result_clicked,Rajasthan,npm,IPv4,4g,RCBAE260301,Not received,,320,no-context,Not received,Asia/Kolkata,2026-04-23T01:18:26.364+05:30,/assetdetails/spandana-sphoorty-financial-limited/ncd/rcbspd251201/2318,Not received,Reliance Jio Infocomm Limited,/assets,2026-04-23T01:30:08.397+05:30,$direct,en-IN,712,2026-04-23T01:18:26.36+05:30,Not received,Not received,Not received,2026-04-23T01:18:25.08+05:30,India,"Mozilla/5.0 (Linux; Android 12; RMX2156 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36",320,,bonds,2026-04-23T01:18:25.076+05:30,3.11.17,com.rudderlabs.javascript,cd2eee47-7abf-4afe-ad30-4714c26a5be6,Mobile App,1zPDwwVTM2IViEcrnPu1ijq5MB9,Adani,ip_55bcf44a86,Unknown,/assets,IN,Javascript,ip_55bcf44a86,Not received,2459,POSTGRES,3.375,Not received,Not received,Bhilwara,asset_search_result_clicked,bonds,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,5,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,fa9306e2-61ca-4cbd-9037-b65afd718e00,Not received,Android,1776887243019.0,Chrome,Not received,Not received,,$direct,ip_55bcf44a86,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets,Not received,635,,,,,True,True,False,False,,,,,,
RudderLabs JavaScript SDK,,4,Phone,https://www.gripinvest.in/assets,1493026,Not received,asset_search_result_clicked,Rajasthan,npm,IPv4,4g,RCBSC260401,Not received,,320,no-context,Not received,Asia/Kolkata,2026-04-23T01:19:27.015+05:30,/assetdetails/adani-airport-holdings-limited/ncd/rcbae260301/2459,Not received,Reliance Jio Infocomm Limited,/assets,2026-04-23T01:30:08.397+05:30,$direct,en-IN,712,2026-04-23T01:19:27.011+05:30,Not received,Not received,Not received,2026-04-23T01:19:25.738+05:30,India,"Mozilla/5.0 (Linux; Android 12; RMX2156 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36",320,,bonds,2026-04-23T01:19:25.734+05:30,3.11.17,com.rudderlabs.javascript,cd2eee47-7abf-4afe-ad30-4714c26a5be6,Mobile App,1zPDwwVTM2IViEcrnPu1ijq5MB9,Adani,ip_55bcf44a86,Unknown,/assets,IN,Javascript,ip_55bcf44a86,Not received,2560,POSTGRES,3.375,Not received,Not received,Bhilwara,asset_search_result_clicked,bonds,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,5,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,254ea785-1c61-4e00-b242-f985a2469622,Not received,Android,1776887243019.0,Chrome,Not received,Not received,,$direct,ip_55bcf44a86,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets,Not received,433,,,,,True,True,False,False,,,,,,
RudderLabs JavaScript SDK,,0,Phone,https://www.gripinvest.in/assets,1493026,Not received,asset_search_result_clicked,Rajasthan,npm,IPv4,4g,RCBAA260201,Not received,,320,no-context,Not received,Asia/Kolkata,2026-04-23T01:19:44.204+05:30,/assetdetails/sammaan-capital-limited/ncd/rcbsc260401/2560,Not received,Reliance Jio Infocomm Limited,/assets,2026-04-23T01:30:08.397+05:30,$direct,en-IN,712,2026-04-23T01:19:44.203+05:30,Not received,Not received,Not received,2026-04-23T01:19:42.93+05:30,India,"Mozilla/5.0 (Linux; Android 12; RMX2156 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36",320,,bonds,2026-04-23T01:19:42.929+05:30,3.11.17,com.rudderlabs.javascript,cd2eee47-7abf-4afe-ad30-4714c26a5be6,Mobile App,1zPDwwVTM2IViEcrnPu1ijq5MB9,Adani,ip_55bcf44a86,Unknown,/assets,IN,Javascript,ip_55bcf44a86,Not received,2431,POSTGRES,3.375,Not received,Not received,Bhilwara,asset_search_result_clicked,bonds,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,5,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,672dfc56-cb87-4297-8d15-a6714f38746e,Not received,Android,1776887243019.0,Chrome,Not received,Not received,,$direct,ip_55bcf44a86,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets,Not received,433,,,,,True,True,False,False,,,,,,
