uuid_ts,country,browser,source,context_page_initial_referring_domain,received_at,context_screen_inner_height,term,adgroup,country_code,ip_address,timestamp,gclid,city,context_timezone,name,context_destination_id,referrer_page,os,context_ip,suggestion_count,context_library_version,context_page_referring_domain,fbclid,component_name,context_app_version,context_request_ip,context_destination_type,context_page_path,context_page_search,event,network_type,component_position,context_screen_height,context_page_tab_url,context_page_initial_referrer,device,campaign,creative,channel,page,device_type,isp,item_position,user_id,widget_id,context_source_id,context_page_referrer,original_timestamp,timezone,anonymous_id,asset_id,context_library_name,content,application,version,context_user_agent,device_orientation,active_tab,context_screen_width,context_app_namespace,context_page_title,context_source_type,referrer,suggestion_type,event_text,context_screen_density,exp_version,context_screen_inner_width,context_page_url,context_session_id,sent_at,context_app_name,context_app_install_type,region,placement,context_locale,asset_name,id,medium,adset,utm_search,external_user_id,gc_id,gc_name,context_traits_obpp_kyc_status,context_traits_investment_status,obpp_kyc_status,investment_status,context_traits_external_user_id,context_traits_gc_name,context_traits_gc_id,context_campaign_source,context_campaign_medium,context_campaign_name,context_session_start
2026-04-23T01:00:28.891+05:30,India,Chrome,,,2026-04-23T00:58:20.58+05:30,542,,,IN,ip_55b07a0f9d,2026-04-23T00:58:20.579+05:30,,Patna,GMT+0530,,1zPDwwVTM2IViEcrnPu1ijq5MB9,/assets/bonds,Android,ip_55b07a0f9d,3,3.11.17,app.digio.in,,Unknown,3.11.17,ip_55b07a0f9d,POSTGRES,/assets,,asset_search_suggestion_clicked,4g,0,876,https://www.gripinvest.in/assets,$direct,,,,web,/assets,Phone,Reliance Jio Infocomm Limited,1,1805753,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,https://app.digio.in/,2026-04-23T00:58:20.187+05:30,Asia/Kolkata,485611f6-7ec0-4272-a62e-e2f0fa755448,2506,RudderLabs JavaScript SDK,,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 16; V2338 Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36",Portrait,bonds,393,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,,top_ytm,asset_search_suggestion_clicked,2.75,,392,https://www.gripinvest.in/assets,1776883654144,2026-04-23T00:58:20.188+05:30,RudderLabs JavaScript SDK,npm,Bihar,,en-US,Best Capital Mar'29,8c63ab10-8d76-4e6b-a619-2ae3dc578d40,,,,,,,True,False,True,False,,,,,,,
2026-04-23T06:30:08.994+05:30,India,Chrome,Not received,,2026-04-23T06:19:35.768+05:30,592,Not received,Not received,IN,ip_e5ac1bb912,2026-04-23T06:19:35.766+05:30,Not received,Visakhapatnam,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/discover,Android,ip_e5ac1bb912,3,3.11.17,,Not received,Unknown,3.11.17,ip_e5ac1bb912,POSTGRES,/assets,?type=bonds,asset_search_suggestion_clicked,4g,0,895,https://www.gripinvest.in/assets?type=bonds,$direct,Not received,Not received,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,1,967303,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-04-23T06:19:35.034+05:30,Asia/Kolkata,817935f6-1797-4393-a579-da5fab7d7322,2506,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 14; 23076PC4BI Build/UKQ1.230917.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.178 Mobile Safari/537.36",Portrait,bonds,393,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,2.75,,392,https://www.gripinvest.in/assets?type=bonds,1776905290612,2026-04-23T06:19:35.036+05:30,RudderLabs JavaScript SDK,npm,Andhra Pradesh,Not received,en-IN,Best Capital Mar'29,9cc840b6-f273-4997-b3a8-bb1343f4715e,Not received,Not received,,,,,False,False,False,False,,,,,,,
2026-04-23T10:30:18.614+05:30,India,Chrome,Not received,,2026-04-23T10:03:58.086+05:30,544,Not received,Not received,IN,ip_4974961ade,2026-04-23T10:03:58.071+05:30,Not received,Ahmedabad,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/assets/bonds,Android,ip_4974961ade,3,3.11.17,app.digio.in,Not received,Unknown,3.11.17,ip_4974961ade,POSTGRES,/assets,?type=bonds,asset_search_suggestion_clicked,4g,0,873,https://www.gripinvest.in/assets?type=bonds,$direct,Not received,Not received,Not received,web,/assets,Phone,Vodafone Idea Ltd,2,1790385,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,https://app.digio.in/,2026-04-23T10:03:57.664+05:30,Asia/Kolkata,4a54f184-1cd8-4100-b575-9bbcadfb2a1c,2446,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 16; V2506 Build/BP2A.250605.031.A3_V000L1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",Portrait,bonds,393,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,2.75,,392,https://www.gripinvest.in/assets?type=bonds,1776917617587,2026-04-23T10:03:57.679+05:30,RudderLabs JavaScript SDK,npm,Gujarat,Not received,en-US,Keertana Finserv Oct'28,be3bd6d4-ddac-4194-a805-9fb2801be26b,Not received,Not received,?utm_source=app&utm_medium=marketing&utm_campaign=PApp_21042026_E_Followup_Deal_Bond_DAR_Reg_All,,,,True,False,True,False,,,,,,,
2026-04-23T11:30:16.173+05:30,India,Chrome,ET money,,2026-04-23T11:19:59.457+05:30,526,Not received,Not received,IN,ip_e8977d5e75,2026-04-23T11:19:59.456+05:30,Not received,New Delhi,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/assetdetails/goi-loan/bonds/rgsec240801/1217,Android,ip_e8977d5e75,3,3.11.17,www.gripinvest.in,Not received,Unknown,3.11.17,ip_e8977d5e75,POSTGRES,/assets,,asset_search_suggestion_clicked,4g,0,965,https://www.gripinvest.in/assets,$direct,Not received,gc,Not received,web,/assets,Phone,Bharti Airtel Ltd. AS for GPRS Service,3,1075971,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/external-ui/4c2f54fe-e7a9-4097-9ab0-5d4bbc0988d8?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,2026-04-23T11:19:59.094+05:30,Asia/Kolkata,37d947a4-e637-4419-a9da-a9a8dfed007c,2486,RudderLabs JavaScript SDK,Not received,Website,IPv4,"Mozilla/5.0 (Linux; Android 16; motorola edge 60 pro Build/W1VVS36H.7-108-8-3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.178 Mobile Safari/537.36",Portrait,bonds,434,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,2.8125,,433,https://www.gripinvest.in/assets,1776922958076,2026-04-23T11:19:59.095+05:30,RudderLabs JavaScript SDK,npm,National Capital Territory of Delhi,Not received,en-us,Basket Smart Bond Feb'28,c5b49f1e-60f0-4f24-9699-2287769231aa,connect,Not received,?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,ZYPD49KP,394.0,ET money,False,False,False,False,ZYPD49KP,ET money,394.0,,,,
2026-04-23T12:30:07.293+05:30,India,Chrome,Not received,,2026-04-23T12:27:11.277+05:30,488,Not received,Not received,IN,ip_3fd3c12e2a,2026-04-23T12:27:11.276+05:30,Not received,Pune,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/discover,Android,ip_3fd3c12e2a,3,3.11.17,,Not received,Unknown,3.11.17,ip_3fd3c12e2a,POSTGRES,/assets,?type=bonds,asset_search_suggestion_clicked,4g,0,785,https://www.gripinvest.in/assets?type=bonds,$direct,Not received,Not received,Not received,web,/assets,Phone,Vodafone Idea Ltd,1,1431064,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-04-23T12:27:10.439+05:30,Asia/Kolkata,d9c99b01-3969-43f3-a1ef-1a6ba96d281d,2506,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 15; RMX5253 Build/AP3A.240617.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36",Portrait,bonds,360,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,2.0,,360,https://www.gripinvest.in/assets?type=bonds,1776927029065,2026-04-23T12:27:10.44+05:30,RudderLabs JavaScript SDK,npm,Maharashtra,Not received,en-GB,Best Capital Mar'29,4201122a-303a-4a21-a61f-eb0f48a219cc,Not received,Not received,,,,,True,False,True,False,,,,,,,
2026-04-23T13:30:30.754+05:30,India,Chrome,Not received,,2026-04-23T13:26:05.295+05:30,591,Not received,Not received,IN,ip_29b0e500b3,2026-04-23T13:26:05.293+05:30,Not received,Aramda,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/referral,Android,ip_29b0e500b3,3,3.11.17,app.digio.in,Not received,Unknown,3.11.17,ip_29b0e500b3,POSTGRES,/assets,?type=sdi,asset_search_suggestion_clicked,4g,0,858,https://www.gripinvest.in/assets?type=sdi,$direct,Not received,Not received,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,3,1809343,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,https://app.digio.in/,2026-04-23T13:26:04.07+05:30,Asia/Kolkata,3d9c593a-2eb4-4ebc-ac90-cd950a56ae85,2456,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 15; V2443 Build/AP3A.240905.015.A2_V000L1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",Portrait,sdi,385,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,1.875,,384,https://www.gripinvest.in/assets?type=sdi,1776930516106,2026-04-23T13:26:04.072+05:30,RudderLabs JavaScript SDK,npm,Gujarat,Not received,en-US,Unifinz Capital May'27,d4d36b9c-f0bf-46b4-87b1-8ef774df03f8,Not received,Not received,,,,,True,False,True,False,,,,,,,
2026-04-23T14:30:25.53+05:30,India,Chrome,Not received,,2026-04-23T14:17:10.976+05:30,438,Not received,Not received,IN,ip_a08a435a81,2026-04-23T14:17:10.975+05:30,Not received,Ahmedabad,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/discover,Android,ip_a08a435a81,3,3.11.17,,Not received,Unknown,3.11.17,ip_a08a435a81,POSTGRES,/assets,,asset_search_suggestion_clicked,4g,0,780,https://www.gripinvest.in/assets,$direct,Not received,Not received,Not received,web,/assets,Phone,Bharti Airtel Ltd. AS for GPRS Service,1,1797825,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-04-23T14:17:10.589+05:30,Asia/Kolkata,7e529c6e-fa36-4cb0-9ec2-4004255dbb2a,2506,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 14; SM-S911B Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.56 Mobile Safari/537.36",Portrait,bonds,360,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,3.0,,360,https://www.gripinvest.in/assets,1776934013389,2026-04-23T14:17:10.59+05:30,RudderLabs JavaScript SDK,npm,Gujarat,Not received,en-IN,Best Capital Mar'29,6e1a415c-075d-4917-a43e-3133d53d50c9,Not received,Not received,,,,,True,False,True,False,,,,,,,
2026-04-23T14:30:25.53+05:30,India,Chrome,Not received,,2026-04-23T14:24:56.799+05:30,544,Not received,Not received,IN,ip_15e5ba5fd3,2026-04-23T14:24:56.797+05:30,Not received,Ranchi,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/portfolio,Android,ip_15e5ba5fd3,3,3.11.17,,Not received,Unknown,3.11.17,ip_15e5ba5fd3,POSTGRES,/assets,,asset_search_suggestion_clicked,4g,0,873,https://www.gripinvest.in/assets,$direct,Not received,Not received,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,1,1188907,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-04-23T14:24:56.011+05:30,Asia/Kolkata,a73d545c-67da-44bf-81d9-ca1a6d3c8052,2505,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 15; V2303 Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",Portrait,bonds,393,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,2.75,,392,https://www.gripinvest.in/assets,1776934105007,2026-04-23T14:24:56.013+05:30,RudderLabs JavaScript SDK,npm,Jharkhand,Not received,en-US,Best Capital Mar'29,f380b67a-bad1-43d4-8c3b-3c2ab559535f,Not received,Not received,,,,,True,True,True,True,,,,,,,
2026-04-23T18:00:25.866+05:30,India,Chrome,Website,www.gripinvest.in,2026-04-23T17:40:48.355+05:30,547,Not received,Not received,IN,ip_0bc560bafe,2026-04-23T17:40:48.354+05:30,Not received,Bengaluru,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/discover,Android,ip_0bc560bafe,3,3.11.17,www.gripinvest.in,Not received,Unknown,3.11.17,ip_0bc560bafe,POSTGRES,/assets,?type=bonds,asset_search_suggestion_clicked,4g,0,895,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/,Not received,QR,Not received,web,/assets,Phone,Bharti Airtel Ltd. AS for GPRS Service,1,1682899,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/,2026-04-23T17:40:47.951+05:30,Asia/Kolkata,197b7238-641b-4f69-9eb9-88527a370537,2506,RudderLabs JavaScript SDK,Not received,Website,IPv4,"Mozilla/5.0 (Linux; Android 15; 2406ERN9CI Build/AQ3A.240912.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",Portrait,bonds,393,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,2.75,,392,https://www.gripinvest.in/assets?type=bonds,1776946147796,2026-04-23T17:40:47.952+05:30,RudderLabs JavaScript SDK,npm,Karnataka,Not received,en-IN,Best Capital Mar'29,3a16f81a-6ce5-4a45-aac0-d136aa250162,website_banner,Not received,,,,,False,False,False,False,,,,,,,
2026-04-23T18:00:25.866+05:30,India,Chrome,,,2026-04-23T17:52:08.257+05:30,648,,,IN,ip_20894ce9ae,2026-04-23T17:52:08.255+05:30,,Hyderabad,GMT+0530,,1zPDwwVTM2IViEcrnPu1ijq5MB9,/assetdetails/best-capital-services-limited/ncd/rcbbc260301/2505,Android,ip_20894ce9ae,3,3.11.17,www.gripinvest.in,,Unknown,3.11.17,ip_20894ce9ae,POSTGRES,/assets,,asset_search_suggestion_clicked,4g,0,780,https://www.gripinvest.in/assets,$direct,,,,web,/assets,Phone,Vizag Broadband Communications Pvt Ltd,2,1122212,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/signup,2026-04-23T17:52:07.596+05:30,Asia/Kolkata,6b567a2c-62c4-46ec-a8c4-5014c6b55c08,2528,RudderLabs JavaScript SDK,,Website,IPv4,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",Portrait,bonds,360,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,,top_ytm,asset_search_suggestion_clicked,3.0,,360,https://www.gripinvest.in/assets,1776946375741,2026-04-23T17:52:07.598+05:30,RudderLabs JavaScript SDK,npm,Telangana,,en-US,DAR Credit Sep'28,77c2f263-fe91-4108-9b54-ce4e9dfd5852,,,,,,,True,True,True,True,,,,,,,
