device,context_screen_density,query_text,active_tab,name,context_request_ip,widget_id,id,country,country_code,referrer_page,referrer,context_screen_width,channel,adset,context_page_referring_domain,context_page_search,context_source_id,gclid,context_locale,context_page_initial_referrer,adgroup,context_screen_inner_height,context_destination_type,context_page_initial_referring_domain,event_text,uuid_ts,context_app_name,context_screen_height,page,source,context_destination_id,context_ip,context_screen_inner_width,context_page_title,received_at,query_length,sent_at,device_type,user_id,component_name,context_page_referrer,network_type,application,fbclid,os,context_page_tab_url,context_page_url,browser,device_orientation,campaign,placement,medium,context_app_namespace,context_timezone,region,context_library_name,exp_version,event,context_app_version,content,term,context_library_version,original_timestamp,isp,ip_address,context_source_type,version,creative,context_app_install_type,context_session_id,timezone,context_page_path,timestamp,anonymous_id,context_user_agent,component_position,city,utm_search,gc_name,external_user_id,gc_id,context_session_start,context_traits_obpp_kyc_status,obpp_kyc_status,investment_status,context_traits_investment_status,context_traits_external_user_id,context_traits_gc_id,context_traits_gc_name,context_campaign_medium,context_campaign_source,context_campaign_name
Not received,2.625,mut,bonds,Not received,ip_4ac8d46c3d,no-context,50c4178f-f5b4-44e9-ac94-4805cf88f4d6,India,IN,/discover,Not received,412,web,Not received,,?type=bonds,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-US,$direct,Not received,535,POSTGRES,,asset_search_empty_state,2026-04-30T01:00:36.357+05:30,RudderLabs JavaScript SDK,915,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_4ac8d46c3d,411,Invest in non-market linked investment opportunities,2026-04-30T00:34:29.532+05:30,3,2026-04-30T00:34:29.701+05:30,Phone,1761084,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/assets?type=bonds,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,National Capital Territory of Delhi,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-30T00:34:29.701+05:30,Excitel Broadband Private Limited,ip_4ac8d46c3d,Javascript,IPv4,Not received,npm,1777489379425.0,Asia/Kolkata,/assets,2026-04-30T00:34:29.532+05:30,6b94e135-112c-4cc0-a6e6-c4995e745700,"Mozilla/5.0 (Linux; Android 13; SM-G988N Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",0,Delhi,?filter=0.25%25extra&utm_source=app&utm_medium=marketing&utm_campaign=PApp_25042026_A_Followup_Deal_Bond_Bundle_Reg_FTI,,,,,True,True,False,False,,,,,,
Not received,2.625,mot,bonds,Not received,ip_4ac8d46c3d,no-context,ab600421-e70c-4ba0-aaf7-ccab9e92c5e6,India,IN,/discover,Not received,412,web,Not received,,?type=bonds,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-US,$direct,Not received,535,POSTGRES,,asset_search_empty_state,2026-04-30T01:00:36.357+05:30,RudderLabs JavaScript SDK,915,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_4ac8d46c3d,411,Invest in non-market linked investment opportunities,2026-04-30T00:34:34.742+05:30,3,2026-04-30T00:34:34.947+05:30,Phone,1761084,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/assets?type=bonds,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,National Capital Territory of Delhi,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-30T00:34:34.946+05:30,Excitel Broadband Private Limited,ip_4ac8d46c3d,Javascript,IPv4,Not received,npm,1777489379425.0,Asia/Kolkata,/assets,2026-04-30T00:34:34.741+05:30,6b94e135-112c-4cc0-a6e6-c4995e745700,"Mozilla/5.0 (Linux; Android 13; SM-G988N Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",0,Delhi,?filter=0.25%25extra&utm_source=app&utm_medium=marketing&utm_campaign=PApp_25042026_A_Followup_Deal_Bond_Bundle_Reg_FTI,,,,,True,True,False,False,,,,,,
Not received,2.625,mothu,bonds,Not received,ip_4ac8d46c3d,no-context,2f252be3-94fb-4f5d-a26a-1307e7a71370,India,IN,/discover,Not received,412,web,Not received,,?type=bonds,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-US,$direct,Not received,535,POSTGRES,,asset_search_empty_state,2026-04-30T01:00:36.357+05:30,RudderLabs JavaScript SDK,915,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_4ac8d46c3d,411,Invest in non-market linked investment opportunities,2026-04-30T00:34:35.307+05:30,5,2026-04-30T00:34:35.521+05:30,Phone,1761084,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/assets?type=bonds,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,National Capital Territory of Delhi,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-30T00:34:35.52+05:30,Excitel Broadband Private Limited,ip_4ac8d46c3d,Javascript,IPv4,Not received,npm,1777489379425.0,Asia/Kolkata,/assets,2026-04-30T00:34:35.306+05:30,6b94e135-112c-4cc0-a6e6-c4995e745700,"Mozilla/5.0 (Linux; Android 13; SM-G988N Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",0,Delhi,?filter=0.25%25extra&utm_source=app&utm_medium=marketing&utm_campaign=PApp_25042026_A_Followup_Deal_Bond_Bundle_Reg_FTI,,,,,True,True,False,False,,,,,,
Not received,3.0,Kee,bonds,Not received,ip_f112b91b53,no-context,0e0daec3-7255-47f1-8d93-889ff105bdb6,India,,/discover,Not received,360,web,Not received,api.cashfree.com,?type=bonds,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-US,$direct,Not received,663,POSTGRES,,asset_search_empty_state,2026-04-30T01:00:36.357+05:30,RudderLabs JavaScript SDK,800,/assets,Whatsapp,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_f112b91b53,360,Invest in non-market linked investment opportunities,2026-04-30T00:41:25.131+05:30,3,2026-04-30T00:41:24.981+05:30,Phone,1824260,Unknown,https://api.cashfree.com/,4g,Website,Not received,Android,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/assets?type=bonds,Chrome,Portrait,Not received,Not received,referralLink,com.rudderlabs.javascript,GMT+0530,Maharashtra,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-30T00:41:24.98+05:30,"Amazon.com, Inc.",ip_4e695c865e,Javascript,,Not received,npm,1777489348400.0,Asia/Kolkata,/assets,2026-04-30T00:41:25.13+05:30,7e4279f7-629b-468e-ba10-0cd6ff0b3f87,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",0,Mumbai,?referralCode=HP0000VN&utm_medium=referralLink&utm_source=Whatsapp,,,,,True,True,False,False,,,,,,
Not received,3.0,Kir,bonds,Not received,ip_f112b91b53,no-context,acdffe61-5c4a-4cd5-bf85-9fef979317dd,India,,/discover,Not received,360,web,Not received,api.cashfree.com,?type=bonds,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-US,$direct,Not received,663,POSTGRES,,asset_search_empty_state,2026-04-30T01:00:36.357+05:30,RudderLabs JavaScript SDK,800,/assets,Whatsapp,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_f112b91b53,360,Invest in non-market linked investment opportunities,2026-04-30T00:41:29.095+05:30,3,2026-04-30T00:41:28.919+05:30,Phone,1824260,Unknown,https://api.cashfree.com/,4g,Website,Not received,Android,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/assets?type=bonds,Chrome,Portrait,Not received,Not received,referralLink,com.rudderlabs.javascript,GMT+0530,Maharashtra,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-30T00:41:28.918+05:30,"Amazon.com, Inc.",ip_4e695c865e,Javascript,,Not received,npm,1777489348400.0,Asia/Kolkata,/assets,2026-04-30T00:41:29.094+05:30,7e4279f7-629b-468e-ba10-0cd6ff0b3f87,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",0,Mumbai,?referralCode=HP0000VN&utm_medium=referralLink&utm_source=Whatsapp,,,,,True,True,False,False,,,,,,
Not received,3.0,Keer,bonds,Not received,ip_f112b91b53,no-context,4bba5bc1-3b74-4b66-aef4-ac347b73763d,India,,/discover,Not received,360,web,Not received,api.cashfree.com,?type=bonds,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-US,$direct,Not received,663,POSTGRES,,asset_search_empty_state,2026-04-30T01:00:36.357+05:30,RudderLabs JavaScript SDK,800,/assets,Whatsapp,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_f112b91b53,360,Invest in non-market linked investment opportunities,2026-04-30T00:42:05.845+05:30,4,2026-04-30T00:42:05.689+05:30,Phone,1824260,Unknown,https://api.cashfree.com/,4g,Website,Not received,Android,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/assets?type=bonds,Chrome,Portrait,Not received,Not received,referralLink,com.rudderlabs.javascript,GMT+0530,Maharashtra,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-30T00:42:05.687+05:30,"Amazon.com, Inc.",ip_4e695c865e,Javascript,,Not received,npm,1777489348400.0,Asia/Kolkata,/assets,2026-04-30T00:42:05.843+05:30,7e4279f7-629b-468e-ba10-0cd6ff0b3f87,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",0,Mumbai,?referralCode=HP0000VN&utm_medium=referralLink&utm_source=Whatsapp,,,,,True,True,False,False,,,,,,
Not received,3.0,Keert,bonds,Not received,ip_f112b91b53,no-context,4a1767f0-ccf3-4f89-b931-7cf1e6318c6e,India,,/discover,Not received,360,web,Not received,api.cashfree.com,?type=bonds,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-US,$direct,Not received,663,POSTGRES,,asset_search_empty_state,2026-04-30T01:00:36.357+05:30,RudderLabs JavaScript SDK,800,/assets,Whatsapp,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_f112b91b53,360,Invest in non-market linked investment opportunities,2026-04-30T00:42:07.586+05:30,5,2026-04-30T00:42:07.425+05:30,Phone,1824260,Unknown,https://api.cashfree.com/,4g,Website,Not received,Android,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/assets?type=bonds,Chrome,Portrait,Not received,Not received,referralLink,com.rudderlabs.javascript,GMT+0530,Maharashtra,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-30T00:42:07.424+05:30,"Amazon.com, Inc.",ip_4e695c865e,Javascript,,Not received,npm,1777489348400.0,Asia/Kolkata,/assets,2026-04-30T00:42:07.585+05:30,7e4279f7-629b-468e-ba10-0cd6ff0b3f87,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",0,Mumbai,?referralCode=HP0000VN&utm_medium=referralLink&utm_source=Whatsapp,,,,,True,True,False,False,,,,,,
Not received,3.0,Keertana Finserv Oct'28,bonds,Not received,ip_f112b91b53,no-context,282af896-b66b-41d3-8d87-9f13d9dafe4e,India,IN,/discover,https://www.gripinvest.in/,360,web,Not received,,?type=bonds,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-IN,$direct,Not received,719,POSTGRES,,asset_search_empty_state,2026-04-30T01:00:36.357+05:30,RudderLabs JavaScript SDK,800,/assets,Website,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_f112b91b53,360,Invest in non-market linked investment opportunities,2026-04-30T00:51:57.461+05:30,23,2026-04-30T00:51:57.296+05:30,Phone,1824260,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/assets?type=bonds,Chrome,Portrait,website_nav_bar,Not received,navbar,com.rudderlabs.javascript,GMT+0530,Gujarat,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-30T00:51:57.295+05:30,Reliance Jio Infocomm Limited,ip_f112b91b53,Javascript,IPv4,Not received,npm,1777490475679.0,Asia/Kolkata,/assets,2026-04-30T00:51:57.46+05:30,a5f45482-a3ec-4417-a493-e47a627f979a,"Mozilla/5.0 (Linux; Android 12; RMX2170 Build/SKQ1.210216.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",0,Ahmedabad,,,,,,True,True,False,False,,,,,,
Not received,2.75,1000,bonds,Not received,ip_2df0475756,no-context,af477f36-4c17-4b57-b5c5-c6d7520fa7e1,India,IN,/assetdetails/vedika/ncd/rcbvk260402/2591,Not received,393,web,Not received,www.gripinvest.in,?type=bonds,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-us,$direct,Not received,456,POSTGRES,,asset_search_empty_state,2026-04-30T01:00:36.357+05:30,RudderLabs JavaScript SDK,873,/assets,ET money,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_2df0475756,392,Invest in non-market linked investment opportunities,2026-04-30T00:58:18.72+05:30,4,2026-04-30T00:58:18.41+05:30,Phone,1648893,Unknown,https://www.gripinvest.in/external-ui/3ee111e7-75b8-4158-af07-4688b20b639b?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,4g,Website,Not received,Android,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/assets?type=bonds,Chrome,Portrait,gc,Not received,connect,com.rudderlabs.javascript,GMT+0530,West Bengal,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-30T00:58:18.408+05:30,Reliance Jio Infocomm Limited,ip_2df0475756,Javascript,IPv4,Not received,npm,1777490237842.0,Asia/Kolkata,/assets,2026-04-30T00:58:18.718+05:30,5aface4b-ff57-44ff-b81e-7d7e9ee74120,"Mozilla/5.0 (Linux; Android 13; M2101K6P Build/TKQ1.221013.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",0,Siliguri,?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,ET money,LPM6N85Z,394.0,,False,False,False,False,LPM6N85Z,394.0,ET money,,,
Not received,2.75,10000,bonds,Not received,ip_2df0475756,no-context,10a8082a-40f0-4163-b771-b50f9b4ee8aa,India,IN,/assetdetails/vedika/ncd/rcbvk260402/2591,Not received,393,web,Not received,www.gripinvest.in,?type=bonds,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-us,$direct,Not received,456,POSTGRES,,asset_search_empty_state,2026-04-30T01:00:36.357+05:30,RudderLabs JavaScript SDK,873,/assets,ET money,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_2df0475756,392,Invest in non-market linked investment opportunities,2026-04-30T00:58:19.106+05:30,5,2026-04-30T00:58:18.793+05:30,Phone,1648893,Unknown,https://www.gripinvest.in/external-ui/3ee111e7-75b8-4158-af07-4688b20b639b?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,4g,Website,Not received,Android,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/assets?type=bonds,Chrome,Portrait,gc,Not received,connect,com.rudderlabs.javascript,GMT+0530,West Bengal,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-04-30T00:58:18.791+05:30,Reliance Jio Infocomm Limited,ip_2df0475756,Javascript,IPv4,Not received,npm,1777490237842.0,Asia/Kolkata,/assets,2026-04-30T00:58:19.104+05:30,5aface4b-ff57-44ff-b81e-7d7e9ee74120,"Mozilla/5.0 (Linux; Android 13; M2101K6P Build/TKQ1.221013.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",0,Siliguri,?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,ET money,LPM6N85Z,394.0,,False,False,False,False,LPM6N85Z,394.0,ET money,,,
