context_screen_width,context_session_id,timestamp,country,os,context_screen_inner_height,browser,context_app_namespace,context_page_tab_url,context_page_initial_referrer,context_screen_height,context_ip,referrer,id,context_app_name,context_app_install_type,context_destination_type,event,context_page_referring_domain,application,isp,context_page_title,context_page_initial_referring_domain,context_source_type,context_request_ip,page,context_page_url,gclid,name,device_type,context_library_version,exp_version,uuid_ts,fbclid,campaign,external_user_id,context_screen_inner_width,context_page_referrer,content,medium,context_page_search,adset,creative,source,ip_address,city,user_id,context_timezone,anonymous_id,utm_search,context_destination_id,channel,context_page_path,country_code,context_app_version,placement,assets_visible_count,context_locale,referrer_page,context_library_name,widget_id,adgroup,device,gc_name,device_orientation,original_timestamp,network_type,component_name,event_text,term,gc_id,active_tab,context_screen_density,timezone,version,sent_at,context_user_agent,received_at,context_source_id,region,component_position,context_session_start,context_traits_investment_status,obpp_kyc_status,context_traits_obpp_kyc_status,investment_status,context_traits_external_user_id,context_traits_gc_name,context_traits_gc_id,context_campaign_name,context_campaign_medium,context_campaign_source
393,1777487691409.0,2026-04-30T00:08:38.37+05:30,Canada,iOS,781,Unknown,com.rudderlabs.javascript,https://www.gripinvest.in/assets,$direct,852,ip_accb71443c,Not received,7e8bffb6-b7fc-48f8-9813-91952f2fbad0,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Rogers Communications Canada Inc.,Invest in non-market linked investment opportunities,,Javascript,ip_accb71443c,/assets,https://www.gripinvest.in/assets,Not received,Not received,Phone,3.11.17,,2026-04-30T00:30:13.9+05:30,Not received,Not received,,393,$direct,Not received,Not received,,Not received,Not received,Not received,ip_accb71443c,Brampton,1300890,GMT-0400,4b96a84a-5220-4a10-96eb-c488402bc8f5,,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,CA,3.11.17,Not received,42,en-CA,/portfolio,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-04-30T00:08:38.316+05:30,Unknown,Unknown,asset_search_initiated,Not received,,bonds,3.0,America/Toronto,IPv4,2026-04-30T00:08:38.317+05:30,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",2026-04-30T00:08:38.371+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Ontario,0,,True,True,True,True,,,,,,
358,1777489283826.0,2026-04-30T00:33:54.581+05:30,India,Android,716,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets,$direct,797,ip_2c074b2b59,Not received,9a5d57b1-cac1-48b8-a1ad-6cc5e56f3f6d,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Bharti Airtel Ltd. AS for GPRS Service,Invest in non-market linked investment opportunities,,Javascript,ip_2c074b2b59,/assets,https://www.gripinvest.in/assets,Not received,Not received,Phone,3.11.17,,2026-04-30T01:00:36.357+05:30,Not received,Not received,,357,$direct,Not received,Not received,,Not received,Not received,Not received,ip_2c074b2b59,Coimbatore,1824257,GMT+0530,5147e7a3-d7c4-4cf7-9f9b-cccb069d4685,,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,49,en-US,/discover,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-04-30T00:33:53.461+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,3.0250000953674316,Asia/Kolkata,IPv4,2026-04-30T00:33:53.463+05:30,"Mozilla/5.0 (Linux; Android 15; I2219 Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",2026-04-30T00:33:54.583+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Tamil Nadu,0,,False,False,False,False,,,,,,
412,1777489379425.0,2026-04-30T00:34:26.053+05:30,India,Android,838,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets?type=bonds,$direct,915,ip_4ac8d46c3d,Not received,e34c2f02-59f5-465b-87ec-40fadbb1ed5b,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Excitel Broadband Private Limited,Invest in non-market linked investment opportunities,,Javascript,ip_4ac8d46c3d,/assets,https://www.gripinvest.in/assets?type=bonds,Not received,Not received,Phone,3.11.17,,2026-04-30T01:00:36.357+05:30,Not received,Not received,,411,$direct,Not received,Not received,?type=bonds,Not received,Not received,Not received,ip_4ac8d46c3d,Delhi,1761084,GMT+0530,6b94e135-112c-4cc0-a6e6-c4995e745700,?filter=0.25%25extra&utm_source=app&utm_medium=marketing&utm_campaign=PApp_25042026_A_Followup_Deal_Bond_Bundle_Reg_FTI,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,49,en-US,/discover,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-04-30T00:34:26.263+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,2.625,Asia/Kolkata,IPv4,2026-04-30T00:34:26.264+05:30,"Mozilla/5.0 (Linux; Android 13; SM-G988N Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",2026-04-30T00:34:26.054+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,National Capital Territory of Delhi,0,,False,True,True,False,,,,,,
360,1777489348400.0,2026-04-30T00:41:22.683+05:30,India,Android,663,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets?type=bonds,$direct,800,ip_f112b91b53,Not received,90a63f73-ab91-4d35-a145-e751e5c82c61,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,api.cashfree.com,Website,"Amazon.com, Inc.",Invest in non-market linked investment opportunities,,Javascript,ip_f112b91b53,/assets,https://www.gripinvest.in/assets?type=bonds,Not received,Not received,Phone,3.11.17,,2026-04-30T01:00:36.357+05:30,Not received,Not received,,360,https://api.cashfree.com/,Not received,referralLink,?type=bonds,Not received,Not received,Whatsapp,ip_4e695c865e,Mumbai,1824260,GMT+0530,7e4279f7-629b-468e-ba10-0cd6ff0b3f87,?referralCode=HP0000VN&utm_medium=referralLink&utm_source=Whatsapp,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,,3.11.17,Not received,42,en-US,/discover,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-04-30T00:41:22.512+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,3.0,Asia/Kolkata,,2026-04-30T00:41:22.514+05:30,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",2026-04-30T00:41:22.685+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Maharashtra,0,,False,True,True,False,,,,,,
360,1777489348400.0,2026-04-30T00:42:03.494+05:30,India,Android,663,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets?type=bonds,$direct,800,ip_f112b91b53,Not received,88072bea-c47b-4420-89d3-afcf5dce5ab8,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,api.cashfree.com,Website,"Amazon.com, Inc.",Invest in non-market linked investment opportunities,,Javascript,ip_f112b91b53,/assets,https://www.gripinvest.in/assets?type=bonds,Not received,Not received,Phone,3.11.17,,2026-04-30T01:00:36.357+05:30,Not received,Not received,,360,https://api.cashfree.com/,Not received,referralLink,?type=bonds,Not received,Not received,Whatsapp,ip_4e695c865e,Mumbai,1824260,GMT+0530,7e4279f7-629b-468e-ba10-0cd6ff0b3f87,?referralCode=HP0000VN&utm_medium=referralLink&utm_source=Whatsapp,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,,3.11.17,Not received,42,en-US,/discover,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-04-30T00:42:03.337+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,3.0,Asia/Kolkata,,2026-04-30T00:42:03.338+05:30,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",2026-04-30T00:42:03.495+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Maharashtra,0,,False,True,True,False,,,,,,
393,1777490055410.0,2026-04-30T00:45:09.596+05:30,India,Android,787,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets?type=sdi,$direct,873,ip_c09a2fd64a,Not received,d1e11609-a71a-4aed-8691-792a7ebca5b9,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Vodafone Idea Ltd,Invest in non-market linked investment opportunities,,Javascript,ip_c09a2fd64a,/assets,https://www.gripinvest.in/assets?type=sdi,Not received,Not received,Phone,3.11.17,,2026-04-30T01:00:36.357+05:30,Not received,Not received,,392,$direct,Not received,Not received,?type=sdi,Not received,Not received,Not received,ip_c18ed0da28,Thiruvananthapuram,1799094,GMT+0530,31e27858-8166-476d-b4e1-5db256794d49,?filter=0.25%25extra&utm_source=app&utm_medium=marketing&utm_campaign=PApp_24042026_A_ExtraYTM_Deal_Bond_Bundle_Reg_FTI_Sticky,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,49,en-GB,/discover,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-04-30T00:45:09.333+05:30,4g,Unknown,asset_search_initiated,Not received,,sdi,2.75,Asia/Kolkata,IPv4,2026-04-30T00:45:09.335+05:30,"Mozilla/5.0 (Linux; Android 12; M2101K9AG Build/SKQ1.210908.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",2026-04-30T00:45:09.598+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Kerala,0,,False,False,False,False,,,,,,
385,1777490271626.0,2026-04-30T00:50:09.699+05:30,India,Android,785,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets?type=bonds,$direct,860,ip_29accca2cf,Not received,4dbc7024-4a78-4f2d-8cf3-5072ddf337c0,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,"Bharti Airtel Ltd., Telemedia Services",Invest in non-market linked investment opportunities,,Javascript,ip_29accca2cf,/assets,https://www.gripinvest.in/assets?type=bonds,Not received,Not received,Phone,3.11.17,,2026-04-30T01:00:36.357+05:30,Not received,Not received,,384,$direct,Not received,Not received,?type=bonds,Not received,Not received,Not received,ip_29accca2cf,Mumbai,1824279,GMT+0530,0b39ad01-4bdf-4e9f-9cd2-5f726e363311,,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,49,en-IN,/assets/bonds,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-04-30T00:50:08.543+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,1.875,Asia/Kolkata,IPv4,2026-04-30T00:50:08.546+05:30,"Mozilla/5.0 (Linux; Android 15; V2356 Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",2026-04-30T00:50:09.702+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Maharashtra,0,,False,False,False,False,,,,,,
360,1777490475679.0,2026-04-30T00:51:55.209+05:30,India,Android,719,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets?type=bonds,$direct,800,ip_f112b91b53,https://www.gripinvest.in/,beb1c204-7a35-4909-bbe5-ffbfb949dbb0,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Reliance Jio Infocomm Limited,Invest in non-market linked investment opportunities,,Javascript,ip_f112b91b53,/assets,https://www.gripinvest.in/assets?type=bonds,Not received,Not received,Phone,3.11.17,,2026-04-30T01:00:36.357+05:30,Not received,website_nav_bar,,360,$direct,Not received,navbar,?type=bonds,Not received,Not received,Website,ip_f112b91b53,Ahmedabad,1824260,GMT+0530,a5f45482-a3ec-4417-a493-e47a627f979a,,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,42,en-IN,/discover,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-04-30T00:51:55.05+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,3.0,Asia/Kolkata,IPv4,2026-04-30T00:51:55.052+05:30,"Mozilla/5.0 (Linux; Android 12; RMX2170 Build/SKQ1.210216.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",2026-04-30T00:51:55.211+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Gujarat,0,,False,True,True,False,,,,,,
393,1777490237842.0,2026-04-30T00:51:59.078+05:30,India,Android,735,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets?type=bonds,$direct,873,ip_2df0475756,Not received,aed99515-896d-4224-b55c-bf84abf2619d,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,www.gripinvest.in,Website,Reliance Jio Infocomm Limited,Invest in non-market linked investment opportunities,,Javascript,ip_2df0475756,/assets,https://www.gripinvest.in/assets?type=bonds,Not received,Not received,Phone,3.11.17,,2026-04-30T01:00:36.357+05:30,Not received,gc,LPM6N85Z,392,https://www.gripinvest.in/external-ui/3ee111e7-75b8-4158-af07-4688b20b639b?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,Not received,connect,?type=bonds,Not received,Not received,ET money,ip_2df0475756,Siliguri,1648893,GMT+0530,5aface4b-ff57-44ff-b81e-7d7e9ee74120,?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,11,en-us,/assetdetails/iifl-samasta-finance-limited/ncd/rcbiifls260202/2439,RudderLabs JavaScript SDK,no-context,Not received,Not received,ET money,Portrait,2026-04-30T00:51:58.74+05:30,4g,Unknown,asset_search_initiated,Not received,394.0,bonds,2.75,Asia/Kolkata,IPv4,2026-04-30T00:51:58.747+05:30,"Mozilla/5.0 (Linux; Android 13; M2101K6P Build/TKQ1.221013.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",2026-04-30T00:51:59.085+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,West Bengal,0,,False,False,False,False,LPM6N85Z,ET money,394.0,,,
393,1777490237842.0,2026-04-30T00:58:16.077+05:30,India,Android,735,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets?type=bonds,$direct,873,ip_2df0475756,Not received,3abe0f46-e82e-4654-a3c4-45248b4584a5,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,www.gripinvest.in,Website,Reliance Jio Infocomm Limited,Invest in non-market linked investment opportunities,,Javascript,ip_2df0475756,/assets,https://www.gripinvest.in/assets?type=bonds,Not received,Not received,Phone,3.11.17,,2026-04-30T01:00:36.357+05:30,Not received,gc,LPM6N85Z,392,https://www.gripinvest.in/external-ui/3ee111e7-75b8-4158-af07-4688b20b639b?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,Not received,connect,?type=bonds,Not received,Not received,ET money,ip_2df0475756,Siliguri,1648893,GMT+0530,5aface4b-ff57-44ff-b81e-7d7e9ee74120,?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,11,en-us,/assetdetails/vedika/ncd/rcbvk260402/2591,RudderLabs JavaScript SDK,no-context,Not received,Not received,ET money,Portrait,2026-04-30T00:58:15.757+05:30,4g,Unknown,asset_search_initiated,Not received,394.0,bonds,2.75,Asia/Kolkata,IPv4,2026-04-30T00:58:15.76+05:30,"Mozilla/5.0 (Linux; Android 13; M2101K6P Build/TKQ1.221013.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",2026-04-30T00:58:16.08+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,West Bengal,0,,False,False,False,False,LPM6N85Z,ET money,394.0,,,
