application,context_app_install_type,context_page_referring_domain,gc_name,context_source_type,active_tab,context_timezone,campaign,gc_id,external_user_id,received_at,anonymous_id,term,placement,device,context_page_path,context_session_id,gclid,context_page_title,timestamp,content,fbclid,adgroup,sent_at,context_source_id,context_page_url,original_timestamp,context_page_referrer,country_code,context_page_initial_referrer,name,is_refinement,context_app_namespace,creative,context_screen_width,referrer_page,context_screen_height,timezone,context_ip,context_screen_density,results_count,component_position,page,id,ip_address,context_app_name,event_text,medium,version,device_orientation,browser,adset,component_name,context_screen_inner_height,country,region,context_destination_id,context_destination_type,context_screen_inner_width,context_library_name,os,context_request_ip,query_text,context_app_version,device_type,query_length,network_type,exp_version,isp,referrer,event,uuid_ts,user_id,channel,context_page_initial_referring_domain,context_locale,context_page_search,widget_id,city,context_library_version,context_user_agent,context_page_tab_url,source,utm_search,context_traits_obpp_kyc_status,obpp_kyc_status,investment_status,context_traits_investment_status,context_traits_gc_id,context_traits_gc_name,context_traits_external_user_id,context_campaign_medium,context_campaign_source,context_campaign_name,context_session_start
Mobile App,npm,,,Javascript,bonds,GMT-0400,Not received,,,2026-04-30T00:08:39.985+05:30,4b96a84a-5220-4a10-96eb-c488402bc8f5,Not received,Not received,Not received,/assets,1777487691409.0,Not received,Invest in non-market linked investment opportunities,2026-04-30T00:08:39.984+05:30,Not received,Not received,Not received,2026-04-30T00:08:39.922+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets,2026-04-30T00:08:39.921+05:30,$direct,CA,$direct,Not received,False,com.rudderlabs.javascript,Not received,393,/portfolio,852,America/Toronto,ip_accb71443c,3.0,6,0,/assets,22f615bc-eaa5-4557-a245-851bb2a8b5cc,ip_accb71443c,RudderLabs JavaScript SDK,asset_search_query,Not received,IPv4,Portrait,Unknown,Not received,Unknown,449,Canada,Ontario,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,393,RudderLabs JavaScript SDK,iOS,ip_accb71443c,Loan,3.11.17,Phone,4,Unknown,,Rogers Communications Canada Inc.,Not received,asset_search_query,2026-04-30T00:30:13.9+05:30,1300890,web,,en-CA,,no-context,Brampton,3.11.17,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",https://www.gripinvest.in/assets,Not received,,True,True,True,True,,,,,,,
Mobile App,npm,,,Javascript,bonds,GMT+0530,Not received,,,2026-04-30T00:34:29.533+05:30,6b94e135-112c-4cc0-a6e6-c4995e745700,Not received,Not received,Not received,/assets,1777489379425.0,Not received,Invest in non-market linked investment opportunities,2026-04-30T00:34:29.532+05:30,Not received,Not received,Not received,2026-04-30T00:34:29.712+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets?type=bonds,2026-04-30T00:34:29.711+05:30,$direct,IN,$direct,Not received,False,com.rudderlabs.javascript,Not received,412,/discover,915,Asia/Kolkata,ip_4ac8d46c3d,2.625,0,0,/assets,0ce78c45-6703-46ed-81d5-ac72aad6afb7,ip_4ac8d46c3d,RudderLabs JavaScript SDK,asset_search_query,Not received,IPv4,Portrait,Chrome,Not received,Unknown,535,India,National Capital Territory of Delhi,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,411,RudderLabs JavaScript SDK,Android,ip_4ac8d46c3d,mut,3.11.17,Phone,3,4g,,Excitel Broadband Private Limited,Not received,asset_search_query,2026-04-30T01:00:36.357+05:30,1761084,web,,en-US,?type=bonds,no-context,Delhi,3.11.17,"Mozilla/5.0 (Linux; Android 13; SM-G988N Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",https://www.gripinvest.in/assets?type=bonds,Not received,?filter=0.25%25extra&utm_source=app&utm_medium=marketing&utm_campaign=PApp_25042026_A_Followup_Deal_Bond_Bundle_Reg_FTI,True,True,False,False,,,,,,,
Mobile App,npm,,,Javascript,bonds,GMT+0530,Not received,,,2026-04-30T00:34:34.745+05:30,6b94e135-112c-4cc0-a6e6-c4995e745700,Not received,Not received,Not received,/assets,1777489379425.0,Not received,Invest in non-market linked investment opportunities,2026-04-30T00:34:34.745+05:30,Not received,Not received,Not received,2026-04-30T00:34:34.957+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets?type=bonds,2026-04-30T00:34:34.957+05:30,$direct,IN,$direct,Not received,True,com.rudderlabs.javascript,Not received,412,/discover,915,Asia/Kolkata,ip_4ac8d46c3d,2.625,0,0,/assets,35bb800e-5ee7-4012-b0a8-cad3cae08cdf,ip_4ac8d46c3d,RudderLabs JavaScript SDK,asset_search_query,Not received,IPv4,Portrait,Chrome,Not received,Unknown,535,India,National Capital Territory of Delhi,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,411,RudderLabs JavaScript SDK,Android,ip_4ac8d46c3d,mot,3.11.17,Phone,3,4g,,Excitel Broadband Private Limited,Not received,asset_search_query,2026-04-30T01:00:36.357+05:30,1761084,web,,en-US,?type=bonds,no-context,Delhi,3.11.17,"Mozilla/5.0 (Linux; Android 13; SM-G988N Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",https://www.gripinvest.in/assets?type=bonds,Not received,?filter=0.25%25extra&utm_source=app&utm_medium=marketing&utm_campaign=PApp_25042026_A_Followup_Deal_Bond_Bundle_Reg_FTI,True,True,False,False,,,,,,,
Mobile App,npm,,,Javascript,bonds,GMT+0530,Not received,,,2026-04-30T00:34:35.33+05:30,6b94e135-112c-4cc0-a6e6-c4995e745700,Not received,Not received,Not received,/assets,1777489379425.0,Not received,Invest in non-market linked investment opportunities,2026-04-30T00:34:35.329+05:30,Not received,Not received,Not received,2026-04-30T00:34:35.537+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets?type=bonds,2026-04-30T00:34:35.536+05:30,$direct,IN,$direct,Not received,True,com.rudderlabs.javascript,Not received,412,/discover,915,Asia/Kolkata,ip_4ac8d46c3d,2.625,0,0,/assets,e61fda91-32a0-4b57-81f6-38fa740823ed,ip_4ac8d46c3d,RudderLabs JavaScript SDK,asset_search_query,Not received,IPv4,Portrait,Chrome,Not received,Unknown,535,India,National Capital Territory of Delhi,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,411,RudderLabs JavaScript SDK,Android,ip_4ac8d46c3d,mothu,3.11.17,Phone,5,4g,,Excitel Broadband Private Limited,Not received,asset_search_query,2026-04-30T01:00:36.357+05:30,1761084,web,,en-US,?type=bonds,no-context,Delhi,3.11.17,"Mozilla/5.0 (Linux; Android 13; SM-G988N Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",https://www.gripinvest.in/assets?type=bonds,Not received,?filter=0.25%25extra&utm_source=app&utm_medium=marketing&utm_campaign=PApp_25042026_A_Followup_Deal_Bond_Bundle_Reg_FTI,True,True,False,False,,,,,,,
Mobile App,npm,,,Javascript,bonds,GMT+0530,Not received,,,2026-04-30T00:34:46.152+05:30,6b94e135-112c-4cc0-a6e6-c4995e745700,Not received,Not received,Not received,/assets,1777489379425.0,Not received,Invest in non-market linked investment opportunities,2026-04-30T00:34:46.151+05:30,Not received,Not received,Not received,2026-04-30T00:34:46.358+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets?type=bonds,2026-04-30T00:34:46.357+05:30,$direct,IN,$direct,Not received,False,com.rudderlabs.javascript,Not received,412,/discover,915,Asia/Kolkata,ip_4ac8d46c3d,2.625,2,0,/assets,d7147963-6213-40d6-b86c-824cf4f16959,ip_4ac8d46c3d,RudderLabs JavaScript SDK,asset_search_query,Not received,IPv4,Portrait,Chrome,Not received,Unknown,535,India,National Capital Territory of Delhi,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,411,RudderLabs JavaScript SDK,Android,ip_4ac8d46c3d,ada,3.11.17,Phone,3,4g,,Excitel Broadband Private Limited,Not received,asset_search_query,2026-04-30T01:00:36.357+05:30,1761084,web,,en-US,?type=bonds,no-context,Delhi,3.11.17,"Mozilla/5.0 (Linux; Android 13; SM-G988N Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",https://www.gripinvest.in/assets?type=bonds,Not received,?filter=0.25%25extra&utm_source=app&utm_medium=marketing&utm_campaign=PApp_25042026_A_Followup_Deal_Bond_Bundle_Reg_FTI,True,True,False,False,,,,,,,
Website,npm,api.cashfree.com,,Javascript,bonds,GMT+0530,Not received,,,2026-04-30T00:41:25.145+05:30,7e4279f7-629b-468e-ba10-0cd6ff0b3f87,Not received,Not received,Not received,/assets,1777489348400.0,Not received,Invest in non-market linked investment opportunities,2026-04-30T00:41:25.144+05:30,Not received,Not received,Not received,2026-04-30T00:41:24.99+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets?type=bonds,2026-04-30T00:41:24.989+05:30,https://api.cashfree.com/,,$direct,Not received,False,com.rudderlabs.javascript,Not received,360,/discover,800,Asia/Kolkata,ip_f112b91b53,3.0,0,0,/assets,418438f6-a829-4147-96a9-d6c1f250e4dc,ip_4e695c865e,RudderLabs JavaScript SDK,asset_search_query,referralLink,,Portrait,Chrome,Not received,Unknown,663,India,Maharashtra,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,360,RudderLabs JavaScript SDK,Android,ip_f112b91b53,Kee,3.11.17,Phone,3,4g,,"Amazon.com, Inc.",Not received,asset_search_query,2026-04-30T01:00:36.357+05:30,1824260,web,,en-US,?type=bonds,no-context,Mumbai,3.11.17,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",https://www.gripinvest.in/assets?type=bonds,Whatsapp,?referralCode=HP0000VN&utm_medium=referralLink&utm_source=Whatsapp,True,True,False,False,,,,,,,
Website,npm,api.cashfree.com,,Javascript,bonds,GMT+0530,Not received,,,2026-04-30T00:41:29.1+05:30,7e4279f7-629b-468e-ba10-0cd6ff0b3f87,Not received,Not received,Not received,/assets,1777489348400.0,Not received,Invest in non-market linked investment opportunities,2026-04-30T00:41:29.097+05:30,Not received,Not received,Not received,2026-04-30T00:41:28.942+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets?type=bonds,2026-04-30T00:41:28.939+05:30,https://api.cashfree.com/,,$direct,Not received,True,com.rudderlabs.javascript,Not received,360,/discover,800,Asia/Kolkata,ip_f112b91b53,3.0,0,0,/assets,0d4507e2-4a18-4380-99df-e401e5112139,ip_4e695c865e,RudderLabs JavaScript SDK,asset_search_query,referralLink,,Portrait,Chrome,Not received,Unknown,663,India,Maharashtra,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,360,RudderLabs JavaScript SDK,Android,ip_f112b91b53,Kir,3.11.17,Phone,3,4g,,"Amazon.com, Inc.",Not received,asset_search_query,2026-04-30T01:00:36.357+05:30,1824260,web,,en-US,?type=bonds,no-context,Mumbai,3.11.17,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",https://www.gripinvest.in/assets?type=bonds,Whatsapp,?referralCode=HP0000VN&utm_medium=referralLink&utm_source=Whatsapp,True,True,False,False,,,,,,,
Website,npm,api.cashfree.com,,Javascript,bonds,GMT+0530,Not received,,,2026-04-30T00:42:05.85+05:30,7e4279f7-629b-468e-ba10-0cd6ff0b3f87,Not received,Not received,Not received,/assets,1777489348400.0,Not received,Invest in non-market linked investment opportunities,2026-04-30T00:42:05.848+05:30,Not received,Not received,Not received,2026-04-30T00:42:05.699+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets?type=bonds,2026-04-30T00:42:05.697+05:30,https://api.cashfree.com/,,$direct,Not received,False,com.rudderlabs.javascript,Not received,360,/discover,800,Asia/Kolkata,ip_f112b91b53,3.0,0,0,/assets,cd6a7156-6d3f-488a-966d-bce8653afe7f,ip_4e695c865e,RudderLabs JavaScript SDK,asset_search_query,referralLink,,Portrait,Chrome,Not received,Unknown,663,India,Maharashtra,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,360,RudderLabs JavaScript SDK,Android,ip_f112b91b53,Keer,3.11.17,Phone,4,4g,,"Amazon.com, Inc.",Not received,asset_search_query,2026-04-30T01:00:36.357+05:30,1824260,web,,en-US,?type=bonds,no-context,Mumbai,3.11.17,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",https://www.gripinvest.in/assets?type=bonds,Whatsapp,?referralCode=HP0000VN&utm_medium=referralLink&utm_source=Whatsapp,True,True,False,False,,,,,,,
Website,npm,api.cashfree.com,,Javascript,bonds,GMT+0530,Not received,,,2026-04-30T00:42:07.587+05:30,7e4279f7-629b-468e-ba10-0cd6ff0b3f87,Not received,Not received,Not received,/assets,1777489348400.0,Not received,Invest in non-market linked investment opportunities,2026-04-30T00:42:07.585+05:30,Not received,Not received,Not received,2026-04-30T00:42:07.433+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets?type=bonds,2026-04-30T00:42:07.431+05:30,https://api.cashfree.com/,,$direct,Not received,True,com.rudderlabs.javascript,Not received,360,/discover,800,Asia/Kolkata,ip_f112b91b53,3.0,0,0,/assets,45748d43-578f-4b65-a229-d7dc45383f2f,ip_4e695c865e,RudderLabs JavaScript SDK,asset_search_query,referralLink,,Portrait,Chrome,Not received,Unknown,663,India,Maharashtra,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,360,RudderLabs JavaScript SDK,Android,ip_f112b91b53,Keert,3.11.17,Phone,5,4g,,"Amazon.com, Inc.",Not received,asset_search_query,2026-04-30T01:00:36.357+05:30,1824260,web,,en-US,?type=bonds,no-context,Mumbai,3.11.17,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",https://www.gripinvest.in/assets?type=bonds,Whatsapp,?referralCode=HP0000VN&utm_medium=referralLink&utm_source=Whatsapp,True,True,False,False,,,,,,,
Mobile App,npm,,,Javascript,bonds,GMT+0530,Not received,,,2026-04-30T00:50:16.824+05:30,0b39ad01-4bdf-4e9f-9cd2-5f726e363311,Not received,Not received,Not received,/assets,1777490271626.0,Not received,Invest in non-market linked investment opportunities,2026-04-30T00:50:16.822+05:30,Not received,Not received,Not received,2026-04-30T00:50:15.667+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/assets?type=bonds,2026-04-30T00:50:15.665+05:30,$direct,IN,$direct,Not received,False,com.rudderlabs.javascript,Not received,385,/assets/bonds,860,Asia/Kolkata,ip_29accca2cf,1.875,1,0,/assets,40114e50-0b1b-4369-bc76-84555dc56c58,ip_29accca2cf,RudderLabs JavaScript SDK,asset_search_query,Not received,IPv4,Portrait,Chrome,Not received,Unknown,530,India,Maharashtra,1zPDwwVTM2IViEcrnPu1ijq5MB9,POSTGRES,384,RudderLabs JavaScript SDK,Android,ip_29accca2cf,Govt,3.11.17,Phone,4,4g,,"Bharti Airtel Ltd., Telemedia Services",Not received,asset_search_query,2026-04-30T01:00:36.357+05:30,1824279,web,,en-IN,?type=bonds,no-context,Mumbai,3.11.17,"Mozilla/5.0 (Linux; Android 15; V2356 Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",https://www.gripinvest.in/assets?type=bonds,Not received,,False,False,False,False,,,,,,,
