context_library_name,context_page_search,result_position,device_type,context_page_url,user_id,campaign,event,region,context_app_install_type,version,network_type,clicked_asset_name,device,context_page_initial_referring_domain,context_screen_width,widget_id,adgroup,timezone,received_at,referrer_page,placement,isp,page,uuid_ts,context_page_initial_referrer,context_locale,context_screen_height,timestamp,medium,source,fbclid,sent_at,country,context_user_agent,context_screen_inner_width,exp_version,active_tab,original_timestamp,context_app_version,context_app_namespace,anonymous_id,application,context_destination_id,query_text,ip_address,component_name,context_page_path,country_code,context_source_type,context_ip,term,clicked_asset_id,context_destination_type,context_screen_density,gclid,name,city,event_text,clicked_asset_type,component_position,context_library_version,context_app_name,channel,context_timezone,results_count,device_orientation,context_source_id,id,referrer,os,context_session_id,browser,creative,content,context_page_referring_domain,context_page_referrer,context_request_ip,context_page_title,context_page_tab_url,adset,context_screen_inner_height,utm_search,gc_id,external_user_id,gc_name,obpp_kyc_status,context_traits_obpp_kyc_status,context_traits_investment_status,investment_status,context_traits_gc_id,context_traits_external_user_id,context_traits_gc_name,context_campaign_name,context_campaign_source,context_campaign_medium
RudderLabs JavaScript SDK,?type=bonds,1,Phone,https://www.gripinvest.in/assets?type=bonds,1761084,Not received,asset_search_result_clicked,National Capital Territory of Delhi,npm,IPv4,4g,RCBAE260301,Not received,,412,no-context,Not received,Asia/Kolkata,2026-04-30T00:34:57.745+05:30,/discover,Not received,Excitel Broadband Private Limited,/assets,2026-04-30T01:00:36.357+05:30,$direct,en-US,915,2026-04-30T00:34:57.744+05:30,Not received,Not received,Not received,2026-04-30T00:34:57.957+05:30,India,"Mozilla/5.0 (Linux; Android 13; SM-G988N Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",411,,bonds,2026-04-30T00:34:57.956+05:30,3.11.17,com.rudderlabs.javascript,6b94e135-112c-4cc0-a6e6-c4995e745700,Mobile App,1zPDwwVTM2IViEcrnPu1ijq5MB9,ada,ip_4ac8d46c3d,Unknown,/assets,IN,Javascript,ip_4ac8d46c3d,Not received,2459,POSTGRES,2.625,Not received,Not received,Delhi,asset_search_result_clicked,bonds,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,2,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,eac2dd11-69cb-46ca-9b03-38e9484a511f,Not received,Android,1777489379425.0,Chrome,Not received,Not received,,$direct,ip_4ac8d46c3d,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets?type=bonds,Not received,535,?filter=0.25%25extra&utm_source=app&utm_medium=marketing&utm_campaign=PApp_25042026_A_Followup_Deal_Bond_Bundle_Reg_FTI,,,,True,True,False,False,,,,,,
RudderLabs JavaScript SDK,?type=bonds,0,Phone,https://www.gripinvest.in/assets?type=bonds,1648893,gc,asset_search_result_clicked,West Bengal,npm,IPv4,4g,FDSRY240901,Not received,,393,no-context,Not received,Asia/Kolkata,2026-04-30T00:58:21.186+05:30,/assetdetails/vedika/ncd/rcbvk260402/2591,Not received,Reliance Jio Infocomm Limited,/assets,2026-04-30T01:00:36.357+05:30,$direct,en-us,873,2026-04-30T00:58:21.184+05:30,connect,ET money,Not received,2026-04-30T00:58:20.865+05:30,India,"Mozilla/5.0 (Linux; Android 13; M2101K6P Build/TKQ1.221013.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",392,,bonds,2026-04-30T00:58:20.863+05:30,3.11.17,com.rudderlabs.javascript,5aface4b-ff57-44ff-b81e-7d7e9ee74120,Website,1zPDwwVTM2IViEcrnPu1ijq5MB9,10000,ip_2df0475756,Unknown,/assets,IN,Javascript,ip_2df0475756,Not received,1239,POSTGRES,2.75,Not received,Not received,Siliguri,asset_search_result_clicked,high_yield_fd,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,0,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,d83a723f-9106-4af1-bffd-0a92c672cb9d,Not received,Android,1777490237842.0,Chrome,Not received,Not received,www.gripinvest.in,https://www.gripinvest.in/external-ui/3ee111e7-75b8-4158-af07-4688b20b639b?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,ip_2df0475756,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets?type=bonds,Not received,456,?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,394.0,LPM6N85Z,ET money,False,False,False,False,394.0,LPM6N85Z,ET money,,,
RudderLabs JavaScript SDK,,0,Phone,https://www.gripinvest.in/assets,316065,Not received,asset_search_result_clicked,Bihar,npm,IPv4,4g,RCBIM260301,Not received,www.gripinvest.in,393,no-context,Not received,Asia/Kolkata,2026-04-30T01:08:03.428+05:30,/portfolio,Not received,"Bharti Airtel Ltd., Telemedia Services",/assets,2026-04-30T01:30:13.541+05:30,https://www.gripinvest.in/,en-IN,873,2026-04-30T01:08:03.426+05:30,Not received,Not received,Not received,2026-04-30T01:08:02.882+05:30,India,"Mozilla/5.0 (Linux; Android 15; V2240 Build/AP3A.240905.015.A2_CS; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",392,,bonds,2026-04-30T01:08:02.88+05:30,3.11.17,com.rudderlabs.javascript,286b32d0-253e-403c-a459-67f2822be5c6,Mobile App,1zPDwwVTM2IViEcrnPu1ijq5MB9,Indel oct 27,ip_f5f1eae42b,Unknown,/assets,IN,Javascript,ip_f5f1eae42b,Not received,2500,POSTGRES,2.75,Not received,Not received,Patna,asset_search_result_clicked,bonds,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,1,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,c09607b2-6734-4ef3-b70c-03e6e92f8952,Not received,Android,1777490423649.0,Chrome,Not received,Not received,,$direct,ip_f5f1eae42b,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets,Not received,544,?utm_source=app&utm_medium=marketing&utm_campaign=PApp_29072026_M_Followup_Deal_Bond_Unifinz_IU_Sticky,,,,True,True,True,True,,,,,,
RudderLabs JavaScript SDK,?type=highyieldfd,2,Phone,https://www.gripinvest.in/assets?type=highyieldfd,1824314,Not received,asset_search_result_clicked,Manipur,npm,IPv4,4g,RCBAE260301,Not received,,360,no-context,Not received,Asia/Kolkata,2026-04-30T04:58:06.784+05:30,/discover,Not received,Reliance Jio Infocomm Limited,/assets,2026-04-30T05:00:20.25+05:30,$direct,en-GB,804,2026-04-30T04:58:06.783+05:30,Not received,Not received,Not received,2026-04-30T04:58:07.247+05:30,India,"Mozilla/5.0 (Linux; Android 16; CPH2607 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",360,,highyieldfd,2026-04-30T04:58:07.246+05:30,3.11.17,com.rudderlabs.javascript,cec232d6-d300-47a6-93aa-1762cd241e63,Mobile App,1zPDwwVTM2IViEcrnPu1ijq5MB9,Slice,ip_6917605529,Unknown,/assets,IN,Javascript,ip_6917605529,Not received,2459,POSTGRES,3.0,Not received,Not received,Imphal,asset_search_result_clicked,bonds,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,0,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,70ecb1a4-ddef-4544-961e-dab9ef3146d8,Not received,Android,1777505245096.0,Chrome,Not received,Not received,,$direct,ip_6917605529,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets?type=highyieldfd,Not received,505,,,,,True,True,False,False,,,,,,
RudderLabs JavaScript SDK,,0,Phone,https://www.gripinvest.in/assets,465736,Not received,asset_search_result_clicked,National Capital Territory of Delhi,npm,IPv4,4g,RCBAA260201,Not received,www.gripinvest.in,360,no-context,Not received,Asia/Kolkata,2026-04-30T05:15:20.784+05:30,/discover,Not received,Reliance Jio Infocomm Limited,/assets,2026-04-30T05:30:27.478+05:30,https://www.gripinvest.in/404,en-US,800,2026-04-30T05:15:20.782+05:30,Not received,Not received,Not received,2026-04-30T05:15:21.578+05:30,India,"Mozilla/5.0 (Linux; Android 13; CPH2263 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",360,,bonds,2026-04-30T05:15:21.576+05:30,3.11.17,com.rudderlabs.javascript,4c8705c4-f4b5-439e-8240-a73bacd480cd,Mobile App,1zPDwwVTM2IViEcrnPu1ijq5MB9,Adani,ip_d518de8495,Unknown,/assets,IN,Javascript,ip_d518de8495,Not received,2431,POSTGRES,3.0,Not received,Not received,New Delhi,asset_search_result_clicked,bonds,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,4,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,a0fcee19-fbe2-471b-9dbf-6010997b0ae3,Not received,Android,1777506299109.0,Chrome,Not received,Not received,,$direct,ip_d518de8495,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets,Not received,719,?utm_source=app&utm_medium=marketing&utm_campaign=PApp_27042026_M_Followup_Deal_Bond_Progfin_Reg_IU_Sticky,,,,True,True,True,True,,,,,,
RudderLabs JavaScript SDK,?type=bonds,0,Phone,https://www.gripinvest.in/assets?type=bonds,1796647,Not received,asset_search_result_clicked,Telangana,npm,IPv4,4g,RCBAP260201,Not received,www.gripinvest.in,360,no-context,Not received,Asia/Kolkata,2026-04-30T06:48:40.353+05:30,/discover,Not received,Reliance Jio Infocomm Limited,/assets,2026-04-30T07:00:25.785+05:30,https://www.gripinvest.in/,en-GB,798,2026-04-30T06:48:40.352+05:30,Not received,Not received,Not received,2026-04-30T06:48:39.828+05:30,India,"Mozilla/5.0 (Linux; Android 16; CPH2717 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",360,,bonds,2026-04-30T06:48:39.827+05:30,3.11.17,com.rudderlabs.javascript,436542a8-490d-4f1e-b6e8-7cc4b756fb40,Mobile App,1zPDwwVTM2IViEcrnPu1ijq5MB9,Andh,ip_1e0f4122a9,Unknown,/assets,IN,Javascript,ip_1e0f4122a9,Not received,2434,POSTGRES,3.0,Not received,Not received,Warangal,asset_search_result_clicked,bonds,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,3,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,5cdcfcda-d16e-405a-aea8-ed15e598d0dc,Not received,Android,1777511703254.0,Chrome,Not received,Not received,,$direct,ip_1e0f4122a9,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets?type=bonds,Not received,498,?utm_source=app&utm_medium=marketing&utm_campaign=PApp_29042026_E_Followup_Deal_Basket_Statebond_IU,,,,True,True,True,True,,,,,,
RudderLabs JavaScript SDK,?type=bonds,0,Phone,https://www.gripinvest.in/assets?type=bonds,1796647,Not received,asset_search_result_clicked,Telangana,npm,IPv4,4g,RCBAP260201,Not received,www.gripinvest.in,360,no-context,Not received,Asia/Kolkata,2026-04-30T06:53:10.057+05:30,/discover,Not received,Reliance Jio Infocomm Limited,/assets,2026-04-30T07:00:25.785+05:30,https://www.gripinvest.in/,en-GB,798,2026-04-30T06:53:10.056+05:30,Not received,Not received,Not received,2026-04-30T06:53:09.53+05:30,India,"Mozilla/5.0 (Linux; Android 16; CPH2717 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",360,,bonds,2026-04-30T06:53:09.529+05:30,3.11.17,com.rudderlabs.javascript,436542a8-490d-4f1e-b6e8-7cc4b756fb40,Mobile App,1zPDwwVTM2IViEcrnPu1ijq5MB9,Andhra,ip_1e0f4122a9,Unknown,/assets,IN,Javascript,ip_1e0f4122a9,Not received,2434,POSTGRES,3.0,Not received,Not received,Warangal,asset_search_result_clicked,bonds,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,3,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,cf34f305-e146-4d81-a7ff-61552a282628,Not received,Android,1777511703254.0,Chrome,Not received,Not received,,$direct,ip_1e0f4122a9,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets?type=bonds,Not received,498,?utm_source=app&utm_medium=marketing&utm_campaign=PApp_29042026_E_Followup_Deal_Basket_Statebond_IU,,,,True,True,True,True,,,,,,
RudderLabs JavaScript SDK,?type=bonds,0,Phone,https://www.gripinvest.in/assets?type=bonds,1822554,Not received,asset_search_result_clicked,Uttar Pradesh,npm,IPv4,4g,RCBIIFLS260201,Not received,,360,no-context,Not received,Asia/Kolkata,2026-04-30T07:01:23.724+05:30,/discover,Not received,"Bharti Airtel Ltd., Telemedia Services",/assets,2026-04-30T07:30:10.84+05:30,$direct,en-GB,782,2026-04-30T07:01:23.722+05:30,Not received,Not received,Not received,2026-04-30T07:01:22.992+05:30,India,"Mozilla/5.0 (Linux; Android 16; CPH2723 Build/AP3A.240617.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",360,,bonds,2026-04-30T07:01:22.99+05:30,3.11.17,com.rudderlabs.javascript,9f28b151-8e9f-48fd-8bcc-a45d8cd29ee2,Mobile App,1zPDwwVTM2IViEcrnPu1ijq5MB9,Iifl,ip_0bfe1ed375,Unknown,/assets,IN,Javascript,ip_0bfe1ed375,Not received,2369,POSTGRES,3.0,Not received,Not received,Varanasi,asset_search_result_clicked,bonds,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,1,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,d76a2e1f-25fa-4360-bd38-6ace863b9c2c,Not received,Android,1777511676366.0,Chrome,Not received,Not received,,$direct,ip_0bfe1ed375,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets?type=bonds,Not received,482,,,,,True,True,False,False,,,,,,
RudderLabs JavaScript SDK,,0,Phone,https://www.gripinvest.in/assets,1822554,Not received,asset_search_result_clicked,Uttar Pradesh,npm,IPv4,4g,RCBIIFLS260201,Not received,,360,no-context,Not received,Asia/Kolkata,2026-04-30T07:09:12.478+05:30,/portfolio,Not received,"Bharti Airtel Ltd., Telemedia Services",/assets,2026-04-30T07:30:10.84+05:30,$direct,en-GB,782,2026-04-30T07:09:12.477+05:30,Not received,Not received,Not received,2026-04-30T07:09:11.741+05:30,India,"Mozilla/5.0 (Linux; Android 16; CPH2723 Build/AP3A.240617.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",360,,bonds,2026-04-30T07:09:11.74+05:30,3.11.17,com.rudderlabs.javascript,9f28b151-8e9f-48fd-8bcc-a45d8cd29ee2,Mobile App,1zPDwwVTM2IViEcrnPu1ijq5MB9,Iifl,ip_0bfe1ed375,Unknown,/assets,IN,Javascript,ip_0bfe1ed375,Not received,2369,POSTGRES,3.0,Not received,Not received,Varanasi,asset_search_result_clicked,bonds,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,1,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,88fc257b-9495-4704-9e5c-6a0c665b0ecc,Not received,Android,1777511676366.0,Chrome,Not received,Not received,,$direct,ip_0bfe1ed375,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets,Not received,482,,,,,True,True,False,False,,,,,,
RudderLabs JavaScript SDK,,2,Phone,https://www.gripinvest.in/assets,1545247,gc,asset_search_result_clicked,Chandigarh,npm,IPv4,Unknown,RCBNF260401,Not received,,414,no-context,Not received,Asia/Kolkata,2026-04-30T07:23:27.669+05:30,/assetdetails/Paisalo/ncd/RCBPSL260302/2512,Not received,Reliance Jio Infocomm Limited,/assets,2026-04-30T07:30:10.84+05:30,$direct,en-IN,896,2026-04-30T07:23:27.668+05:30,connect,ET money,Not received,2026-04-30T07:23:27.534+05:30,India,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",414,,bonds,2026-04-30T07:23:27.533+05:30,3.11.17,com.rudderlabs.javascript,ed92fe64-188a-4816-8f25-390a2959c69d,Website,1zPDwwVTM2IViEcrnPu1ijq5MB9,Rating AAA bonds,ip_04b01aa068,Unknown,/assets,IN,Javascript,ip_04b01aa068,Not received,2540,POSTGRES,2.0,Not received,Not received,Chandigarh,asset_search_result_clicked,bonds,0,3.11.17,RudderLabs JavaScript SDK,web,GMT+0530,0,Portrait,1zPBioi9zJvy4kIey0DcD3upWe6,18b85c1e-b18c-45b0-8892-fc9947fff156,Not received,iOS,1777513885727.0,Unknown,Not received,Not received,www.gripinvest.in,https://www.gripinvest.in/external-ui/f7e87823-6191-42c3-934a-b243008ed786?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,ip_04b01aa068,Invest in non-market linked investment opportunities,https://www.gripinvest.in/assets,Not received,804,?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,394.0,ELSC3PFT,ET money,False,False,False,False,394.0,ELSC3PFT,ET money,,,
