device,context_screen_density,query_text,active_tab,name,context_request_ip,widget_id,id,country,country_code,referrer_page,referrer,context_screen_width,channel,adset,context_page_referring_domain,context_page_search,context_source_id,gclid,context_locale,context_page_initial_referrer,adgroup,context_screen_inner_height,context_destination_type,context_page_initial_referring_domain,event_text,uuid_ts,context_app_name,context_screen_height,page,source,context_destination_id,context_ip,context_screen_inner_width,context_page_title,received_at,query_length,sent_at,device_type,user_id,component_name,context_page_referrer,network_type,application,fbclid,os,context_page_tab_url,context_page_url,browser,device_orientation,campaign,placement,medium,context_app_namespace,context_timezone,region,context_library_name,exp_version,event,context_app_version,content,term,context_library_version,original_timestamp,isp,ip_address,context_source_type,version,creative,context_app_install_type,context_session_id,timezone,context_page_path,timestamp,anonymous_id,context_user_agent,component_position,city,utm_search,gc_name,external_user_id,gc_id,context_session_start,context_traits_obpp_kyc_status,obpp_kyc_status,investment_status,context_traits_investment_status,context_traits_external_user_id,context_traits_gc_id,context_traits_gc_name,context_campaign_medium,context_campaign_source,context_campaign_name
Not received,2.7875001430511475,AA ,bonds,Not received,ip_12d260a8fd,no-context,779f6099-381b-41f4-9ac0-b5a32244e50f,India,IN,/assetdetails/housing-and-urban-development-corporation/ncd/rcbhdc260201/2423,Not received,388,web,Not received,,,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-IN,$direct,Not received,517,POSTGRES,,asset_search_empty_state,2026-05-07T01:00:29.247+05:30,RudderLabs JavaScript SDK,861,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_12d260a8fd,387,Invest in non-market linked investment opportunities,2026-05-07T00:30:30.61+05:30,3,2026-05-07T00:30:30.64+05:30,Phone,528132,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets,https://www.gripinvest.in/assets,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,Uttarakhand,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-05-07T00:30:30.639+05:30,Reliance Jio Infocomm Limited,ip_12d260a8fd,Javascript,IPv4,Not received,npm,1778093679706.0,Asia/Kolkata,/assets,2026-05-07T00:30:30.609+05:30,3c239a03-6ca4-4253-90df-91edb44c04ea,"Mozilla/5.0 (Linux; Android 13; moto g62 5G Build/T1SSIS33.1-75-7-16; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",0,Dehradun,,,,,,False,False,False,False,,,,,,
Not received,2.625,Kee,bonds,Not received,ip_78a4854205,no-context,8e235e48-3bd4-415d-b5fa-f3c4869a66bb,India,IN,/assets/bonds,Not received,412,web,Not received,,?type=bonds,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-IN,$direct,Not received,526,POSTGRES,,asset_search_empty_state,2026-05-07T01:00:29.247+05:30,RudderLabs JavaScript SDK,892,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_78a4854205,411,Invest in non-market linked investment opportunities,2026-05-07T00:34:01.555+05:30,3,2026-05-07T00:34:01.391+05:30,Phone,1700614,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/assets?type=bonds,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,Karnataka,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-05-07T00:34:01.389+05:30,"Bharti Airtel Ltd., Telemedia Services",ip_78a4854205,Javascript,IPv4,Not received,npm,1778094167544.0,Asia/Kolkata,/assets,2026-05-07T00:34:01.553+05:30,dd209050-b357-4a89-af73-ca11c3fda192,"Mozilla/5.0 (Linux; Android 16; SM-A556E Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.137 Mobile Safari/537.36",0,Bengaluru,,,,,,True,True,True,True,,,,,,
Not received,2.625,Keer,bonds,Not received,ip_78a4854205,no-context,3e58da70-7407-4967-a567-8b7ce4d82c9a,India,IN,/assets/bonds,Not received,412,web,Not received,,?type=bonds,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-IN,$direct,Not received,526,POSTGRES,,asset_search_empty_state,2026-05-07T01:00:29.247+05:30,RudderLabs JavaScript SDK,892,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_78a4854205,411,Invest in non-market linked investment opportunities,2026-05-07T00:34:03.415+05:30,4,2026-05-07T00:34:03.249+05:30,Phone,1700614,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/assets?type=bonds,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,Karnataka,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-05-07T00:34:03.247+05:30,"Bharti Airtel Ltd., Telemedia Services",ip_78a4854205,Javascript,IPv4,Not received,npm,1778094167544.0,Asia/Kolkata,/assets,2026-05-07T00:34:03.413+05:30,dd209050-b357-4a89-af73-ca11c3fda192,"Mozilla/5.0 (Linux; Android 16; SM-A556E Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.137 Mobile Safari/537.36",0,Bengaluru,,,,,,True,True,True,True,,,,,,
Not received,3.0,Mont,bonds,Not received,ip_733fc1cfae,no-context,2cda811f-9fc1-4b75-875d-60a25d6de1cd,India,IN,/assets/bonds,Not received,360,web,Not received,,?type=bonds,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-IN,$direct,Not received,512,POSTGRES,,asset_search_empty_state,2026-05-07T01:00:29.247+05:30,RudderLabs JavaScript SDK,792,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_733fc1cfae,360,Invest in non-market linked investment opportunities,2026-05-07T00:40:08.525+05:30,4,2026-05-07T00:40:08.349+05:30,Phone,1520548,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/assets?type=bonds,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,Gujarat,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-05-07T00:40:08.348+05:30,Reliance Jio Infocomm Limited,ip_733fc1cfae,Javascript,IPv4,Not received,npm,1778094105440.0,Asia/Kolkata,/assets,2026-05-07T00:40:08.524+05:30,9a46a10c-ba64-4c9d-a564-541e127a70f7,"Mozilla/5.0 (Linux; Android 16; CPH2573 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.112 Mobile Safari/537.36",0,Surat,,,,,,True,True,False,False,,,,,,
Not received,3.0,Monthl,bonds,Not received,ip_733fc1cfae,no-context,44c1acbf-2867-472f-b561-d23e206766b7,India,IN,/assets/bonds,Not received,360,web,Not received,,?type=bonds,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-IN,$direct,Not received,512,POSTGRES,,asset_search_empty_state,2026-05-07T01:00:29.247+05:30,RudderLabs JavaScript SDK,792,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_733fc1cfae,360,Invest in non-market linked investment opportunities,2026-05-07T00:40:09.395+05:30,6,2026-05-07T00:40:09.25+05:30,Phone,1520548,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/assets?type=bonds,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,Gujarat,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-05-07T00:40:09.249+05:30,Reliance Jio Infocomm Limited,ip_733fc1cfae,Javascript,IPv4,Not received,npm,1778094105440.0,Asia/Kolkata,/assets,2026-05-07T00:40:09.394+05:30,9a46a10c-ba64-4c9d-a564-541e127a70f7,"Mozilla/5.0 (Linux; Android 16; CPH2573 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.112 Mobile Safari/537.36",0,Surat,,,,,,True,True,False,False,,,,,,
Not received,3.0,Monthly,bonds,Not received,ip_733fc1cfae,no-context,52e2d0ee-802b-48ed-8322-5dda2c05e275,India,IN,/assets/bonds,Not received,360,web,Not received,,?type=bonds,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-IN,$direct,Not received,512,POSTGRES,,asset_search_empty_state,2026-05-07T01:00:29.247+05:30,RudderLabs JavaScript SDK,792,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_733fc1cfae,360,Invest in non-market linked investment opportunities,2026-05-07T00:40:09.875+05:30,7,2026-05-07T00:40:09.709+05:30,Phone,1520548,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/assets?type=bonds,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,Gujarat,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-05-07T00:40:09.708+05:30,Reliance Jio Infocomm Limited,ip_733fc1cfae,Javascript,IPv4,Not received,npm,1778094105440.0,Asia/Kolkata,/assets,2026-05-07T00:40:09.874+05:30,9a46a10c-ba64-4c9d-a564-541e127a70f7,"Mozilla/5.0 (Linux; Android 16; CPH2573 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.112 Mobile Safari/537.36",0,Surat,,,,,,True,True,False,False,,,,,,
Not received,3.0,Monthly ,bonds,Not received,ip_733fc1cfae,no-context,48847c41-9146-4662-b5f2-8a0db760a15f,India,IN,/assets/bonds,Not received,360,web,Not received,,?type=bonds,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-IN,$direct,Not received,512,POSTGRES,,asset_search_empty_state,2026-05-07T01:00:29.247+05:30,RudderLabs JavaScript SDK,792,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_733fc1cfae,360,Invest in non-market linked investment opportunities,2026-05-07T00:40:12.345+05:30,8,2026-05-07T00:40:12.196+05:30,Phone,1520548,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/assets?type=bonds,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,Gujarat,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-05-07T00:40:12.195+05:30,Reliance Jio Infocomm Limited,ip_733fc1cfae,Javascript,IPv4,Not received,npm,1778094105440.0,Asia/Kolkata,/assets,2026-05-07T00:40:12.344+05:30,9a46a10c-ba64-4c9d-a564-541e127a70f7,"Mozilla/5.0 (Linux; Android 16; CPH2573 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.112 Mobile Safari/537.36",0,Surat,,,,,,True,True,False,False,,,,,,
Not received,3.0,Monthly p,bonds,Not received,ip_733fc1cfae,no-context,2494aece-5a81-4d1a-a416-31cdc1e630d8,India,IN,/assets/bonds,Not received,360,web,Not received,,?type=bonds,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-IN,$direct,Not received,512,POSTGRES,,asset_search_empty_state,2026-05-07T01:00:29.247+05:30,RudderLabs JavaScript SDK,792,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_733fc1cfae,360,Invest in non-market linked investment opportunities,2026-05-07T00:40:13.315+05:30,9,2026-05-07T00:40:13.171+05:30,Phone,1520548,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/assets?type=bonds,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,Gujarat,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-05-07T00:40:13.171+05:30,Reliance Jio Infocomm Limited,ip_733fc1cfae,Javascript,IPv4,Not received,npm,1778094105440.0,Asia/Kolkata,/assets,2026-05-07T00:40:13.315+05:30,9a46a10c-ba64-4c9d-a564-541e127a70f7,"Mozilla/5.0 (Linux; Android 16; CPH2573 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.112 Mobile Safari/537.36",0,Surat,,,,,,True,True,False,False,,,,,,
Not received,3.0,Monthly pa,bonds,Not received,ip_733fc1cfae,no-context,d44986f3-5f6d-447b-ba0c-7afa0045e74b,India,IN,/assets/bonds,Not received,360,web,Not received,,?type=bonds,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-IN,$direct,Not received,512,POSTGRES,,asset_search_empty_state,2026-05-07T01:00:29.247+05:30,RudderLabs JavaScript SDK,792,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_733fc1cfae,360,Invest in non-market linked investment opportunities,2026-05-07T00:40:14.04+05:30,10,2026-05-07T00:40:13.862+05:30,Phone,1520548,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/assets?type=bonds,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,Gujarat,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-05-07T00:40:13.862+05:30,Reliance Jio Infocomm Limited,ip_733fc1cfae,Javascript,IPv4,Not received,npm,1778094105440.0,Asia/Kolkata,/assets,2026-05-07T00:40:14.04+05:30,9a46a10c-ba64-4c9d-a564-541e127a70f7,"Mozilla/5.0 (Linux; Android 16; CPH2573 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.112 Mobile Safari/537.36",0,Surat,,,,,,True,True,False,False,,,,,,
Not received,3.0,Monthly pay,bonds,Not received,ip_733fc1cfae,no-context,1cf5e366-3fc7-447a-b8d8-caed1a801d08,India,IN,/assets/bonds,Not received,360,web,Not received,,?type=bonds,1zPBioi9zJvy4kIey0DcD3upWe6,Not received,en-IN,$direct,Not received,512,POSTGRES,,asset_search_empty_state,2026-05-07T01:00:29.247+05:30,RudderLabs JavaScript SDK,792,/assets,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,ip_733fc1cfae,360,Invest in non-market linked investment opportunities,2026-05-07T00:40:15.155+05:30,11,2026-05-07T00:40:14.977+05:30,Phone,1520548,Unknown,$direct,4g,Mobile App,Not received,Android,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/assets?type=bonds,Chrome,Portrait,Not received,Not received,Not received,com.rudderlabs.javascript,GMT+0530,Gujarat,RudderLabs JavaScript SDK,,asset_search_empty_state,3.11.17,Not received,Not received,3.11.17,2026-05-07T00:40:14.976+05:30,Reliance Jio Infocomm Limited,ip_733fc1cfae,Javascript,IPv4,Not received,npm,1778094105440.0,Asia/Kolkata,/assets,2026-05-07T00:40:15.154+05:30,9a46a10c-ba64-4c9d-a564-541e127a70f7,"Mozilla/5.0 (Linux; Android 16; CPH2573 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.112 Mobile Safari/537.36",0,Surat,,,,,,True,True,False,False,,,,,,
