uuid_ts,country,browser,source,context_page_initial_referring_domain,received_at,context_screen_inner_height,term,adgroup,country_code,ip_address,timestamp,gclid,city,context_timezone,name,context_destination_id,referrer_page,os,context_ip,suggestion_count,context_library_version,context_page_referring_domain,fbclid,component_name,context_app_version,context_request_ip,context_destination_type,context_page_path,context_page_search,event,network_type,component_position,context_screen_height,context_page_tab_url,context_page_initial_referrer,device,campaign,creative,channel,page,device_type,isp,item_position,user_id,widget_id,context_source_id,context_page_referrer,original_timestamp,timezone,anonymous_id,asset_id,context_library_name,content,application,version,context_user_agent,device_orientation,active_tab,context_screen_width,context_app_namespace,context_page_title,context_source_type,referrer,suggestion_type,event_text,context_screen_density,exp_version,context_screen_inner_width,context_page_url,context_session_id,sent_at,context_app_name,context_app_install_type,region,placement,context_locale,asset_name,id,medium,adset,utm_search,external_user_id,gc_id,gc_name,context_traits_obpp_kyc_status,context_traits_investment_status,obpp_kyc_status,investment_status,context_traits_external_user_id,context_traits_gc_name,context_traits_gc_id,context_campaign_source,context_campaign_medium,context_campaign_name,context_session_start
2026-05-07T01:00:29.247+05:30,India,Chrome,Not received,,2026-05-07T00:30:55.69+05:30,517,Not received,Not received,IN,ip_12d260a8fd,2026-05-07T00:30:55.689+05:30,Not received,Dehradun,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/assetdetails/housing-and-urban-development-corporation/ncd/rcbhdc260201/2423,Android,ip_12d260a8fd,3,3.11.17,,Not received,Unknown,3.11.17,ip_12d260a8fd,POSTGRES,/assets,,asset_search_suggestion_clicked,4g,0,861,https://www.gripinvest.in/assets,$direct,Not received,Not received,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,3,528132,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-05-07T00:30:55.711+05:30,Asia/Kolkata,3c239a03-6ca4-4253-90df-91edb44c04ea,2627,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 13; moto g62 5G Build/T1SSIS33.1-75-7-16; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",Portrait,bonds,388,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,2.7875001430511475,,387,https://www.gripinvest.in/assets,1778093679706,2026-05-07T00:30:55.712+05:30,RudderLabs JavaScript SDK,npm,Uttarakhand,Not received,en-IN,Keertana Finserv Sep'27,7c84a958-81cb-425c-a76a-78839ea0c748,Not received,Not received,,,,,False,False,False,False,,,,,,,
2026-05-07T07:30:11.718+05:30,India,Unknown,Not received,,2026-05-07T07:27:03.208+05:30,441,Not received,Not received,IN,ip_db4c39bcff,2026-05-07T07:27:03.207+05:30,Not received,Ghaziabad,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/user-kyc,iOS,ip_db4c39bcff,3,3.11.17,app.digio.in,Not received,Unknown,3.11.17,ip_db4c39bcff,POSTGRES,/assets,,asset_search_suggestion_clicked,Unknown,0,844,https://www.gripinvest.in/assets,$direct,Not received,Not received,Not received,web,/assets,Phone,Excitel Broadband Private Limited,2,1842637,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,https://app.digio.in/,2026-05-07T07:27:03.05+05:30,Asia/Kolkata,f565a3f9-4396-4b3f-aa63-67c53747fee7,2604,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",Portrait,bonds,390,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,3.0,,390,https://www.gripinvest.in/assets,1778118521485,2026-05-07T07:27:03.051+05:30,RudderLabs JavaScript SDK,npm,Uttar Pradesh,Not received,en-IN,Unifinz Capital Apr'28,8535764c-3095-414b-9cf3-e454ccea23c8,Not received,Not received,,,,,True,False,True,False,,,,,,,
2026-05-07T08:30:34.429+05:30,India,Unknown,ET money,,2026-05-07T08:10:20.563+05:30,719,Not received,Not received,IN,ip_b76b3b2a60,2026-05-07T08:10:20.563+05:30,Not received,Jaipur,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/assetdetails/Combo%20Deal/multiple%20assets/RCBSBBK260301/2486,iOS,ip_b76b3b2a60,3,3.11.17,www.gripinvest.in,Not received,Unknown,3.11.17,ip_b76b3b2a60,POSTGRES,/assets,?type=baskets,asset_search_suggestion_clicked,Unknown,0,844,https://www.gripinvest.in/assets?type=baskets,$direct,Not received,gc,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,1,1189563,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/external-ui/aacf255e-f3ea-44c8-bf97-749abbc33016?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,2026-05-07T08:10:20.426+05:30,Asia/Kolkata,e8a2ba50-ec21-42a5-b70c-7cb0d7e7f18b,2574,RudderLabs JavaScript SDK,Not received,Website,IPv4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",Portrait,baskets,390,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,3.0,,390,https://www.gripinvest.in/assets?type=baskets,1778121554460,2026-05-07T08:10:20.426+05:30,RudderLabs JavaScript SDK,npm,Rajasthan,Not received,en-IN,Akme Fintrade Jan'29,8263a3c5-4dff-43ac-9a39-13fed9a1e4d7,connect,Not received,?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,MLV7DDVW,394.0,ET money,False,False,False,False,MLV7DDVW,ET money,394.0,,,,
2026-05-07T09:00:15.06+05:30,India,Chrome,Not received,,2026-05-07T08:57:22.062+05:30,485,Not received,Not received,IN,ip_b5437f2f33,2026-05-07T08:57:22.06+05:30,Not received,Hyderabad,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/assetdetails/suryoday/bank/fdsry240901/1239,Android,ip_b5437f2f33,3,3.11.17,,Not received,Unknown,3.11.17,ip_b5437f2f33,POSTGRES,/assets,?type=highyieldfd,asset_search_suggestion_clicked,4g,0,793,https://www.gripinvest.in/assets?type=highyieldfd,$direct,Not received,Not received,Not received,web,/assets,Phone,Bharti Airtel Ltd. AS for GPRS Service,3,1564931,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-05-07T08:57:21.106+05:30,Asia/Kolkata,abfcba56-c402-4d55-8961-30b312420ee4,2627,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 16; CPH2487 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",Portrait,highyieldfd,355,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,3.5,,354,https://www.gripinvest.in/assets?type=highyieldfd,1778124366266,2026-05-07T08:57:21.108+05:30,RudderLabs JavaScript SDK,npm,Telangana,Not received,en-GB,Keertana Finserv Sep'27,9a713318-f19f-42a1-877d-9a073d59d30d,Not received,Not received,,,,,True,False,True,False,,,,,,,
2026-05-07T09:30:29.859+05:30,India,Chrome,Not received,,2026-05-07T09:21:05.699+05:30,470,Not received,Not received,IN,ip_45ba09e0e8,2026-05-07T09:21:05.694+05:30,Not received,Pune,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/assetdetails/nido-home-finance-limited/ncd/rcbnh260301/2497,Android,ip_45ba09e0e8,3,3.11.17,,Not received,Unknown,3.11.17,ip_45ba09e0e8,POSTGRES,/assets,?type=bonds,asset_search_suggestion_clicked,4g,0,800,https://www.gripinvest.in/assets?type=bonds,$direct,Not received,Not received,Not received,web,/assets,Phone,Bharti Airtel Ltd. AS for GPRS Service,1,1760243,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-05-07T09:21:05.557+05:30,Asia/Kolkata,82c9e4a1-54d6-4da6-b098-359686acea41,2607,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 11; M2006C3LII Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",Portrait,bonds,360,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,2.0,,360,https://www.gripinvest.in/assets?type=bonds,1778124969492,2026-05-07T09:21:05.562+05:30,RudderLabs JavaScript SDK,npm,Maharashtra,Not received,en-IN,Best Capital Mar'29,cbeb0cf3-2c64-47ab-b49a-8de000ef97f2,Not received,Not received,?utm_source=app&utm_medium=marketing&utm_campaign=PApp_03052026_M_Followup_Deal_Bond_Chola_FTI,,,,False,False,False,False,,,,,,,
2026-05-07T10:30:18.512+05:30,India,Chrome,Not received,www.gripinvest.in,2026-05-07T10:25:29.248+05:30,775,Not received,Not received,IN,ip_c2ee9f401a,2026-05-07T10:25:29.245+05:30,Not received,Ilamanū,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/discover,Android,ip_c2ee9f401a,3,3.11.17,www.gripinvest.in,Not received,Unknown,3.11.17,ip_c2ee9f401a,POSTGRES,/assets,?type=bonds,asset_search_suggestion_clicked,4g,0,854,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/discover?uid=1695663,Not received,Not received,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,1,1695663,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/discover?uid=1695663,2026-05-07T10:25:27.794+05:30,Asia/Kolkata,8600bcda-df83-4de6-97ba-e1e0190041a9,2607,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 14; V2431 Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",Portrait,bonds,385,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,1.875,,384,https://www.gripinvest.in/assets?type=bonds,1778129726364,2026-05-07T10:25:27.797+05:30,RudderLabs JavaScript SDK,npm,Tamil Nadu,Not received,en-US,Best Capital Mar'29,0f83478c-0b52-47a1-9801-39515830c9de,Not received,Not received,?filter=0.25%25extra&sort=ytm_desc&utm_source=whatsapp&utm_medium=marketing&utm_campaign=PWA_06052026_M_Snapshot_ExtraYTM_Bond_Bundle_RFQStart_L60D_Utility_Karix,,,,False,False,False,False,,,,,,,
2026-05-07T10:30:18.512+05:30,India,Chrome,Not received,www.gripinvest.in,2026-05-07T10:27:36.797+05:30,775,Not received,Not received,IN,ip_c2ee9f401a,2026-05-07T10:27:36.795+05:30,Not received,Ilamanū,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/assetdetails/best-capital-services-limited/ncd/rcbbc260402/2607,Android,ip_c2ee9f401a,3,3.11.17,www.gripinvest.in,Not received,Unknown,3.11.17,ip_c2ee9f401a,POSTGRES,/assets,?type=bonds,asset_search_suggestion_clicked,4g,0,854,https://www.gripinvest.in/assets?type=bonds,https://www.gripinvest.in/discover?uid=1695663,Not received,Not received,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,3,1695663,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/discover?uid=1695663,2026-05-07T10:27:36.1+05:30,Asia/Kolkata,8600bcda-df83-4de6-97ba-e1e0190041a9,2627,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 14; V2431 Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",Portrait,bonds,385,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,1.875,,384,https://www.gripinvest.in/assets?type=bonds,1778129726364,2026-05-07T10:27:36.102+05:30,RudderLabs JavaScript SDK,npm,Tamil Nadu,Not received,en-US,Keertana Finserv Sep'27,89401e9a-24b9-4f8d-a59c-b3d78f69c2cc,Not received,Not received,?filter=0.25%25extra&sort=ytm_desc&utm_source=whatsapp&utm_medium=marketing&utm_campaign=PWA_06052026_M_Snapshot_ExtraYTM_Bond_Bundle_RFQStart_L60D_Utility_Karix,,,,False,False,False,False,,,,,,,
2026-05-07T11:00:32.779+05:30,India,Unknown,Not received,,2026-05-07T10:53:11.875+05:30,441,Not received,Not received,IN,ip_e804c83834,2026-05-07T10:53:11.875+05:30,Not received,New Delhi,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/discover,iOS,ip_e804c83834,3,3.11.17,,Not received,Unknown,3.11.17,ip_e804c83834,POSTGRES,/assets,?type=bonds,asset_search_suggestion_clicked,Unknown,0,844,https://www.gripinvest.in/assets?type=bonds,$direct,Not received,Not received,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,1,1809102,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-05-07T10:53:11.698+05:30,Asia/Kolkata,14897623-a2ef-4138-8acd-ebb9f2dc230b,2608,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",Portrait,bonds,390,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,3.0,,390,https://www.gripinvest.in/assets?type=bonds,1778131328644,2026-05-07T10:53:11.698+05:30,RudderLabs JavaScript SDK,npm,National Capital Territory of Delhi,Not received,en-IN,Best Capital Mar'29,782f630e-772f-49e7-b8ee-36323eed501b,Not received,Not received,,,,,True,False,True,False,,,,,,,
2026-05-07T13:00:26.177+05:30,India,Chrome,,,2026-05-07T12:35:47.798+05:30,752,,,IN,ip_ec230a8297,2026-05-07T12:35:47.797+05:30,,Jaipur,GMT+0530,,1zPDwwVTM2IViEcrnPu1ijq5MB9,/discover,Android,ip_ec230a8297,3,3.11.17,,,Unknown,3.11.17,ip_ec230a8297,POSTGRES,/assets,?type=bonds,asset_search_suggestion_clicked,4g,0,793,https://www.gripinvest.in/assets?type=bonds,$direct,,,,web,/assets,Phone,"Bharti Airtel Ltd., Telemedia Services",1,1843201,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-05-07T12:35:49.307+05:30,Asia/Kolkata,4d1ed82b-7fcf-4d93-a2ae-608b1bd8991b,2607,RudderLabs JavaScript SDK,,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 15; CPH2487 Build/AP3A.240617.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",Portrait,bonds,355,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,,top_ytm,asset_search_suggestion_clicked,3.5,,354,https://www.gripinvest.in/assets?type=bonds,1778137513802,2026-05-07T12:35:49.308+05:30,RudderLabs JavaScript SDK,npm,Rajasthan,,en-GB,Best Capital Mar'29,cb4a93d0-39a3-4d73-b9d6-4889d7868394,,,,,,,False,False,False,False,,,,,,,
2026-05-07T13:00:26.177+05:30,India,Unknown,Not received,calculators.gripinvest.in,2026-05-07T12:38:12.294+05:30,449,Not received,Not received,IN,ip_76c1458c2c,2026-05-07T12:38:12.293+05:30,Not received,Bengaluru,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/discover,iOS,ip_76c1458c2c,3,3.11.17,,Not received,Unknown,3.11.17,ip_76c1458c2c,POSTGRES,/assets,,asset_search_suggestion_clicked,Unknown,0,852,https://www.gripinvest.in/assets,https://calculators.gripinvest.in/,Not received,Not received,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,2,1700192,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-05-07T12:38:11.788+05:30,Asia/Kolkata,00e6cf6f-b0cd-4050-9c61-32604731ba41,2626,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",Portrait,bonds,393,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,3.0,,393,https://www.gripinvest.in/assets,1778137667277,2026-05-07T12:38:11.789+05:30,RudderLabs JavaScript SDK,npm,Karnataka,Not received,en-IN,Keertana Finserv Sep'27,b4ab8261-1ee8-4a62-88cb-90eddc2e067f,Not received,Not received,?filter=0.25%25extra&utm_source=email&utm_medium=marketing&utm_campaign=PEM_05052026_M_Snapshot_ExtraYTM_Bond_Bundle_RFQDone_IU_NewDomain,,,,True,True,True,True,,,,,,,
