context_screen_width,context_session_id,timestamp,country,os,context_screen_inner_height,browser,context_app_namespace,context_page_tab_url,context_page_initial_referrer,context_screen_height,context_ip,referrer,id,context_app_name,context_app_install_type,context_destination_type,event,context_page_referring_domain,application,isp,context_page_title,context_page_initial_referring_domain,context_source_type,context_request_ip,page,context_page_url,gclid,name,device_type,context_library_version,exp_version,uuid_ts,fbclid,campaign,external_user_id,context_screen_inner_width,context_page_referrer,content,medium,context_page_search,adset,creative,source,ip_address,city,user_id,context_timezone,anonymous_id,utm_search,context_destination_id,channel,context_page_path,country_code,context_app_version,placement,assets_visible_count,context_locale,referrer_page,context_library_name,widget_id,adgroup,device,gc_name,device_orientation,original_timestamp,network_type,component_name,event_text,term,gc_id,active_tab,context_screen_density,timezone,version,sent_at,context_user_agent,received_at,context_source_id,region,component_position,context_session_start,context_traits_investment_status,obpp_kyc_status,context_traits_obpp_kyc_status,investment_status,context_traits_external_user_id,context_traits_gc_name,context_traits_gc_id,context_campaign_name,context_campaign_medium,context_campaign_source
424,1778090705611.0,2026-05-07T00:01:55.111+05:30,India,Android,855,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets,$direct,942,ip_b2578cd68f,Not received,eeee7b21-43eb-456b-9ba6-7653faaad362,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Bharti Airtel Ltd. AS for GPRS Service,Invest in non-market linked investment opportunities,,Javascript,ip_b2578cd68f,/assets,https://www.gripinvest.in/assets,Not received,Not received,Phone,3.11.17,,2026-05-07T00:30:17.053+05:30,Not received,Not received,,423,$direct,Not received,Not received,,Not received,Not received,Not received,ip_b2578cd68f,Patna,1822498,GMT+0530,b06df59f-9fa7-4289-9edb-8a94ec122b40,,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,44,en-GB,/portfolio,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-05-07T00:01:54.137+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,2.549999952316284,Asia/Kolkata,IPv4,2026-05-07T00:01:54.138+05:30,"Mozilla/5.0 (Linux; Android 16; CPH2637 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.137 Mobile Safari/537.36",2026-05-07T00:01:55.112+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Bihar,0,,False,True,True,False,,,,,,
412,1778092611556.0,2026-05-07T00:14:43.482+05:30,India,Android,832,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets?type=bonds,$direct,915,ip_9fcb1542b6,Not received,85ebfa28-ec88-45b0-bf49-93e95b8efb20,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Reliance Jio Infocomm Limited,Invest in non-market linked investment opportunities,,Javascript,ip_9fcb1542b6,/assets,https://www.gripinvest.in/assets?type=bonds,Not received,Not received,Phone,3.11.17,,2026-05-07T00:30:17.053+05:30,Not received,Not received,,411,$direct,Not received,Not received,?type=bonds,Not received,Not received,Not received,ip_9fcb1542b6,Hyderabad,825168,GMT+0530,0f75b0d2-078b-4c93-af38-686b99200175,,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,37,en-IN,/assetdetails/suryoday/bank/fdsry240901/1239,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-05-07T00:14:43.177+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,2.625,Asia/Kolkata,IPv4,2026-05-07T00:14:43.178+05:30,"Mozilla/5.0 (Linux; Android 13; SM-M526B Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",2026-05-07T00:14:43.483+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Telangana,0,,True,True,True,True,,,,,,
384,1778093253177.0,2026-05-07T00:18:29.395+05:30,India,Android,755,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets,$direct,832,ip_c8c2150a30,Not received,ad75dc63-6c6d-48d3-aaae-58ef641580aa,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Reliance Jio Infocomm Limited,Invest in non-market linked investment opportunities,,Javascript,ip_c8c2150a30,/assets,https://www.gripinvest.in/assets,Not received,Not received,Phone,3.11.17,,2026-05-07T00:30:17.053+05:30,Not received,Not received,,384,$direct,Not received,Not received,,Not received,Not received,Not received,ip_c8c2150a30,Pune,1614775,GMT+0530,b6a18046-7c3a-4b60-8c92-ad0572ff51e7,,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,37,en-IN,/portfolio,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-05-07T00:18:29.017+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,2.8125,Asia/Kolkata,IPv4,2026-05-07T00:18:29.019+05:30,"Mozilla/5.0 (Linux; Android 16; SM-A156E Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.138 Mobile Safari/537.36",2026-05-07T00:18:29.397+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Maharashtra,0,,True,True,True,True,,,,,,
388,1778093679706.0,2026-05-07T00:29:06.599+05:30,India,Android,775,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets,$direct,861,ip_12d260a8fd,Not received,8077cbb3-f62e-41d6-84ea-f6c9aaefeb48,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Reliance Jio Infocomm Limited,Invest in non-market linked investment opportunities,,Javascript,ip_12d260a8fd,/assets,https://www.gripinvest.in/assets,Not received,Not received,Phone,3.11.17,,2026-05-07T00:30:17.053+05:30,Not received,Not received,,387,$direct,Not received,Not received,,Not received,Not received,Not received,ip_12d260a8fd,Dehradun,528132,GMT+0530,3c239a03-6ca4-4253-90df-91edb44c04ea,,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,44,en-IN,/discover,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-05-07T00:29:06.617+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,2.7875001430511475,Asia/Kolkata,IPv4,2026-05-07T00:29:06.618+05:30,"Mozilla/5.0 (Linux; Android 13; moto g62 5G Build/T1SSIS33.1-75-7-16; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",2026-05-07T00:29:06.6+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Uttarakhand,0,,False,False,False,False,,,,,,
388,1778093679706.0,2026-05-07T00:30:20.65+05:30,India,Android,775,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets,$direct,861,ip_12d260a8fd,Not received,8fea3449-ec32-4ddd-afd4-5dcdf3c24630,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Reliance Jio Infocomm Limited,Invest in non-market linked investment opportunities,,Javascript,ip_12d260a8fd,/assets,https://www.gripinvest.in/assets,Not received,Not received,Phone,3.11.17,,2026-05-07T01:00:29.247+05:30,Not received,Not received,,387,$direct,Not received,Not received,,Not received,Not received,Not received,ip_12d260a8fd,Dehradun,528132,GMT+0530,3c239a03-6ca4-4253-90df-91edb44c04ea,,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,44,en-IN,/assetdetails/housing-and-urban-development-corporation/ncd/rcbhdc260201/2423,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-05-07T00:30:20.677+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,2.7875001430511475,Asia/Kolkata,IPv4,2026-05-07T00:30:20.678+05:30,"Mozilla/5.0 (Linux; Android 13; moto g62 5G Build/T1SSIS33.1-75-7-16; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",2026-05-07T00:30:20.651+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Uttarakhand,0,,False,False,False,False,,,,,,
412,1778094167544.0,2026-05-07T00:33:59.774+05:30,India,Android,809,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets?type=bonds,$direct,892,ip_78a4854205,Not received,1b55c9b7-d3cf-4199-b659-14d84c52d341,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,"Bharti Airtel Ltd., Telemedia Services",Invest in non-market linked investment opportunities,,Javascript,ip_78a4854205,/assets,https://www.gripinvest.in/assets?type=bonds,Not received,Not received,Phone,3.11.17,,2026-05-07T01:00:29.247+05:30,Not received,Not received,,411,$direct,Not received,Not received,?type=bonds,Not received,Not received,Not received,ip_78a4854205,Bengaluru,1700614,GMT+0530,dd209050-b357-4a89-af73-ca11c3fda192,,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,37,en-IN,/assets/bonds,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-05-07T00:33:59.618+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,2.625,Asia/Kolkata,IPv4,2026-05-07T00:33:59.619+05:30,"Mozilla/5.0 (Linux; Android 16; SM-A556E Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.137 Mobile Safari/537.36",2026-05-07T00:33:59.775+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Karnataka,0,,True,True,True,True,,,,,,
412,1778094229500.0,2026-05-07T00:38:04.564+05:30,India,Android,782,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets?type=bonds,https://www.google.com/,915,ip_687c26acc6,grip invest,93df9614-7444-4c82-87da-20a747f9d87b,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,www.gripinvest.in,Website,Reliance Jio Infocomm Limited,Invest in non-market linked investment opportunities,www.google.com,Javascript,ip_687c26acc6,/assets,https://www.gripinvest.in/assets?type=bonds,CjwKCAjwzevPBhBaEiwAplAxvsDaHaP_RggdVQnRqHIi96ZmDrFChYH-3Vugsx1KSmGY99pJKFFb6BoC5G8QAvD_BwE,Not received,Phone,3.11.17,,2026-05-07T01:00:29.247+05:30,Not received,18403652095,,411,https://www.gripinvest.in/assets,Not received,cpc,?type=bonds,Not received,Not received,google,ip_687c26acc6,Bardhaman,1257762,GMT+0530,8f6e1f6e-6a4a-409a-ab25-bec68686b798,?utm_source=google&utm_medium=cpc&utm_campaign=18403652095&utm_referrer=grip%20invest&gad_source=1&gad_campaignid=18403652095&gclid=CjwKCAjwzevPBhBaEiwAplAxvsDaHaP_RggdVQnRqHIi96ZmDrFChYH-3Vugsx1KSmGY99pJKFFb6BoC5G8QAvD_BwE,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,44,en-US,/login,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-05-07T00:38:06.266+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,2.625,Asia/Kolkata,IPv4,2026-05-07T00:38:06.268+05:30,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Mobile Safari/537.36",2026-05-07T00:38:04.566+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,West Bengal,0,,False,False,False,False,,,,,,
360,1778094105440.0,2026-05-07T00:40:03.314+05:30,India,Android,752,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets?type=bonds,$direct,792,ip_733fc1cfae,Not received,2e3b5aff-3676-49b5-be15-0a8411b2e276,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Reliance Jio Infocomm Limited,Invest in non-market linked investment opportunities,,Javascript,ip_733fc1cfae,/assets,https://www.gripinvest.in/assets?type=bonds,Not received,Not received,Phone,3.11.17,,2026-05-07T01:00:29.247+05:30,Not received,Not received,,360,$direct,Not received,Not received,?type=bonds,Not received,Not received,Not received,ip_733fc1cfae,Surat,1520548,GMT+0530,9a46a10c-ba64-4c9d-a564-541e127a70f7,,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,44,en-IN,/assets/bonds,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-05-07T00:40:03.168+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,3.0,Asia/Kolkata,IPv4,2026-05-07T00:40:03.169+05:30,"Mozilla/5.0 (Linux; Android 16; CPH2573 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.112 Mobile Safari/537.36",2026-05-07T00:40:03.315+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Gujarat,0,,False,True,True,False,,,,,,
432,1778096703168.0,2026-05-07T01:15:42.321+05:30,India,Android,914,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets,$direct,984,ip_eb92869c93,Not received,22d1c30b-1218-4ebc-95a5-df39164a8f69,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Reliance Jio Infocomm Limited,Invest in non-market linked investment opportunities,,Javascript,ip_eb92869c93,/assets,https://www.gripinvest.in/assets,Not received,Not received,Phone,3.11.17,,2026-05-07T01:30:15.254+05:30,Not received,Not received,,432,$direct,Not received,Not received,,Not received,Not received,Not received,ip_eb92869c93,Kolkata,1231504,GMT+0530,385d61fb-ffda-4ccb-b9fc-0546bcdd7ef4,?utm_source=app&utm_medium=marketing&utm_campaign=PApp_02052026_M_Followup_Deal_Bond_Ugro_FTI,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,44,en-US,/assets/bonds,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-05-07T01:15:41.239+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,2.5,Asia/Kolkata,IPv4,2026-05-07T01:15:41.242+05:30,"Mozilla/5.0 (Linux; Android 12; moto g(60) Build/S2RI32.32-20-9-9-2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",2026-05-07T01:15:42.324+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,West Bengal,0,,False,True,True,False,,,,,,
384,1778097349445.0,2026-05-07T01:30:56.533+05:30,India,Android,785,Chrome,com.rudderlabs.javascript,https://www.gripinvest.in/assets?type=bonds,$direct,857,ip_46c12129f5,Not received,2eb561e5-64ff-490b-bcbc-6cc2de84ec37,RudderLabs JavaScript SDK,npm,POSTGRES,asset_search_initiated,,Mobile App,Reliance Jio Infocomm Limited,Invest in non-market linked investment opportunities,,Javascript,ip_46c12129f5,/assets,https://www.gripinvest.in/assets?type=bonds,Not received,Not received,Phone,3.11.17,,2026-05-07T02:00:21.755+05:30,Not received,Not received,,384,$direct,Not received,Not received,?type=bonds,Not received,Not received,Not received,ip_46c12129f5,Coimbatore,1056058,GMT+0530,e0477759-29ff-4130-943f-acbb95c89464,,1zPDwwVTM2IViEcrnPu1ijq5MB9,web,/assets,IN,3.11.17,Not received,37,en-IN,/assets/bonds,RudderLabs JavaScript SDK,no-context,Not received,Not received,,Portrait,2026-05-07T01:30:55.976+05:30,4g,Unknown,asset_search_initiated,Not received,,bonds,2.8125,Asia/Kolkata,IPv4,2026-05-07T01:30:55.978+05:30,"Mozilla/5.0 (Linux; Android 15; SM-A146B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",2026-05-07T01:30:56.535+05:30,1zPBioi9zJvy4kIey0DcD3upWe6,Tamil Nadu,0,,True,True,True,True,,,,,,
