context_locale,ip_address,context_page_referring_domain,id,context_app_namespace,context_library_name,context_app_version,total_returns,context_destination_id,event,anonymous_id,timezone,browser,context_source_type,context_screen_inner_width,user_id,network_type,os,region,isp,event_text,context_session_id,fd_name,investment_amount,context_screen_inner_height,context_screen_width,context_destination_type,context_library_version,context_user_agent,eligible_for_women,context_page_initial_referring_domain,fd_type,original_timestamp,sent_at,device_orientation,city,timestamp,uuid_ts,context_page_url,context_app_name,context_timezone,context_source_id,tenure,device_type,context_ip,country,context_page_path,context_page_initial_referrer,received_at,total_interest,context_request_ip,eligible_for_sr_citizen,context_page_referrer,context_screen_density,channel,context_page_tab_url,context_page_title,context_screen_height,name,term,context_session_start,referrer,source,adgroup,fbclid,campaign,adset,medium,placement,device,utm_search,content,gclid,creative,context_page_search,context_campaign_name,context_campaign_source,context_campaign_medium,exp_version,application,gc_name,external_user_id,gc_id,path,product_sub_category,rfq_enabled,extra_return_eligible,financial_product_type,url,product_category,cta_text,kyc_status,amo,irr,obpp_kyc_status,ucc_status,quantities_selected,fd_kyc_status,context_app_install_type,asset_logo,asset_description,mf_investment_type,mf_kyc_status,asset_id,infinite,clicked_with_infinite,infinite_schema_version,infinite_extra_returns,version,country_code,context_campaign_referrer,invested_investor,venue,context_campaign_content,referrer_page,page,experiment_variant,experiment_name,experiment_treatment_percentage,experiment_bucket,investment_source,experiment_skip_asset_details_page_bucket,experience_type,experiment_skip_checkout_experiment_bucket,page_source,asset_category,experiment_skip_checkout_experiment_variant,experiment_skip_asset_details_page_variant,cohort_type,context_traits_obpp_kyc_status,context_traits_gc_id,context_traits_investment_status,investment_status,context_traits_external_user_id,context_traits_gc_name
en-IN,ip_48cf310fa1,,8e2483c8-33bd-4799-8c51-4b771e930fca,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,5c16ef73-ab18-43d7-8c29-ad02fd23b62f,Asia/Kolkata,Chrome,Javascript,338,935075,4g,Android,Kerala,Kerala Vision Broad Band Private Limited,Invest Now Button Clicked,1778092266924.0,,49240,662,339,POSTGRES,3.11.17,"Mozilla/5.0 (Linux; Android 16; SM-M346B Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.137 Mobile Safari/537.36",,,,2026-05-07T00:02:36.834+05:30,2026-05-07T00:02:36.836+05:30,Portrait,Thrissur,2026-05-07T00:02:36.478+05:30,2026-05-07T00:30:17.053+05:30,https://www.gripinvest.in/assets/bonds?filter=all,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,32,Phone,ip_48cf310fa1,India,/assets/bonds,$direct,2026-05-07T00:02:36.48+05:30,,ip_48cf310fa1,,$direct,3,web,https://www.gripinvest.in/assets/bonds?filter=all,,735,Not received,Not received,,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,,Not received,Not received,Not received,?filter=all,,,,,Mobile App,,,,/assets/bonds,Corporate Bonds,True,,Bonds,https://www.gripinvest.in/assets/bonds?filter=all,Corporate Bonds,,True,True,12.8,True,False,5.0,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/2573/website/logo/akme_fintradedeallogo.png,Akme Fintrade Ltd.,,,2573,not eligible,False,1.0,,IPv4,IN,,True,GRIP,,/assetdetails/akme-fintrade-ltd./ncd/rcbak260401/2573,/assets/bonds,,,,,quick_checkout,61.0,quick_checkout,,asset_type_list,bond,not_eligible,treatment,unknown,True,,True,True,,
en-IN,ip_2d16d3f6ba,,b6f75447-7917-4775-96e5-1cad96754041,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,ba1ffe4e-c8ac-4fde-8430-7b64d932071d,Asia/Kolkata,Chrome,Javascript,397,1004295,4g,Android,Maharashtra,Vodafone Idea Ltd,Invest Now Button Clicked,1778092043183.0,,100599,717,398,POSTGRES,3.11.17,"Mozilla/5.0 (Linux; Android 16; motorola edge 70 fusion Build/W2WES36.56-62-11-1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",,,,2026-05-07T00:03:29.205+05:30,2026-05-07T00:03:29.207+05:30,Portrait,Mumbai,2026-05-07T00:03:30.683+05:30,2026-05-07T00:30:17.053+05:30,https://www.gripinvest.in/assetdetails/Navi%20Finserv/bonds/RCBNF260202/2438?units=5,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,20,Phone,ip_2d16d3f6ba,India,/assetdetails/Navi%20Finserv/bonds/RCBNF260202/2438,$direct,2026-05-07T00:03:30.685+05:30,,ip_2d16d3f6ba,,$direct,3,web,https://www.gripinvest.in/assetdetails/Navi%20Finserv/bonds/RCBNF260202/2438?units=5,Grow your wealth,867,Not received,Not received,,Not received,Tata Digital Private Ltd,Not received,Not received,gc,Not received,connect,Not received,Not received,?partner_id=TAT00021GC&utm_source=Tata+Digital+Private+Ltd&utm_medium=connect&utm_campaign=gc,Not received,Not received,Not received,?units=5,,,,,Website,Tata Digital Private Ltd,a05d451f-41c1-4bfe-8ed4-7260139f3bdb,21.0,,Corporate Bonds,True,,Bonds,https://www.gripinvest.in/assetdetails/Navi%20Finserv/bonds/RCBNF260202/2438?units=5,Corporate Bonds,,True,True,10.75,True,False,10.0,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/1509/website/logo/navinewlogo.png,Navi Finserv,,,2438,eligible,False,1.0,7.08,IPv4,IN,,True,Tata Digital Private Ltd,,direct,/assetdetails/Navi%20Finserv/bonds/RCBNF260202/2438,,,,,asset_detail_page,,,,,,gc_excluded,,,True,21.0,True,True,a05d451f-41c1-4bfe-8ed4-7260139f3bdb,Tata Digital Private Ltd
en-IN,ip_04cb97bf83,www.gripinvest.in,d8241fc3-23c0-444e-a04c-9a3ab93338f9,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,fae433a5-70a2-40be-97d7-3a25844131ea,Asia/Kolkata,Chrome,Javascript,360,1090129,4g,Android,Tamil Nadu,Atria Convergence Technologies Pvt. Ltd. Broadband Internet Service Provider INDIA,Invest Now Button Clicked,1778092458151.0,,197042,717,360,POSTGRES,3.11.17,"Mozilla/5.0 (Linux; Android 13; EB2101 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",,,,2026-05-07T00:06:17.953+05:30,2026-05-07T00:06:17.955+05:30,Portrait,Chennai,2026-05-07T00:06:19.239+05:30,2026-05-07T00:30:17.053+05:30,https://www.gripinvest.in/assetdetails/keertana/ncd/rcbkf260501/2626?from=qc,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,16,Phone,ip_04cb97bf83,India,/assetdetails/keertana/ncd/rcbkf260501/2626,$direct,2026-05-07T00:06:19.241+05:30,,ip_04cb97bf83,,https://www.gripinvest.in/assets/bonds?filter=gold-bonds,3,web,https://www.gripinvest.in/assetdetails/keertana/ncd/rcbkf260501/2626?from=qc,Grow your wealth,800,Not received,Not received,,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,,Not received,Not received,Not received,?from=qc,,,,,Mobile App,,,,/assets/bonds,Corporate Bonds,True,,Bonds,https://www.gripinvest.in/assetdetails/keertana/ncd/rcbkf260501/2626?from=qc,Corporate Bonds,,True,True,13.65,True,False,20.0,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/2296/website/logo/keertana_deallogos_1_2.png,Keertana,,,2626,eligible,False,1.0,10.2,IPv4,IN,,True,GRIP,,/assets/bonds,/assetdetails/keertana/ncd/rcbkf260501/2626,,,,,asset_detail_page,56.0,quick_checkout,,asset_type_list,bond,not_eligible,treatment,unknown,True,,True,True,,
en-IN,ip_ef893ea889,,aa956149-3b26-4411-9fa6-28f51668b841,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,18c67da2-5fea-4444-99de-5d0bf2f4e732,Asia/Kolkata,Chrome,Javascript,384,1839990,4g,Android,Karnataka,Hathway IP Over Cable Internet,Invest Now Button Clicked,1778091019811.0,,54072,782,385,POSTGRES,3.11.17,"Mozilla/5.0 (Linux; Android 14; SM-S918B Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.137 Mobile Safari/537.36",,,,2026-05-07T00:07:43.886+05:30,2026-05-07T00:07:43.887+05:30,Portrait,Bengaluru,2026-05-07T00:07:44.179+05:30,2026-05-07T00:30:17.053+05:30,https://www.gripinvest.in/assetdetails/nido-home-finance-limited/ncd/rcbnh260301/2497,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,2,Phone,ip_ef893ea889,India,/assetdetails/nido-home-finance-limited/ncd/rcbnh260301/2497,$direct,2026-05-07T00:07:44.18+05:30,,ip_ef893ea889,,$direct,3,web,https://www.gripinvest.in/assetdetails/nido-home-finance-limited/ncd/rcbnh260301/2497,Grow your wealth,824,Not received,Not received,,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,,Not received,Not received,Not received,,,,,,Mobile App,,,,/assets/bonds,Corporate Bonds,True,,Bonds,https://www.gripinvest.in/assetdetails/nido-home-finance-limited/ncd/rcbnh260301/2497,Corporate Bonds,,True,True,9.0,True,False,50.0,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/1601/website/logo/nido_homeslogo.png,NIDO HOME FINANCE LIMITED,,,2497,not eligible,False,1.0,,IPv4,IN,,False,GRIP,,/assets/bonds,/assetdetails/nido-home-finance-limited/ncd/rcbnh260301/2497,,,,,asset_detail_page,79.0,asset_detail_page,,asset_type_list,bond,not_eligible,treatment,unknown,True,,False,False,,
en-GB,ip_4e695c865e,www.gripinvest.in,9ede8eb3-5ad6-4457-9276-21135d998b4f,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,0c1468b0-5034-4e4e-8e56-8c233e63a55c,Asia/Kolkata,Chrome,Javascript,1440,239357,4g,Mac,Maharashtra,"Amazon.com, Inc.",Invest Now Button Clicked,1778092895822.0,,295664,718,1440,POSTGRES,3.11.17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,search.brave.com,,2026-05-07T00:15:43.221+05:30,2026-05-07T00:15:43.222+05:30,Landscape,Mumbai,2026-05-07T00:15:43.407+05:30,2026-05-07T00:30:17.053+05:30,https://www.gripinvest.in/assetdetails/stl-networks-limited/ncd/rcbsnl260502/2620,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,26,Laptop,ip_08e9ec678d,India,/assetdetails/stl-networks-limited/ncd/rcbsnl260502/2620,https://search.brave.com/,2026-05-07T00:15:43.408+05:30,,ip_08e9ec678d,,https://www.gripinvest.in/signup,2,web,https://www.gripinvest.in/assetdetails/stl-networks-limited/ncd/rcbsnl260502/2620,Grow your wealth,900,,,,,,,,,,,,,,,,,,,,,,Website,,,,/assets,Corporate Bonds,True,,Bonds,https://www.gripinvest.in/assetdetails/stl-networks-limited/ncd/rcbsnl260502/2620,Corporate Bonds,Invest Now,True,True,11.75,True,False,3.0,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/2620/website/logo/stl_networks.png,STL NETWORKS LIMITED,,,2620,not eligible,False,1.0,,,,,True,GRIP,,/assets,/assetdetails/stl-networks-limited/ncd/rcbsnl260502/2620,,,,,asset_detail_page,13.0,asset_detail_page,,asset_list,bond,not_eligible,treatment,invested,True,,False,False,,
en-IN,ip_bdcb70ca6a,,7da622b2-0f51-4a7d-8f33-28a65d7189cd,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,92298d24-4db4-43b0-a0f5-3ebc6d077c14,Asia/Kolkata,Unknown,Javascript,390,1206451,Unknown,iOS,West Bengal,Reliance Jio Infocomm Limited,Invest Now Button Clicked,1778093157356.0,,9935,785,390,POSTGRES,3.11.17,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",,calculators.gripinvest.in,,2026-05-07T00:18:26.572+05:30,2026-05-07T00:18:26.572+05:30,Portrait,Kolkata,2026-05-07T00:18:26.767+05:30,2026-05-07T00:30:17.053+05:30,https://www.gripinvest.in/assets/bonds?filter=highly-rated&sort=ytm_desc,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,29,Phone,ip_bdcb70ca6a,India,/assets/bonds,https://calculators.gripinvest.in/,2026-05-07T00:18:26.767+05:30,,ip_bdcb70ca6a,,$direct,3,web,https://www.gripinvest.in/assets/bonds?filter=highly-rated&sort=ytm_desc,,844,Not received,Not received,,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,,Not received,Not received,Not received,?filter=highly-rated&sort=ytm_desc,,,,,Mobile App,,,,/assets/bonds,Corporate Bonds,True,,Bonds,https://www.gripinvest.in/assets/bonds?filter=highly-rated&sort=ytm_desc,Corporate Bonds,,True,True,11.75,True,False,1.0,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/2073/website/logo/westerncapitaldeallogo.png,WESTERN CAPITAL ADVISORS PRIVATE LIMITED,,,2235,not eligible,False,1.0,,IPv4,IN,,True,GRIP,,/assets,/assets/bonds,,,,,quick_checkout,13.0,quick_checkout,,asset_type_list,bond,not_eligible,treatment,unknown,True,,True,True,,
en-GB,ip_4e695c865e,www.gripinvest.in,edaf830a-9c7e-4d4e-b90a-b8a7b70d7bf1,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,0c1468b0-5034-4e4e-8e56-8c233e63a55c,Asia/Kolkata,Chrome,Javascript,1440,239357,4g,Mac,Maharashtra,"Amazon.com, Inc.",Invest Now Button Clicked,1778092895822.0,,305778,718,1440,POSTGRES,3.11.17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,search.brave.com,,2026-05-07T00:18:33.345+05:30,2026-05-07T00:18:33.346+05:30,Landscape,Mumbai,2026-05-07T00:18:33.532+05:30,2026-05-07T00:30:17.053+05:30,https://www.gripinvest.in/assetdetails/muthoottu-mini/ncd/rcbmm251202/2327,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,21,Laptop,ip_08e9ec678d,India,/assetdetails/muthoottu-mini/ncd/rcbmm251202/2327,https://search.brave.com/,2026-05-07T00:18:33.533+05:30,,ip_08e9ec678d,,https://www.gripinvest.in/signup,2,web,https://www.gripinvest.in/assetdetails/muthoottu-mini/ncd/rcbmm251202/2327,Grow your wealth,900,,,,,,,,,,,,,,,,,,,,,,Website,,,,/assets,Corporate Bonds,True,,Bonds,https://www.gripinvest.in/assetdetails/muthoottu-mini/ncd/rcbmm251202/2327,Corporate Bonds,Invest Now,True,True,10.75,True,False,31.0,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/2327/website/logo/muthoot_mcred.png,Muthoottu Mini,,,2327,eligible,False,1.0,23.28,,,,True,GRIP,,/assets,/assetdetails/muthoottu-mini/ncd/rcbmm251202/2327,,,,,asset_detail_page,13.0,asset_detail_page,,asset_list,bond,not_eligible,treatment,invested,True,,False,False,,
en-GB,ip_da0ecf3473,,595533a4-ae51-4ef6-9944-3ae8c4575df8,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,1629dbaf-216a-48ca-80f5-d024b1feec8d,Asia/Kolkata,Chrome,Javascript,360,1140498,4g,Android,Haryana,TRIPLE PLAY BROADBAND PRIVATE LIMITED,Invest Now Button Clicked,1778093291979.0,,185409,708,360,POSTGRES,3.11.17,"Mozilla/5.0 (Linux; Android 16; CPH2649 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",,,,2026-05-07T00:20:17.498+05:30,2026-05-07T00:20:17.499+05:30,Portrait,Gurugram,2026-05-07T00:20:18.082+05:30,2026-05-07T00:30:17.053+05:30,https://www.gripinvest.in/assetdetails/combo-deal/multiple-assets/rcbsbbk260301/2486?from=qc,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,21,Phone,ip_da0ecf3473,India,/assetdetails/combo-deal/multiple-assets/rcbsbbk260301/2486,$direct,2026-05-07T00:20:18.083+05:30,,ip_da0ecf3473,,$direct,3,web,https://www.gripinvest.in/assetdetails/combo-deal/multiple-assets/rcbsbbk260301/2486?from=qc,Grow your wealth,792,Not received,Not received,,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,,Not received,Not received,Not received,?from=qc,,,,,Mobile App,,,,/assets/bonds,Corporate Bonds,False,,Basket,https://www.gripinvest.in/assetdetails/combo-deal/multiple-assets/rcbsbbk260301/2486?from=qc,XCase,,True,False,11.0,True,False,3.0,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/2486/website/logo/smart_bond_.png,Combo Deal,,,2486,not eligible,False,1.0,,IPv4,IN,,True,GRIP,,/assets/bonds,/assetdetails/combo-deal/multiple-assets/rcbsbbk260301/2486,,,,,asset_detail_page,5.0,quick_checkout,,asset_type_list,basket,not_eligible,treatment,unknown,True,,True,True,,
en-IN,ip_c8c2150a30,,66989f16-2ba1-4073-ad6e-3385bb6b907b,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,b6a18046-7c3a-4b60-8c92-ad0572ff51e7,Asia/Kolkata,Chrome,Javascript,384,1614775,4g,Android,Maharashtra,Reliance Jio Infocomm Limited,Invest Now Button Clicked,1778093253177.0,,501,755,384,POSTGRES,3.11.17,"Mozilla/5.0 (Linux; Android 16; SM-A156E Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.138 Mobile Safari/537.36",,,,2026-05-07T00:24:19.759+05:30,2026-05-07T00:24:19.761+05:30,Portrait,Pune,2026-05-07T00:24:20.136+05:30,2026-05-07T00:30:17.053+05:30,https://www.gripinvest.in/assets/bonds?filter=t-bills&sort=tenure_asc,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,6,Phone,ip_c8c2150a30,India,/assets/bonds,$direct,2026-05-07T00:24:20.138+05:30,,ip_c8c2150a30,,$direct,2,web,https://www.gripinvest.in/assets/bonds?filter=t-bills&sort=tenure_asc,,832,Not received,Not received,,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,,Not received,Not received,Not received,?filter=t-bills&sort=tenure_asc,,,,,Mobile App,,,,/assets/bonds,G-SEC,True,,Bonds,https://www.gripinvest.in/assets/bonds?filter=t-bills&sort=tenure_asc,Corporate Bonds,,True,True,7.0,True,,5.0,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/1626/website/logo/image_52.png,GOI Loan,,,2312,not eligible,False,1.0,,IPv4,IN,,True,GRIP,,/assets,/assets/bonds,,,,,quick_checkout,59.0,quick_checkout,,asset_type_list,bond,not_eligible,treatment,unknown,True,,True,True,,
en-IN,ip_ebc8b89676,www.gripinvest.in,40f7eb93-6b87-40ca-aabb-e9f0981eaa98,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,f3a3c274-7b84-4679-807c-2798259e5a05,Asia/Kolkata,Chrome,Javascript,392,1431100,4g,Android,Maharashtra,Reliance Jio Infocomm Limited,Invest Now Button Clicked,1778094171603.0,,19727,750,393,POSTGRES,3.11.17,"Mozilla/5.0 (Linux; Android 14; 22101316I Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.137 Mobile Safari/537.36",,,,2026-05-07T00:33:02.876+05:30,2026-05-07T00:33:02.88+05:30,Portrait,Nagpur,2026-05-07T00:33:02.274+05:30,2026-05-07T01:00:29.247+05:30,https://www.gripinvest.in/assetdetails/Muthoottu%20Mini/ncd/RCBMM251202/2327?units=10,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,21,Phone,ip_ebc8b89676,India,/assetdetails/Muthoottu%20Mini/ncd/RCBMM251202/2327,$direct,2026-05-07T00:33:02.278+05:30,,ip_ebc8b89676,,https://www.gripinvest.in/external-ui/157714a5-3ac4-48d4-84ab-a95a6ba5b6fe?partner_id=PAR00396IFA&utm_source=Mobikwik&utm_medium=connect&utm_campaign=gc,2,web,https://www.gripinvest.in/assetdetails/Muthoottu%20Mini/ncd/RCBMM251202/2327?units=10,Grow your wealth,873,Not received,Not received,,Not received,Mobikwik,Not received,Not received,gc,Not received,connect,Not received,Not received,?partner_id=PAR00396IFA&utm_source=Mobikwik&utm_medium=connect&utm_campaign=gc,Not received,Not received,Not received,?units=10,,,,,Website,Mobikwik,64703148136f5,396.0,,Corporate Bonds,True,,Bonds,https://www.gripinvest.in/assetdetails/Muthoottu%20Mini/ncd/RCBMM251202/2327?units=10,Corporate Bonds,,True,True,10.75,True,False,2.0,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/2327/website/logo/muthoot_mcred.png,Muthoottu Mini,,,2327,eligible,False,1.0,23.28,IPv4,IN,,True,Mobikwik,,direct,/assetdetails/Muthoottu%20Mini/ncd/RCBMM251202/2327,,,,,asset_detail_page,,,,,,gc_excluded,,,True,396.0,True,True,64703148136f5,Mobikwik
