channel_handle,snapshot_date,subscribers,total_views,video_count,avg_views,median_views,avg_duration_sec,subscribers_delta,total_views_delta
@fixedreturnsacademy,2026-05-18,2370,294833,203,1457.1,591.0,112.2,0,0
@fixedreturnsacademy,2026-05-19,2370,294833,203,1460.0,591.0,112.2,0,0
@fixedreturnsacademy,2026-05-20,2380,297836,204,1469.6,593.0,112.3,10,3003
@fixedreturnsacademy,2026-05-21,2390,297836,204,1482.2,596.5,112.3,10,0
@fixedreturnsacademy,2026-05-22,2400,302292,204,1491.6,598.0,112.3,10,4456
@fixedreturnsacademy,2026-05-23,2400,304694,205,1493.3,597.0,112.2,0,2402
@fixedreturnsacademy,2026-05-26,2420,309793,206,1510.7,601.5,112.1,20,5099
@fixedreturnsacademy,2026-05-27,2430,311753,206,1519.0,601.5,112.1,10,1960
@fixedreturnsacademy,2026-05-28,2440,313676,207,1519.1,602.0,112.5,10,1923
@fixedreturnsacademy,2026-05-29,2450,314810,207,1527.0,603.0,112.5,10,1134
@fixedreturnsacademy,2026-05-30,2460,316144,207,1535.4,615.0,112.7,10,1334
@fixedreturnsacademy,2026-05-31,2470,318376,207,1542.3,617.0,112.7,10,2232
@fixedreturnsacademy,2026-06-01,2470,319860,207,1549.0,619.0,112.7,0,1484
@fixedreturnsacademy,2026-06-02,2490,321169,208,1550.4,611.0,112.7,20,1309
@fixedreturnsacademy,2026-06-03,2500,322852,209,1552.6,603.0,113.0,10,1683
@fixedreturnsacademy,2026-06-04,2510,324988,210,1554.4,604.0,113.0,10,2136
@fixedreturnsacademy,2026-06-05,2510,328215,211,1565.5,605.0,113.6,0,3227
@fixedreturnsacademy,2026-06-06,2520,330839,212,1570.5,613.0,113.5,10,2624
@fixedreturnsacademy,2026-06-07,2530,334030,212,1578.9,613.5,113.5,10,3191
@fixedreturnsacademy,2026-06-08,2540,336500,213,1584.3,607.0,113.4,10,2470
@fixedreturnsacademy,2026-06-09,2540,336875,213,1587.0,607.0,113.4,0,375
@fixedreturnsacademy,2026-06-10,2550,338607,214,1587.9,607.5,114.0,10,1732
@fixedreturnsacademy,2026-06-11,2560,340506,215,1591.2,609.0,114.0,10,1899
@fixedreturnsacademy,2026-06-12,2580,342468,216,1593.1,609.0,114.1,20,1962
@fixedreturnsacademy,2026-06-13,2590,344961,217,1594.7,612.0,114.2,10,2493
@fixedreturnsacademy,2026-06-14,2590,346435,217,1600.5,613.0,114.2,0,1474
@fixedreturnsacademy,2026-06-15,2610,348231,217,1608.2,618.0,114.2,20,1796
@fixedreturnsacademy,2026-06-16,2610,349803,218,1608.9,621.0,114.3,0,1572
@fixedreturnsacademy,2026-06-17,2620,351190,219,1608.5,621.0,114.2,10,1387
@fixedreturnsacademy,2026-06-18,2630,352363,220,1608.2,620.0,114.5,10,1173
@fixedreturnsacademy,2026-06-19,2640,353259,220,1615.9,620.5,114.5,10,896
@fixedreturnsacademy,2026-06-20,2650,355570,221,1615.1,620.0,114.6,10,2311
@fixedreturnsacademy,2026-06-21,2650,357654,221,1622.2,621.0,114.6,0,2084
@fixedreturnsacademy,2026-06-22,2660,358630,221,1628.2,622.0,114.6,10,976
@fixedreturnsacademy,2026-06-23,2680,359942,222,1628.3,621.5,115.0,20,1312
@fixedreturnsacademy,2026-06-24,2680,359942,223,1627.6,623.0,115.3,0,0
