channel_handle,snapshot_date,pattern,video_count,avg_views
@fixedreturnsacademy,2026-05-18,question_title,109,1572.2
@fixedreturnsacademy,2026-05-18,rupee_or_number,67,1860.6
@fixedreturnsacademy,2026-05-18,emoji,6,1284.0
@fixedreturnsacademy,2026-05-19,question_title,109,1575.9
@fixedreturnsacademy,2026-05-19,rupee_or_number,67,1864.5
@fixedreturnsacademy,2026-05-19,emoji,6,1284.7
@fixedreturnsacademy,2026-05-20,question_title,110,1584.1
@fixedreturnsacademy,2026-05-20,rupee_or_number,67,1882.4
@fixedreturnsacademy,2026-05-20,emoji,6,1289.5
@fixedreturnsacademy,2026-05-21,question_title,110,1601.1
@fixedreturnsacademy,2026-05-21,rupee_or_number,67,1897.3
@fixedreturnsacademy,2026-05-21,emoji,6,1300.3
@fixedreturnsacademy,2026-05-22,question_title,110,1612.3
@fixedreturnsacademy,2026-05-22,rupee_or_number,67,1910.7
@fixedreturnsacademy,2026-05-22,emoji,6,1308.7
@fixedreturnsacademy,2026-05-23,question_title,111,1609.2
@fixedreturnsacademy,2026-05-23,rupee_or_number,67,1922.4
@fixedreturnsacademy,2026-05-23,emoji,6,1314.2
@fixedreturnsacademy,2026-05-26,question_title,112,1625.4
@fixedreturnsacademy,2026-05-26,rupee_or_number,68,1927.9
@fixedreturnsacademy,2026-05-26,emoji,6,1327.3
@fixedreturnsacademy,2026-05-27,question_title,112,1634.5
@fixedreturnsacademy,2026-05-27,rupee_or_number,68,1941.7
@fixedreturnsacademy,2026-05-27,emoji,6,1333.7
