partner,week,no_of_registrations,no_orders,aum,aov,fti_count,fti_amount
ET money,2026-05-11,1087,216,32502131.539999995,150472.83120370368,52,7860116.949999999
ET money,2026-05-04,2704,253,37360444.3629,147669.74056482213,72,13221221.971399998
ET money,2026-04-27,3221,188,24285535.4078,129178.37982872341,53,8458574.629099999
ET money,2026-04-20,3993,197,23465905.2785,119116.27044923857,40,6130768.590299999
ET money,2026-04-13,1122,182,26488884.004,145543.3187032967,51,6486386.159899999
ET money,2026-04-06,1459,173,20674547.379,119506.05421387283,51,8118269.2489
ET money,2026-03-30,1320,104,16415474.2358,157841.09842115385,35,6481544.04
ET money,2026-03-23,1156,131,22759659.475599997,173737.8585923664,35,9197452.143300002
ET money,2026-03-16,2566,152,26433214.110600002,173902.72441184212,44,8123680.2255
ET money,2026-03-09,1500,167,27747525.361199997,166152.84647425148,47,7410984.670599999
ET money,2026-03-02,1998,239,33755148.4133,141234.9305995816,96,16045281.486999998
ET money,2026-02-23,3516,218,32297105.855800007,148151.86172385325,70,9816450.270600002
ET money,2026-02-16,2044,207,26319118.959900003,127145.50222173914,80,11616607.649500003
ET money,2026-02-09,4420,218,27455870.733100004,125944.36116100919,94,13678073.737500003
ET money,2026-02-02,2853,223,28877615.031099997,129496.0315295964,78,10332504.837800002
ET money,2026-01-26,2665,163,26945080.582900003,165307.24283987732,80,13013748.325399999
ET money,2026-01-19,3039,192,28127036.009600002,146494.9792166667,73,10381869.8871
ET money,2026-01-12,2748,220,33492672.2426,152239.41928454547,89,13274552.5129
ET money,2026-01-05,5358,262,36967861.3122,141098.70729847328,97,14573797.609400002
ET money,2025-12-29,7819,295,46737554.4448,158432.38794847456,147,22495369.4935
ET money,2025-12-22,5418,179,19929573.9234,111338.40180670391,104,14362974.7113
ET money,2025-12-15,7595,240,34989162.7009,145788.17792041667,117,13765083.474200001
ET money,2025-12-08,11177,231,36858794.8518,159561.88247532467,117,16845013.8715
ET money,2025-12-01,10783,239,32586458.212499995,136345.01344142258,158,19670492.027099997
ET money,2025-11-24,6899,166,29198840.4789,175896.62939096385,85,14446318.170799999
ET money,2025-11-17,10985,198,26241021.519,132530.41171212122,109,16267918.497999998
ET money,2025-11-10,7495,102,14274680.8858,139947.85182156862,74,11353112.908699999
ET money,2025-11-03,22439,180,31458254.752799995,174768.08195999998,97,19928910.4084
ET money,2025-10-27,3422,112,22192157.435600005,198144.26281785718,65,10878409.8082
ET money,2025-10-20,2792,128,15993810.4728,124951.64431875,59,6032355.357
ET money,2025-10-13,2540,142,21317223.097799998,150121.28942112674,72,10650076.8834
ET money,2025-10-06,3195,173,19943946.168800004,115282.9258312139,91,12143550.6972
ET money,2025-09-29,13756,153,20354330.7148,133034.84127320262,129,16715218.294900002
ET money,2025-09-22,22263,141,21629942.258000005,153403.84580141847,108,16143656.513299998
ET money,2025-09-15,12156,55,5950312.6505,108187.50273636365,61,8286899.907400001
ET money,2025-09-08,777,3,328.6186,109.53953333333334,6,490027.45050000004
ET money,2025-09-01,6,5,101469.4456,20293.88912,1,109.5123
ET money,2025-08-25,6,0,0.0,0.0,0,
ET money,2025-08-18,5,0,0.0,0.0,0,
ET money,2025-08-11,3,0,0.0,0.0,0,
ET money,2025-08-04,6,0,0.0,0.0,0,
ET money,2025-07-28,8,0,0.0,0.0,0,
ET money,2025-07-21,6,0,0.0,0.0,0,
ET money,2025-07-14,7,0,0.0,0.0,0,
ET money,2025-07-07,13,0,0.0,0.0,0,
