partner,day,no_of_registrations,no_orders,aum,aov,fti_count,fti_amount
ET money,2026-05-17,149,0,0.0,0.0,0,
ET money,2026-05-16,159,0,0.0,0.0,0,
ET money,2026-05-15,155,31,4915406.45,158561.49838709677,15,1616173.7499999998
ET money,2026-05-14,155,49,4938078.100000001,100777.10408163267,16,777578.76
ET money,2026-05-13,164,42,4022687.9499999997,95778.28452380952,10,1379975.9899999998
ET money,2026-05-12,153,52,4492260.62,86389.62730769231,19,1629679.04
ET money,2026-05-11,152,87,14133698.419999998,162456.3036781609,6,665523.47
ET money,2026-05-10,194,12,185516.19,15459.6825,21,3854611.4699999997
ET money,2026-05-09,458,13,459355.25000000006,35335.019230769234,14,1069280.79
ET money,2026-05-08,1327,47,6137740.420000001,130590.22170212767,17,2961503.55
ET money,2026-05-07,180,48,5794248.519999999,120713.5108333333,17,1051276.4
ET money,2026-05-06,205,34,5284845.912800001,155436.64449411767,9,742751.55
ET money,2026-05-05,214,40,4604623.9231,115115.5980775,21,2694260.961
ET money,2026-05-04,127,115,14894114.150799999,129514.03609391303,12,847537.2524
ET money,2026-05-03,161,24,678854.5800000001,28285.607500000002,19,901116.7462999999
ET money,2026-05-02,804,0,0.0,0.0,0,
ET money,2026-05-01,1593,12,308570.26,25714.188333333335,11,2049723.4943
ET money,2026-04-30,185,35,3751294.8192,107179.85197714285,12,1832433.8283999998
ET money,2026-04-29,151,46,3630157.5198,78916.46782173913,10,1244840.0113
ET money,2026-04-28,210,32,3961803.6051,123806.362659375,7,901742.8426
ET money,2026-04-27,118,90,11954854.5877,132831.7176411111,6,592162.8030000001
ET money,2026-04-26,143,4,307948.16000000003,76987.04000000001,11,2382149.7884
ET money,2026-04-25,167,12,739075.5700000001,61589.630833333336,17,1302086.483
ET money,2026-04-24,259,28,4407773.7524999995,157420.49116071427,1,100092.9065
ET money,2026-04-23,2950,44,5041578.4942,114581.32941363635,12,764787.2396999999
ET money,2026-04-22,177,31,3572313.4513,115235.91778387096,4,646129.7499
ET money,2026-04-21,145,18,1676196.6849,93122.03805,2,497830.70459999994
ET money,2026-04-20,152,98,7721019.162200001,78785.90981836736,5,437691.71160000004
ET money,2026-04-19,142,8,185374.61000000002,23171.826250000002,9,469901.78400000004
ET money,2026-04-18,204,3,74080.29000000001,24693.430000000004,16,1650369.1782000002
ET money,2026-04-17,182,27,3646045.6287000002,135038.7269888889,8,653533.7008999999
ET money,2026-04-16,153,47,5943361.049699999,126454.49041914892,10,1801642.2394
ET money,2026-04-15,168,56,6734159.828400001,120252.85407857144,2,272371.6032
ET money,2026-04-14,150,12,726605.7598000001,60550.479983333345,9,1328661.3843
ET money,2026-04-13,123,64,9179256.8292,143425.88795625,2,309906.27040000004
ET money,2026-04-12,154,8,246799.6,30849.95,13,1061052.5485
ET money,2026-04-11,196,12,308499.5,25708.291666666668,14,1517203.9260999998
