partner,week,no_of_total_reg,email_verified_users,mobile_verified_users,both_email_mobile_verified,no_of_full_reg,landed_on_pan,%landed on PAN/full_reg,kyc_initiated_pan,%_kyc_initiated,%kyc initiated old,kra_digilocker_adhaarxml,%kra_digilocker_adhaarxml/pan,bank,%bank/kra_digilocker_adhaarxml,other_details,%other_details/bank,nominee,%nominee/other_details,liveliness,%liveliness/nominee,signature,%signature/liveliness,aof,%aof/signature,demat,%demat/aof,ucc,%ucc/demat,b_mf_kyc_completed_users,%mf_kyc/kyc_initiation,%ucc/kyc_initiation,%b_mf_kyc_completion/full_signup,fti_on_any_day,%_fti_on_any_day/ucc,any_day_repeat,%any_day_repeat,same_week_reg_kyc,same_week_reg_ucc,% same_week_reg_ucc/full_signup,same_week_pan_ucc,%same_week_pan_ucc/pan,same_week_reg_fti,same_week_fti/ucc,referees_registered,%referees_registered/invested_referrers,referees_invested,%referees_invested/invested_referrers
ET money,2026-05-11,1087,1087,1087,1087,1087,150,0.13799448022079117,86,0.5733333333333334,0.07911683532658693,84,0.9767441860465116,74,0.8809523809523809,73,0.9864864864864865,67,0.9178082191780822,52,0.7761194029850746,49,0.9423076923076923,38,0.7755102040816326,26,0.6842105263157895,28,1.0769230769230769,20,0.22093023255813954,0.32558139534883723,0.01839926402943882,11,0.39285714285714285,6,0.5454545454545454,27,19,0.017479300827966882,22,0.2558139534883721,4,0.14285714285714285,0,0.0,0,0.0
ET money,2026-05-04,2705,2705,2705,2705,2705,198,0.07319778188539741,122,0.6161616161616161,0.04510166358595194,117,0.9590163934426229,103,0.8803418803418803,95,0.9223300970873787,92,0.968421052631579,62,0.6739130434782609,58,0.9354838709677419,49,0.8448275862068966,35,0.7142857142857143,32,0.9142857142857143,35,0.2786885245901639,0.26229508196721313,0.012939001848428836,22,0.6875,10,0.45454545454545453,33,22,0.008133086876155268,29,0.23770491803278687,11,0.34375,0,0.0,0,0.0
ET money,2026-04-27,3222,3222,3222,3222,3222,181,0.05617628801986344,106,0.585635359116022,0.032898820608317815,96,0.9056603773584906,84,0.875,83,0.9880952380952381,81,0.9759036144578314,67,0.8271604938271605,64,0.9552238805970149,56,0.875,43,0.7678571428571429,44,1.0232558139534884,33,0.3018867924528302,0.41509433962264153,0.010242085661080074,22,0.5,11,0.5,36,28,0.008690254500310366,37,0.3490566037735849,8,0.18181818181818182,0,0.0,0,0.0
ET money,2026-04-20,3993,3993,3993,3993,3993,161,0.040320560981718004,88,0.546583850931677,0.02203856749311295,85,0.9659090909090909,71,0.8352941176470589,68,0.9577464788732394,68,1.0,54,0.7941176470588235,52,0.9629629629629629,46,0.8846153846153846,32,0.6956521739130435,33,1.03125,28,0.3068181818181818,0.375,0.007012271475081392,12,0.36363636363636365,4,0.3333333333333333,29,21,0.005259203606311044,31,0.3522727272727273,4,0.12121212121212122,0,0.0,0,0.0
ET money,2026-04-13,1122,1122,1122,1122,1122,142,0.1265597147950089,89,0.6267605633802817,0.07932263814616755,77,0.8651685393258427,69,0.8961038961038961,62,0.8985507246376812,58,0.9354838709677419,46,0.7931034482758621,44,0.9565217391304348,40,0.9090909090909091,31,0.775,30,0.967741935483871,25,0.2696629213483146,0.33707865168539325,0.022281639928698752,19,0.6333333333333333,8,0.42105263157894735,23,18,0.016042780748663103,24,0.2696629213483146,9,0.3,0,0.0,0,0.0
ET money,2026-04-06,1459,1459,1459,1459,1459,168,0.11514736120630568,88,0.5238095238095238,0.06031528444139822,83,0.9431818181818182,70,0.8433734939759037,68,0.9714285714285714,67,0.9852941176470589,58,0.8656716417910447,55,0.9482758620689655,48,0.8727272727272727,37,0.7708333333333334,38,1.027027027027027,28,0.3068181818181818,0.4318181818181818,0.019191226867717615,18,0.47368421052631576,4,0.2222222222222222,34,27,0.018505825908156272,33,0.375,10,0.2631578947368421,0,0.0,0,0.0
ET money,2026-03-30,1321,1321,1321,1321,1321,176,0.1332323996971991,89,0.5056818181818182,0.06737320211960636,82,0.9213483146067416,72,0.8780487804878049,70,0.9722222222222222,69,0.9857142857142858,57,0.8260869565217391,58,1.0175438596491229,49,0.8448275862068966,37,0.7551020408163265,38,1.027027027027027,25,0.2696629213483146,0.42696629213483145,0.018925056775170326,22,0.5789473684210527,14,0.6363636363636364,33,23,0.0174110522331567,36,0.4044943820224719,9,0.23684210526315788,0,0.0,0,0.0
ET money,2026-03-23,1156,1156,1156,1156,1156,138,0.11937716262975778,73,0.5289855072463768,0.06314878892733564,70,0.958904109589041,58,0.8285714285714286,55,0.9482758620689655,51,0.9272727272727272,35,0.6862745098039216,33,0.9428571428571428,25,0.7575757575757576,19,0.76,20,1.0526315789473684,13,0.1643835616438356,0.273972602739726,0.01124567474048443,10,0.5,7,0.7,13,9,0.007785467128027681,15,0.2054794520547945,3,0.15,0,0.0,0,0.0
ET money,2026-03-16,2566,2566,2566,2566,2566,197,0.07677318784099767,116,0.5888324873096447,0.04520654715510522,111,0.9568965517241379,85,0.7657657657657657,82,0.9647058823529412,78,0.9512195121951219,57,0.7307692307692307,57,1.0,44,0.7719298245614035,32,0.7272727272727273,32,1.0,25,0.20689655172413793,0.27586206896551724,0.009742790335151987,16,0.5,6,0.375,23,13,0.005066250974279034,22,0.1896551724137931,6,0.1875,0,0.0,0,0.0
ET money,2026-03-09,1500,1500,1500,1500,1500,194,0.12933333333333333,112,0.5773195876288659,0.07466666666666667,106,0.9464285714285714,85,0.8018867924528302,82,0.9647058823529412,80,0.975609756097561,62,0.775,61,0.9838709677419355,49,0.8032786885245902,38,0.7755102040816326,38,1.0,29,0.25,0.3392857142857143,0.019333333333333334,19,0.5,5,0.2631578947368421,32,21,0.014,33,0.29464285714285715,9,0.23684210526315788,0,0.0,0,0.0
