week_start,variant,total_non_invested_users,learn_page_visitors,learn_visit_rate_pct,unique_video_players,total_video_plays,avg_videos_per_user,avg_watch_time_sec,fti_users,fti_users_who_watched,fti_rate_pct,engaged_visitor_rate_pct,plays_per_visitor,drop_after_first_pct,completion_rate_pct,median_time_to_first_play_sec,outbound_click_rate_pct,banner_ctr_on_learn_pct
2026-06-22,control,3809,1,0.03,0,0,,,214,0,5.62,0.0,0.0,,,,0.0,0.0
2026-06-22,treatment,3874,514,13.27,110,409,3.72,48.1,203,12,5.24,21.4,0.8,30.0,41.81,13,4.86,9.73
2026-06-29,control,4709,1,0.02,0,0,,,259,0,5.5,0.0,0.0,,,,0.0,0.0
2026-06-29,treatment,4732,584,12.34,123,478,3.89,43.8,251,9,5.3,21.06,0.82,28.46,39.12,11,2.57,11.47
2026-07-06,control,3785,0,0.0,0,0,,,183,0,4.83,,,,,,,
2026-07-06,treatment,3772,538,14.26,114,413,3.62,45.7,205,7,5.43,21.19,0.77,36.84,41.89,12,4.09,10.41
2026-07-13,control,3641,0,0.0,0,0,,,178,0,4.89,,,,,,,
2026-07-13,treatment,3531,466,13.2,109,340,3.12,44.9,175,10,4.96,23.39,0.73,33.94,34.41,11,2.79,10.09
2026-07-20,control,871,0,0.0,0,0,,,31,0,3.56,,,,,,,
2026-07-20,treatment,918,122,13.29,31,84,2.71,42.5,44,2,4.79,25.41,0.69,45.16,36.9,10,3.28,11.48
2026-07-27,treatment,1,0,0.0,0,0,,,0,0,0.0,,,,,,,
2026-08-03,treatment,1,0,0.0,0,0,,,0,0,0.0,,,,,,,
