date,hour,app,page_url,device,page_views,js_errors,sample_count,lcp_p75_ms,lcp_p95_ms,inp_p75_ms,inp_p95_ms,cls_p75,cls_p95,fcp_p75_ms,fcp_p95_ms,ttfb_p75_ms,ttfb_p95_ms,fetched_at
2026-05-14,0,gi-client-static,/,desktop,13,0,11,2.328125,4.192,0.06396484375,0.128,0.00200653076171875,0.003,2.203125,3.912,0.0,0.0,2026-05-21T13:23:28.914885+05:30
2026-05-14,0,gi-client-static,/,mobile,46,1,29,2.203125,3.796875,0.193359375,2.904,0.003021240234375,0.0634765625,1.953125,4.3125,0.0,0.0,2026-05-21T13:23:28.914885+05:30
2026-05-14,0,gi-client-static,/blog,mobile,3,0,2,4.412,4.412,0.128,0.128,0.55,0.55,6.348,6.348,0.0,0.0,2026-05-21T13:23:28.914885+05:30
2026-05-14,0,gi-client-static,/blog/[slug],desktop,16,2,9,4.59375,6.436,0.0634765625,0.264,0.00396728515625,0.06,2.890625,6.436,0.0,0.0,2026-05-21T13:23:28.914885+05:30
2026-05-14,0,gi-client-static,/blog/[slug],mobile,98,9,68,2.78125,7.9375,0.177734375,0.34765625,0.0130615234375,0.031005859375,2.78125,9.125,0.0,0.0,2026-05-21T13:23:28.914885+05:30
2026-05-14,0,gi-client-static,/blog/[slug],tablet,2,0,2,5.406,5.406,0.0,0.0,0.0,0.0,4.923,4.923,0.0,0.0,2026-05-21T13:23:28.914885+05:30
2026-05-14,0,gi-client-static,/corporate-bonds,desktop,1,0,1,1.594,1.594,0.0,0.0,0.0,0.0,1.376,1.376,0.0,0.0,2026-05-21T13:23:28.914885+05:30
2026-05-14,0,gi-client-static,/corporate-bonds,mobile,1,0,1,1.177,1.177,0.048,0.048,0.0,0.0,1.108,1.108,0.0,0.0,2026-05-21T13:23:28.914885+05:30
2026-05-14,0,gi-client-static,/faq/[type]/...,mobile,1,0,1,1.448,1.448,0.0,0.0,0.036,0.036,1.448,1.448,0.0,0.0,2026-05-21T13:23:28.914885+05:30
2026-05-14,0,gi-client-static,/invoicex,mobile,2,1,2,1.104,1.104,0.12,0.12,0.0,0.0,1.104,1.104,0.0,0.0,2026-05-21T13:23:28.914885+05:30
2026-05-14,0,gi-client-static,/marketing/[url],mobile,1,0,1,3.256,3.256,0.016,0.016,0.0,0.0,2.799,2.799,0.0,0.0,2026-05-21T13:23:28.914885+05:30
2026-05-14,0,gi-client-static,/sell-anytime,desktop,2,0,1,1.548,1.548,0.056,0.056,0.0,0.0,0.832,0.832,0.0,0.0,2026-05-21T13:23:28.914885+05:30
2026-05-14,0,gi-client-static,/sell-anytime,mobile,8,0,5,1.5859375,6.14,0.12,0.12,0.033,0.033,3.609375,4.316,0.0,0.0,2026-05-21T13:23:28.914885+05:30
2026-05-14,0,gi-client-web,/assets,desktop,1,0,2,1.48,1.48,0.112,0.112,0.689453125,1.496,1.044,1.044,0.0,0.0,2026-05-21T13:42:37.627000+05:30
2026-05-14,0,gi-client-web,/assets,mobile,35,0,22,2.109375,4.46875,0.345703125,0.704,1.015625,1.921875,1.390625,2.71875,0.0,0.0,2026-05-21T13:42:37.627000+05:30
2026-05-14,0,gi-client-web,/assets/bonds,mobile,18,2,5,2.4453125,3.387,0.67578125,1.016,1.671875,1.813,1.4609375,3.972,0.0,0.0,2026-05-21T13:42:37.627000+05:30
2026-05-14,0,gi-client-web,/discover,desktop,7,0,5,1.5234375,2.2,0.128,0.128,0.49609375,1.846,2.390625,4.112,0.0,0.0,2026-05-21T13:42:37.627000+05:30
2026-05-14,0,gi-client-web,/discover,mobile,164,1,128,3.53125,8.875,0.42578125,0.8828125,2.21875,2.90625,2.28125,5.5625,0.0,0.0,2026-05-21T13:42:37.627000+05:30
2026-05-14,0,gi-client-web,/discover,tablet,1,0,1,12.123,12.123,0.0,0.0,0.0,0.0,12.033,12.033,0.0,0.0,2026-05-21T13:42:37.627000+05:30
2026-05-14,0,gi-client-web,/external-ui/[uuid],mobile,149,0,142,1.546875,4.5625,0.0,0.0,0.00200653076171875,0.00299835205078125,1.546875,4.5625,0.0,0.0,2026-05-21T13:42:37.627000+05:30
2026-05-14,0,gi-client-web,/external-ui/[uuid],tablet,2,0,2,4.672,4.672,0.0,0.0,0.0,0.0,4.672,4.672,0.0,0.0,2026-05-21T13:42:37.627000+05:30
2026-05-14,0,gi-client-web,/login,desktop,5,0,5,1.27734375,1.984,0.337890625,0.392,0.501953125,1.024,1.12890625,1.616,0.0,0.0,2026-05-21T13:42:37.627000+05:30
2026-05-14,0,gi-client-web,/login,mobile,71,4,60,1.1171875,2.359375,0.30859375,0.5703125,0.01904296875,1.84375,0.9453125,2.34375,0.0,0.0,2026-05-21T13:42:37.627000+05:30
2026-05-14,0,gi-client-web,/portfolio,desktop,1,0,1,0.616,0.616,0.16,0.16,0.004,0.004,0.468,0.468,0.0,0.0,2026-05-21T13:42:37.627000+05:30
2026-05-14,0,gi-client-web,/portfolio,mobile,44,4,34,1.6640625,2.109375,0.201171875,0.33984375,0.6953125,3.433,1.0859375,1.8828125,0.0,0.0,2026-05-21T13:42:37.627000+05:30
2026-05-14,0,gi-client-web,/quick-start,desktop,1,0,1,1.588,1.588,0.0,0.0,0.004,0.004,1.104,1.104,0.0,0.0,2026-05-21T13:42:37.627000+05:30
2026-05-14,0,gi-client-web,/quick-start,mobile,18,0,15,1.8515625,7.564,0.15966796875,0.296,0.006011962890625,0.086,1.6953125,7.16,0.0,0.0,2026-05-21T13:42:37.627000+05:30
2026-05-14,0,gi-client-web,/signup,mobile,11,1,6,1.068359375,1.224,0.216,0.216,0.018,0.018,1.005859375,1.224,0.0,0.0,2026-05-21T13:42:37.627000+05:30
2026-05-14,0,gi-client-web,/user-kyc,desktop,1,0,1,1.396,1.396,0.0,0.0,0.0,0.0,0.696,0.696,0.0,0.0,2026-05-21T13:42:37.627000+05:30
2026-05-14,0,gi-client-web,/user-kyc,mobile,14,0,10,2.828125,6.252,0.3681640625,0.448,0.1162109375,1.609,0.8671875,7.476,0.0,0.0,2026-05-21T13:42:37.627000+05:30
2026-05-14,1,gi-client-static,/,desktop,6,0,4,1.7421875,9.154,0.008,0.008,0.003021240234375,0.062,3.921875,9.121,0.0,0.0,2026-05-21T13:23:35.346525+05:30
2026-05-14,1,gi-client-static,/,mobile,37,1,22,3.390625,5.09375,0.208984375,1.184,0.0059814453125,1.0,3.015625,3.796875,0.0,0.0,2026-05-21T13:23:35.346525+05:30
2026-05-14,1,gi-client-static,/blog/[slug],desktop,23,0,7,6.03125,6.356,0.328,0.328,0.00604248046875,0.062,5.40625,6.28125,0.0,0.0,2026-05-21T13:23:35.346525+05:30
2026-05-14,1,gi-client-static,/blog/[slug],mobile,71,7,57,2.828125,6.96875,0.169921875,0.8046875,0.030029296875,0.03759765625,2.578125,4.03125,0.0,0.0,2026-05-21T13:23:35.346525+05:30
2026-05-14,1,gi-client-static,/blog/[slug],tablet,1,0,1,5.304,5.304,0.144,0.144,0.003,0.003,4.12,4.12,0.0,0.0,2026-05-21T13:23:35.346525+05:30
2026-05-14,1,gi-client-static,/corporate-bonds,mobile,2,0,2,2.012,2.012,0.048,0.048,0.003,0.003,2.012,2.012,0.0,0.0,2026-05-21T13:23:35.346525+05:30
2026-05-14,1,gi-client-static,/invoicex,mobile,1,0,1,0.832,0.832,0.04,0.04,0.0,0.0,0.653,0.653,0.0,0.0,2026-05-21T13:23:35.346525+05:30
2026-05-14,1,gi-client-static,/leasex,mobile,1,0,1,1.083,1.083,0.056,0.056,0.0,0.0,1.003,1.003,0.0,0.0,2026-05-21T13:23:35.346525+05:30
2026-05-14,1,gi-client-static,/loanx,mobile,1,0,1,0.935,0.935,0.048,0.048,0.0,0.0,0.696,0.696,0.0,0.0,2026-05-21T13:23:35.346525+05:30
2026-05-14,1,gi-client-static,/marketing/[url],mobile,1,0,1,1.912,1.912,0.04,0.04,0.0,0.0,1.844,1.844,0.0,0.0,2026-05-21T13:23:35.346525+05:30
2026-05-14,1,gi-client-static,/sell-anytime,mobile,6,0,4,4.953125,6.948,0.32,0.32,0.003,0.003,2.9921875,5.184,0.0,0.0,2026-05-21T13:23:35.346525+05:30
2026-05-14,1,gi-client-web,/assets,mobile,32,1,13,2.484375,4.692,0.38671875,1.56,1.0390625,1.425,0.69140625,2.015625,0.0,0.0,2026-05-21T13:42:42.664645+05:30
2026-05-14,1,gi-client-web,/assets/bonds,mobile,13,1,3,3.12,3.12,0.3759765625,0.472,1.328125,2.072,0.884765625,3.12,0.0,0.0,2026-05-21T13:42:42.664645+05:30
2026-05-14,1,gi-client-web,/discover,desktop,3,2,1,1.616,1.616,0.72,0.72,0.386,0.386,0.748,0.748,0.0,0.0,2026-05-21T13:42:42.664645+05:30
2026-05-14,1,gi-client-web,/discover,mobile,116,1,92,3.296875,5.78125,0.32421875,0.7578125,2.15625,2.84375,2.046875,3.328125,0.0,0.0,2026-05-21T13:42:42.664645+05:30
2026-05-14,1,gi-client-web,/external-ui/[uuid],mobile,119,0,108,1.296875,2.96875,0.272,0.272,0.00200653076171875,0.00299835205078125,1.328125,3.09375,0.0,0.0,2026-05-21T13:42:42.664645+05:30
2026-05-14,1,gi-client-web,/external-ui/[uuid],tablet,1,0,1,1.256,1.256,0.0,0.0,0.0,0.0,1.256,1.256,0.0,0.0,2026-05-21T13:42:42.664645+05:30
2026-05-14,1,gi-client-web,/login,desktop,7,0,3,0.652,0.652,0.216,0.216,0.442,0.442,1.04296875,1.098,0.0,0.0,2026-05-21T13:42:42.664645+05:30
2026-05-14,1,gi-client-web,/login,mobile,61,2,42,1.2734375,2.390625,0.2080078125,0.584,0.019775390625,0.433,1.0390625,2.359375,0.0,0.0,2026-05-21T13:42:42.664645+05:30
2026-05-14,1,gi-client-web,/portfolio,mobile,51,3,25,1.8828125,2.484375,0.294921875,0.462890625,0.080078125,0.734375,0.853515625,1.48046875,0.0,0.0,2026-05-21T13:42:42.664645+05:30
2026-05-14,1,gi-client-web,/portfolio,tablet,1,0,1,3.372,3.372,0.136,0.136,0.1,0.1,1.228,1.228,0.0,0.0,2026-05-21T13:42:42.664645+05:30
2026-05-14,1,gi-client-web,/quick-start,mobile,29,0,16,2.8828125,3.976,0.279296875,0.464,0.0130615234375,0.243,2.65625,3.96875,0.0,0.0,2026-05-21T13:42:42.664645+05:30
2026-05-14,1,gi-client-web,/referral,mobile,3,0,1,0.612,0.612,0.448,0.448,2.702,2.702,0.612,0.612,0.0,0.0,2026-05-21T13:42:42.664645+05:30
2026-05-14,1,gi-client-web,/signup,mobile,5,0,3,0.768,0.768,0.0,0.0,0.018,0.018,0.684,0.684,0.0,0.0,2026-05-21T13:42:42.664645+05:30
2026-05-14,1,gi-client-web,/user-kyc,mobile,9,0,7,2.8828125,3.864,0.24755859375,0.296,0.14453125,2.199,0.814453125,1.14,0.0,0.0,2026-05-21T13:42:42.664645+05:30
2026-05-14,2,gi-client-static,/,desktop,3,0,1,1.436,1.436,0.0,0.0,0.007,0.007,11.036,11.036,0.0,0.0,2026-05-21T13:23:41.249299+05:30
2026-05-14,2,gi-client-static,/,mobile,8,1,6,4.65625,32.816,0.08,0.08,0.006011962890625,0.102,3.359375,12.864,0.0,0.0,2026-05-21T13:23:41.249299+05:30
2026-05-14,2,gi-client-static,/blog/[slug],desktop,15,0,4,4.2265625,6.932,0.072,0.072,0.004,0.004,4.640625,9.326,0.0,0.0,2026-05-21T13:23:41.249299+05:30
2026-05-14,2,gi-client-static,/blog/[slug],mobile,46,1,30,3.765625,12.4315,0.1435546875,0.232,0.0079345703125,0.03662109375,3.078125,9.4375,0.0,0.0,2026-05-21T13:23:41.249299+05:30
2026-05-14,2,gi-client-static,/blog/[slug],tablet,1,0,1,2.732,2.732,0.0,0.0,0.057,0.057,2.732,2.732,0.0,0.0,2026-05-21T13:23:41.249299+05:30
2026-05-14,2,gi-client-static,/faq/[type]/...,mobile,3,0,2,0.764,0.764,0.216,0.216,0.001,0.001,0.764,0.764,0.0,0.0,2026-05-21T13:23:41.249299+05:30
2026-05-14,2,gi-client-static,/marketing/[url],desktop,1,0,1,5.272,5.272,0.0,0.0,0.013,0.013,4.198,4.198,0.0,0.0,2026-05-21T13:23:41.249299+05:30
2026-05-14,2,gi-client-static,/sell-anytime,mobile,7,0,6,2.4296875,4.588,0.112,0.112,0.0,0.0,2.3671875,4.5,0.0,0.0,2026-05-21T13:23:41.249299+05:30
2026-05-14,2,gi-client-web,/assets,mobile,9,0,4,2.578125,5.924,0.2646484375,0.312,0.2779541015625,0.296,1.8046875,2.108,0.0,0.0,2026-05-21T13:42:47.537251+05:30
2026-05-14,2,gi-client-web,/assets/bonds,mobile,4,0,2,1.748,1.748,0.288,0.288,0.134,0.134,1.748,1.748,0.0,0.0,2026-05-21T13:42:47.537251+05:30
2026-05-14,2,gi-client-web,/discover,mobile,54,0,44,3.65625,10.875,0.38671875,0.6953125,2.046875,3.078125,2.390625,3.984375,0.0,0.0,2026-05-21T13:42:47.537251+05:30
2026-05-14,2,gi-client-web,/discover,tablet,1,0,1,3.696,3.696,0.32,0.32,1.418,1.418,2.208,2.208,0.0,0.0,2026-05-21T13:42:47.537251+05:30
2026-05-14,2,gi-client-web,/external-ui/[uuid],mobile,93,0,85,1.328125,3.21875,1.176,1.176,0.00200653076171875,0.00200653076171875,1.421875,3.34375,0.0,0.0,2026-05-21T13:42:47.537251+05:30
2026-05-14,2,gi-client-web,/login,mobile,23,0,15,1.6328125,15.764,0.27734375,0.624,0.017822265625,1.596,1.015625,15.764,0.0,0.0,2026-05-21T13:42:47.537251+05:30
2026-05-14,2,gi-client-web,/portfolio,mobile,22,0,10,1.5390625,2.392,0.2158203125,0.92,2.78125,4.03,0.76953125,1.7265625,0.0,0.0,2026-05-21T13:42:47.537251+05:30
2026-05-14,2,gi-client-web,/quick-start,mobile,13,0,6,3.359375,9.048,0.128,0.128,0.004974365234375,0.01,2.390625,4.754,0.0,0.0,2026-05-21T13:42:47.537251+05:30
2026-05-14,2,gi-client-web,/user-kyc,mobile,21,0,14,2.8671875,4.236,0.302734375,0.337890625,0.05126953125,1.203125,0.74609375,2.156,0.0,0.0,2026-05-21T13:42:47.537251+05:30
2026-05-14,3,gi-client-static,/,desktop,6,0,2,3.822,3.822,0.016,0.016,0.003,0.003,2.4140625,3.676,0.0,0.0,2026-05-21T13:23:47.117857+05:30
2026-05-14,3,gi-client-static,/,mobile,27,1,14,2.7265625,3.15,0.2236328125,0.936,0.0,0.034,2.0859375,2.6953125,0.0,0.0,2026-05-21T13:23:47.117857+05:30
2026-05-14,3,gi-client-static,/blog/[slug],desktop,40,0,8,4.90625,20.776,0.0,0.0,0.022216796875,0.948,4.84375,8.5625,0.0,0.0,2026-05-21T13:23:47.117857+05:30
2026-05-14,3,gi-client-static,/blog/[slug],mobile,28,17,21,3.890625,7.59375,0.37890625,1.424,0.00897216796875,0.025,3.953125,7.71875,0.0,0.0,2026-05-21T13:23:47.117857+05:30
2026-05-14,3,gi-client-static,/corporate-fds,desktop,2,0,1,1.68,1.68,0.072,0.072,0.0,0.0,6.056,6.056,0.0,0.0,2026-05-21T13:23:47.117857+05:30
2026-05-14,3,gi-client-static,/sell-anytime,mobile,4,0,1,5.556,5.556,0.184,0.184,0.004,0.004,3.056,3.056,0.0,0.0,2026-05-21T13:23:47.117857+05:30
2026-05-14,3,gi-client-web,/assets,mobile,16,4,8,1.2578125,9.856,0.17626953125,0.2,0.01898193359375,0.049,1.08984375,1.732,0.0,0.0,2026-05-21T13:42:52.943791+05:30
2026-05-14,3,gi-client-web,/assets/bonds,mobile,7,0,2,2.556,2.556,2.44,2.44,0.736,0.736,2.42578125,2.576,0.0,0.0,2026-05-21T13:42:52.943791+05:30
2026-05-14,3,gi-client-web,/discover,mobile,34,0,26,6.84375,7.96875,0.5078125,1.203125,1.83984375,2.5078125,2.546875,5.34375,0.0,0.0,2026-05-21T13:42:52.943791+05:30
2026-05-14,3,gi-client-web,/discover,tablet,3,0,2,1.064,1.064,0.2401123046875,0.256,2.646,2.646,1.62,1.62,0.0,0.0,2026-05-21T13:42:52.943791+05:30
2026-05-14,3,gi-client-web,/external-ui/[uuid],mobile,59,0,52,2.234375,3.390625,0.0,0.0,0.0019989013671875,0.0030059814453125,2.234375,3.390625,0.0,0.0,2026-05-21T13:42:52.943791+05:30
2026-05-14,3,gi-client-web,/login,mobile,41,4,37,1.2578125,2.828125,0.71875,876094.308,0.02685546875,1.34375,1.1328125,2.578125,0.0,0.0,2026-05-21T13:42:52.943791+05:30
2026-05-14,3,gi-client-web,/portfolio,desktop,1,0,1,1.396,1.396,0.928,0.928,0.0,0.0,1.072,1.072,0.0,0.0,2026-05-21T13:42:52.943791+05:30
2026-05-14,3,gi-client-web,/portfolio,mobile,6,0,3,1.26,1.26,0.5703125,0.632,0.134765625,0.986,0.962890625,2.161,0.0,0.0,2026-05-21T13:42:52.943791+05:30
2026-05-14,3,gi-client-web,/quick-start,mobile,6,0,5,5.640625,7.188,0.22412109375,0.424,0.003997802734375,0.006,5.734375,5.808,0.0,0.0,2026-05-21T13:42:52.943791+05:30
2026-05-14,3,gi-client-web,/user-kyc,mobile,11,4,10,4.90625,11.108,0.345703125,0.68,1.578125,2.595,1.60546875,2.06,0.0,0.0,2026-05-21T13:42:52.943791+05:30
2026-05-14,4,gi-client-static,/,desktop,1,0,1,2.604,2.604,0.0,0.0,0.146,0.146,1.576,1.576,0.0,0.0,2026-05-21T13:23:53.356695+05:30
2026-05-14,4,gi-client-static,/,mobile,28,0,12,3.2734375,4.328,0.1591796875,0.448,0.0009918212890625,0.065,3.046875,3.578125,0.0,0.0,2026-05-21T13:23:53.356695+05:30
2026-05-14,4,gi-client-static,/,unknown,1,1,1,3.776,3.776,0.0,0.0,0.076,0.076,3.744,3.744,0.0,0.0,2026-05-21T13:23:53.356695+05:30
2026-05-14,4,gi-client-static,/blog,mobile,2,0,2,4.36,4.36,0.36,0.36,0.016,0.016,3.268,3.268,0.0,0.0,2026-05-21T13:23:53.356695+05:30
2026-05-14,4,gi-client-static,/blog/[slug],desktop,31,0,10,5.96875,9.512,0.07958984375,0.288,0.03173828125,0.083,4.46875,5.34375,0.0,0.0,2026-05-21T13:23:53.356695+05:30
2026-05-14,4,gi-client-static,/blog/[slug],mobile,29,5,18,4.03125,12.608,0.208984375,4.872,0.0279541015625,0.063,3.984375,7.71875,0.0,0.0,2026-05-21T13:23:53.356695+05:30
2026-05-14,4,gi-client-static,/blog/[slug],tablet,2,0,2,3.291,3.291,0.0,0.0,0.0,0.0,3.291,3.291,0.0,0.0,2026-05-21T13:23:53.356695+05:30
2026-05-14,4,gi-client-static,/sell-anytime,mobile,1,0,1,1.372,1.372,0.328,0.328,0.0,0.0,1.372,1.372,0.0,0.0,2026-05-21T13:23:53.356695+05:30
2026-05-14,4,gi-client-web,/assets,mobile,3,0,1,8.992,8.992,0.68,0.68,1.2846250000000001,1.288,5.988,5.988,0.0,0.0,2026-05-21T13:42:58.192600+05:30
2026-05-14,4,gi-client-web,/assets/category/bonds,mobile,2,0,2,2.088,2.088,0.264,0.264,3.309,3.309,0.94,0.94,0.0,0.0,2026-05-21T13:42:58.192600+05:30
2026-05-14,4,gi-client-web,/discover,mobile,48,0,36,4.71875,12.0625,0.376953125,0.93359375,2.5546875,2.910125,2.328125,4.53125,0.0,0.0,2026-05-21T13:42:58.192600+05:30
2026-05-14,4,gi-client-web,/external-ui/[uuid],mobile,48,0,45,1.6796875,3.515625,0.224,0.224,0.00200653076171875,0.00299835205078125,1.8671875,3.515625,0.0,0.0,2026-05-21T13:42:58.192600+05:30
